variable_name,variable_label,avail_from_dt,table_name
STUDY_ID,,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_timestamp,,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_sex,Sex: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_eth16cat,Ethnicity (16 categories): BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_age_y,,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_highest_qual,Highest English equivilant qualification: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_occupation_type,Occupational type: BiB Baseline Questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_employment_type,Type of employment: BiB Baseline Questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_n_employ,Number of people who worked for employer: BiB Baseline Questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_n_employee,If self-employed; number of people employed: BiB Baseline Questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_supervise,Supervise other employees: BiB Baseline Questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_emp_status,Is respondent in employment: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_occupation,Current occupation: BiB Baseline Questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_finance_current,Current financial circumstances: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_finance_change,Financial circumstances compared to a year ago: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_tenure,Current tenure: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_occ_count,Total number of members in household: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_child_count,Number of children under 16 in household: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_bedroom_count,Number of bedrooms: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_partnership_status,Partnership status: BiB Baseline questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_timestamp,Date questionnaire completed,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_age_y,Age at date of consent: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_occupation_type,Occupation type: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_employment_type,Type of employment: BiB Growing Up,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_n_employ,Number of people who worked for employer: BiB Growing Up,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_n_employee,If self-employed; number of people employed: BiB Growing Up,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_supervise,Supervise other employees: BiB Growing Up,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_emp_status,Employment status: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_occupation,Current occupation: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_finance_current,Current financial circumstances: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_finance_change,Financial circumstances compared to a year ago: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_tenure,Current tenure: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_bedroom_count,Number of bedrooms: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_gu_partnership_status,Partnership status: BiB Growing Up questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_timestamp,Date COVID Survey,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_age_y,Age at date of survey participation: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_emp_status_is_main,Who is the main earner in the household: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_emp_status,Employment status of main earner: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_key_worker,Is anyone in the household classed as a key worker: BiB Covid19 Wave 1 questionn,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_finance_current,Current financial circumstance: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_finance_change,Financial circumstance compared to three months ago: BiB Covid19 Wave 1 question,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_tenure,Current tenure: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_occ_count,Total number of people in household: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_child_count,Total number of children in household: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_bedroom_count,Number of bedrooms: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv1_partnership_status,Partnership status: BiB Covid19 Wave 1 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_timestamp,Please write todays date,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_age_y,Age at date of survey particpation: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_emp_status_is_main,Who is the main earner in the household: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_emp_status,Employment status of main earner: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_finance_current,Current financial circumstance: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_tenure,Current tenure: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_occ_count,Total number of people in household: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_child_count,Total number of children in household: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_bedroom_count,Number of bedrooms: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
BiB_cv2_partnership_status,Partnership status: BiB Covid19 Wave 2 questionnaire,2022-03-17 23:02:10.253,SOCIODEMO_v0001_20220118
