,Source,Block Name,Variable Name,Variable Description,Value,Value Description
650991,BIB,nmrmetabolomics_baby,study_id_e,,,
650992,BIB,nmrmetabolomics_baby,bibpregnumber,Cohort recruited pregnancy number,,
650993,BIB,nmrmetabolomics_baby,has_metnmr_baby,Has NMR metabolomics (baby),,
650994,BIB,nmrmetabolomics_baby,timestamp,,,
650995,BIB,nmrmetabolomics_baby,sample_type,Sample type for NMR metabolomics,,
650996,BIB,nmrmetabolomics_baby,sample_excluded,Sample excluded from baby cord NMR metabolomics,,
650997,BIB,nmrmetabolomics_baby,qc_notes,NMR metabolomics QC note,,
650998,BIB,nmrmetabolomics_baby,qc_edta,QC tag: EDTA plasma,,
650999,BIB,nmrmetabolomics_baby,qc_citrate,QC tag: Citrate plasma,,
651000,BIB,nmrmetabolomics_baby,qc_ethanol,QC tag: Ethanol,,
651001,BIB,nmrmetabolomics_baby,qc_isoprop,QC tag: Isopropyl alcohol,,
651002,BIB,nmrmetabolomics_baby,qc_methyl,QC tag: N methyl 2 pyrrolidone,,
651003,BIB,nmrmetabolomics_baby,qc_polysac,QC tag: Polysaccharides,,
651004,BIB,nmrmetabolomics_baby,qc_aminoc,QC tag: Aminocaproic acid,,
651005,BIB,nmrmetabolomics_baby,qc_lowgluc,QC tag: Low glucose,,
651006,BIB,nmrmetabolomics_baby,qc_hilact,QC tag: High lactate,,
651007,BIB,nmrmetabolomics_baby,qc_hipyruv,QC tag: High pyruvate,,
651008,BIB,nmrmetabolomics_baby,qc_loglu_higlu,QC tag: Low glutamine or high glutamate,,
651009,BIB,nmrmetabolomics_baby,qc_gluco,QC tag: Gluconolactone,,
651010,BIB,nmrmetabolomics_baby,qc_diluted,QC tag: Diluted sample,,
651011,BIB,nmrmetabolomics_baby,qc_amino_sig,QC tag: Unexpected amino acid signals,,
651012,BIB,nmrmetabolomics_baby,qc_macromol,QC tag: Unidentified macromolecules,,
651013,BIB,nmrmetabolomics_baby,qc_smallmola,QC tag: Unidentified small molecule a,,
651014,BIB,nmrmetabolomics_baby,qc_smallmolb,QC tag: Unidentified small molecule b,,
651015,BIB,nmrmetabolomics_baby,qc_smallmolc,QC tag: Unidentified small molecule c,,
651016,BIB,nmrmetabolomics_baby,total_c,Total cholesterol [mmol/l],,
651017,BIB,nmrmetabolomics_baby,vldl_c,VLDL cholesterol [mmol/l],,
651018,BIB,nmrmetabolomics_baby,remnant_c,Remnant cholesterol (non-HDL; non-LDL -cholesterol) [mmol/l],,
651019,BIB,nmrmetabolomics_baby,ldl_c,LDL cholesterol [mmol/l],,
651020,BIB,nmrmetabolomics_baby,hdl_c,HDL cholesterol [mmol/l],,
651021,BIB,nmrmetabolomics_baby,hdl2_c,HDL2 cholesterol [mmol/l],,
651022,BIB,nmrmetabolomics_baby,hdl3_c,HDL3 cholesterol [mmol/l],,
651023,BIB,nmrmetabolomics_baby,esterified_c,Total esterified cholesterol [mmol/l],,
651024,BIB,nmrmetabolomics_baby,free_c,Total free cholesterol [mmol/l],,
651025,BIB,nmrmetabolomics_baby,total_tg,Total triglycerides [mmol/l],,
651026,BIB,nmrmetabolomics_baby,vldl_tg,Triglycerides in VLDL [mmol/l],,
651027,BIB,nmrmetabolomics_baby,ldl_tg,Triglycerides in LDL [mmol/l],,
651028,BIB,nmrmetabolomics_baby,hdl_tg,Triglycerides in HDL [mmol/l],,
651029,BIB,nmrmetabolomics_baby,phosphoglyc,Phosphoglycerides [mmol/l],,
651030,BIB,nmrmetabolomics_baby,tg_by_pg,Ratio of triglycerides to phosphoglycerides [ratio],,
651031,BIB,nmrmetabolomics_baby,cholines,Total cholines [mmol/l],,
651032,BIB,nmrmetabolomics_baby,phosphatidylc,Phosphatidylcholines [mmol/l],,
651033,BIB,nmrmetabolomics_baby,sphingomyelins,Sphingomyelins [mmol/l],,
651034,BIB,nmrmetabolomics_baby,apob,Apolipoprotein B [g/l],,
651035,BIB,nmrmetabolomics_baby,apoa1,Apolipoprotein A1 [g/l],,
651036,BIB,nmrmetabolomics_baby,apob_by_apoa1,Ratio of apolipoprotein B to apolipoprotein A1 [ratio],,
651037,BIB,nmrmetabolomics_baby,total_fa,Total fatty acids [mmol/l],,
651038,BIB,nmrmetabolomics_baby,unsaturation,Degree of unsaturation [degree],,
651039,BIB,nmrmetabolomics_baby,omega_3,Omega-3 fatty acids [mmol/l],,
651040,BIB,nmrmetabolomics_baby,omega_6,Omega-6 fatty acids [mmol/l],,
651041,BIB,nmrmetabolomics_baby,pufa,Polyunsaturated fatty acids [mmol/l],,
651042,BIB,nmrmetabolomics_baby,mufa,Monounsaturated fatty acids [mmol/l],,
651043,BIB,nmrmetabolomics_baby,sfa,Saturated fatty acids [mmol/l],,
651044,BIB,nmrmetabolomics_baby,la,Linoleic acid [mmol/l],,
651045,BIB,nmrmetabolomics_baby,dha,Docosahexaenoic acid [mmol/l],,
651046,BIB,nmrmetabolomics_baby,omega_3_pct,Ratio of omega-3 fatty acids to total fatty acids [%],,
651047,BIB,nmrmetabolomics_baby,omega_6_pct,Ratio of omega-6 fatty acids to total fatty acids [%],,
651048,BIB,nmrmetabolomics_baby,pufa_pct,Ratio of polyunsaturated fatty acids to total fatty acids [%],,
651049,BIB,nmrmetabolomics_baby,mufa_pct,Ratio of monounsaturated fatty acids to total fatty acids [%],,
651050,BIB,nmrmetabolomics_baby,sfa_pct,Ratio of saturated fatty acids to total fatty acids [%],,
651051,BIB,nmrmetabolomics_baby,la_pct,Ratio of linoleic acid to total fatty acids [%],,
651052,BIB,nmrmetabolomics_baby,dha_pct,Ratio of docosahexaenoic acid to total fatty acids [%],,
651053,BIB,nmrmetabolomics_baby,ala,Alanine [mmol/l],,
651054,BIB,nmrmetabolomics_baby,gln,Glutamine [mmol/l],,
651055,BIB,nmrmetabolomics_baby,his,Histidine [mmol/l],,
651056,BIB,nmrmetabolomics_baby,ile,Isoleucine [mmol/l],,
651057,BIB,nmrmetabolomics_baby,leu,Leucine [mmol/l],,
651058,BIB,nmrmetabolomics_baby,val,Valine [mmol/l],,
651059,BIB,nmrmetabolomics_baby,phe,Phenylalanine [mmol/l],,
651060,BIB,nmrmetabolomics_baby,tyr,Tyrosine [mmol/l],,
651061,BIB,nmrmetabolomics_baby,glucose,Glucose [mmol/l],,
651062,BIB,nmrmetabolomics_baby,lactate,Lactate [mmol/l],,
651063,BIB,nmrmetabolomics_baby,citrate,Citrate [mmol/l],,
651064,BIB,nmrmetabolomics_baby,acetate,Acetate [mmol/l],,
651065,BIB,nmrmetabolomics_baby,acetoacetate,Acetoacetate [mmol/l],,
651066,BIB,nmrmetabolomics_baby,bohbutyrate,Beta-hydroxybutyrate [mmol/l],,
651067,BIB,nmrmetabolomics_baby,creatinine,Creatinine [mmol/l],,
651068,BIB,nmrmetabolomics_baby,albumin,Albumin [signal area],,
651069,BIB,nmrmetabolomics_baby,glyca,Glycoprotein acetyls [mmol/l],,
651070,BIB,nmrmetabolomics_baby,xxl_vldl_p,Concentration of chylomicrons and extremely large VLDL particles [mol/l],,
651071,BIB,nmrmetabolomics_baby,xxl_vldl_l,Total lipids in chylomicrons and extremely large VLDL [mmol/l],,
651072,BIB,nmrmetabolomics_baby,xl_vldl_p,Concentration of very large VLDL particles [mol/l],,
651073,BIB,nmrmetabolomics_baby,xl_vldl_l,Total lipids in very large VLDL [mmol/l],,
651074,BIB,nmrmetabolomics_baby,l_vldl_p,Concentration of large VLDL particles [mol/l],,
651075,BIB,nmrmetabolomics_baby,l_vldl_l,Total lipids in large VLDL [mmol/l],,
651076,BIB,nmrmetabolomics_baby,m_vldl_p,Concentration of medium VLDL particles [mol/l],,
651077,BIB,nmrmetabolomics_baby,m_vldl_l,Total lipids in medium VLDL [mmol/l],,
651078,BIB,nmrmetabolomics_baby,s_vldl_p,Concentration of small VLDL particles [mol/l],,
651079,BIB,nmrmetabolomics_baby,s_vldl_l,Total lipids in small VLDL [mmol/l],,
651080,BIB,nmrmetabolomics_baby,xs_vldl_p,Concentration of very small VLDL particles [mol/l],,
651081,BIB,nmrmetabolomics_baby,xs_vldl_l,Total lipids in very small VLDL [mmol/l],,
651082,BIB,nmrmetabolomics_baby,idl_p,Concentration of IDL particles [mol/l],,
651083,BIB,nmrmetabolomics_baby,idl_l,Total lipids in IDL [mmol/l],,
651084,BIB,nmrmetabolomics_baby,l_ldl_p,Concentration of large LDL particles [mol/l],,
651085,BIB,nmrmetabolomics_baby,l_ldl_l,Total lipids in large LDL [mmol/l],,
651086,BIB,nmrmetabolomics_baby,m_ldl_p,Concentration of medium LDL particles [mol/l],,
651087,BIB,nmrmetabolomics_baby,m_ldl_l,Total lipids in medium LDL [mmol/l],,
651088,BIB,nmrmetabolomics_baby,s_ldl_p,Concentration of small LDL particles [mol/l],,
651089,BIB,nmrmetabolomics_baby,s_ldl_l,Total lipids in small LDL [mmol/l],,
651090,BIB,nmrmetabolomics_baby,xl_hdl_p,Concentration of very large HDL particles [mol/l],,
651091,BIB,nmrmetabolomics_baby,xl_hdl_l,Total lipids in very large HDL [mmol/l],,
651092,BIB,nmrmetabolomics_baby,l_hdl_p,Concentration of large HDL particles [mol/l],,
651093,BIB,nmrmetabolomics_baby,l_hdl_l,Total lipids in large HDL [mmol/l],,
651094,BIB,nmrmetabolomics_baby,m_hdl_p,Concentration of medium HDL particles [mol/l],,
651095,BIB,nmrmetabolomics_baby,m_hdl_l,Total lipids in medium HDL [mmol/l],,
651096,BIB,nmrmetabolomics_baby,s_hdl_p,Concentration of small HDL particles [mol/l],,
651097,BIB,nmrmetabolomics_baby,s_hdl_l,Total lipids in small HDL [mmol/l],,
651098,BIB,nmrmetabolomics_baby,vldl_size,Average diameter for VLDL particles [nm],,
651099,BIB,nmrmetabolomics_baby,ldl_size,Average diameter for LDL particles [nm],,
651100,BIB,nmrmetabolomics_baby,hdl_size,Average diameter for HDL particles [nm],,
651101,BIB,nmrmetabolomics_baby,avail_from_dt,,,
651102,BIB,nmrmetabolomics_baby,bibmotherid_e,Encrypted BiB person identifier of child's mother,,
651103,BIB,nmrmetabolomics_baby,study_id_e,,,
651104,BIB,nmrmetabolomics_baby,has_metnmr_baby,Has NMR metabolomics (baby),,
651105,BIB,nmrmetabolomics_baby,timestamp,Date of sample collection,,
651106,BIB,nmrmetabolomics_baby,sample_type,Sample type for NMR metabolomics,,
651107,BIB,nmrmetabolomics_baby,sample_excluded,Sample excluded from baby cord NMR metabolomics,,
651108,BIB,nmrmetabolomics_baby,qc_notes,NMR metabolomics QC note,,
651109,BIB,nmrmetabolomics_baby,qc_edta,QC tag: EDTA plasma,,
651110,BIB,nmrmetabolomics_baby,qc_citrate,QC tag: Citrate plasma,,
651111,BIB,nmrmetabolomics_baby,qc_ethanol,QC tag: Ethanol,,
651112,BIB,nmrmetabolomics_baby,qc_isoprop,QC tag: Isopropyl alcohol,,
651113,BIB,nmrmetabolomics_baby,qc_methyl,QC tag: N methyl 2 pyrrolidone,,
651114,BIB,nmrmetabolomics_baby,qc_polysac,QC tag: Polysaccharides,,
651115,BIB,nmrmetabolomics_baby,qc_aminoc,QC tag: Aminocaproic acid,,
651116,BIB,nmrmetabolomics_baby,qc_lowgluc,QC tag: Low glucose,,
651117,BIB,nmrmetabolomics_baby,qc_hilact,QC tag: High lactate,,
651118,BIB,nmrmetabolomics_baby,qc_hipyruv,QC tag: High pyruvate,,
651119,BIB,nmrmetabolomics_baby,qc_loglu_higlu,QC tag: Low glutamine or high glutamate,,
651120,BIB,nmrmetabolomics_baby,qc_gluco,QC tag: Gluconolactone,,
651121,BIB,nmrmetabolomics_baby,qc_diluted,QC tag: Diluted sample,,
651122,BIB,nmrmetabolomics_baby,qc_amino_sig,QC tag: Unexpected amino acid signals,,
651123,BIB,nmrmetabolomics_baby,qc_macromol,QC tag: Unidentified macromolecules,,
651124,BIB,nmrmetabolomics_baby,qc_smallmola,QC tag: Unidentified small molecule a,,
651125,BIB,nmrmetabolomics_baby,qc_smallmolb,QC tag: Unidentified small molecule b,,
651126,BIB,nmrmetabolomics_baby,qc_smallmolc,QC tag: Unidentified small molecule c,,
651127,BIB,nmrmetabolomics_baby,total_c,Total cholesterol [mmol/l],,
651128,BIB,nmrmetabolomics_baby,vldl_c,VLDL cholesterol [mmol/l],,
651129,BIB,nmrmetabolomics_baby,remnant_c,Remnant cholesterol (non-HDL; non-LDL -cholesterol) [mmol/l],,
651130,BIB,nmrmetabolomics_baby,ldl_c,LDL cholesterol [mmol/l],,
651131,BIB,nmrmetabolomics_baby,hdl_c,HDL cholesterol [mmol/l],,
651132,BIB,nmrmetabolomics_baby,hdl2_c,HDL2 cholesterol [mmol/l],,
651133,BIB,nmrmetabolomics_baby,hdl3_c,HDL3 cholesterol [mmol/l],,
651134,BIB,nmrmetabolomics_baby,esterified_c,Total esterified cholesterol [mmol/l],,
651135,BIB,nmrmetabolomics_baby,free_c,Total free cholesterol [mmol/l],,
651136,BIB,nmrmetabolomics_baby,total_tg,Total triglycerides [mmol/l],,
651137,BIB,nmrmetabolomics_baby,vldl_tg,Triglycerides in VLDL [mmol/l],,
651138,BIB,nmrmetabolomics_baby,ldl_tg,Triglycerides in LDL [mmol/l],,
651139,BIB,nmrmetabolomics_baby,hdl_tg,Triglycerides in HDL [mmol/l],,
651140,BIB,nmrmetabolomics_baby,phosphoglyc,Phosphoglycerides [mmol/l],,
651141,BIB,nmrmetabolomics_baby,tg_by_pg,Ratio of triglycerides to phosphoglycerides [ratio],,
651142,BIB,nmrmetabolomics_baby,cholines,Total cholines [mmol/l],,
651143,BIB,nmrmetabolomics_baby,phosphatidylc,Phosphatidylcholines [mmol/l],,
651144,BIB,nmrmetabolomics_baby,sphingomyelins,Sphingomyelins [mmol/l],,
651145,BIB,nmrmetabolomics_baby,apob,Apolipoprotein B [g/l],,
651146,BIB,nmrmetabolomics_baby,apoa1,Apolipoprotein A1 [g/l],,
651147,BIB,nmrmetabolomics_baby,apob_by_apoa1,Ratio of apolipoprotein B to apolipoprotein A1 [ratio],,
651148,BIB,nmrmetabolomics_baby,total_fa,Total fatty acids [mmol/l],,
651149,BIB,nmrmetabolomics_baby,unsaturation,Degree of unsaturation [degree],,
651150,BIB,nmrmetabolomics_baby,omega_3,Omega-3 fatty acids [mmol/l],,
651151,BIB,nmrmetabolomics_baby,omega_6,Omega-6 fatty acids [mmol/l],,
651152,BIB,nmrmetabolomics_baby,pufa,Polyunsaturated fatty acids [mmol/l],,
651153,BIB,nmrmetabolomics_baby,mufa,Monounsaturated fatty acids [mmol/l],,
651154,BIB,nmrmetabolomics_baby,sfa,Saturated fatty acids [mmol/l],,
651155,BIB,nmrmetabolomics_baby,la,Linoleic acid [mmol/l],,
651156,BIB,nmrmetabolomics_baby,dha,Docosahexaenoic acid [mmol/l],,
651157,BIB,nmrmetabolomics_baby,omega_3_pct,Ratio of omega-3 fatty acids to total fatty acids [%],,
651158,BIB,nmrmetabolomics_baby,omega_6_pct,Ratio of omega-6 fatty acids to total fatty acids [%],,
651159,BIB,nmrmetabolomics_baby,pufa_pct,Ratio of polyunsaturated fatty acids to total fatty acids [%],,
651160,BIB,nmrmetabolomics_baby,mufa_pct,Ratio of monounsaturated fatty acids to total fatty acids [%],,
651161,BIB,nmrmetabolomics_baby,sfa_pct,Ratio of saturated fatty acids to total fatty acids [%],,
651162,BIB,nmrmetabolomics_baby,la_pct,Ratio of linoleic acid to total fatty acids [%],,
651163,BIB,nmrmetabolomics_baby,dha_pct,Ratio of docosahexaenoic acid to total fatty acids [%],,
651164,BIB,nmrmetabolomics_baby,ala,Alanine [mmol/l],,
651165,BIB,nmrmetabolomics_baby,gln,Glutamine [mmol/l],,
651166,BIB,nmrmetabolomics_baby,his,Histidine [mmol/l],,
651167,BIB,nmrmetabolomics_baby,ile,Isoleucine [mmol/l],,
651168,BIB,nmrmetabolomics_baby,leu,Leucine [mmol/l],,
651169,BIB,nmrmetabolomics_baby,val,Valine [mmol/l],,
651170,BIB,nmrmetabolomics_baby,phe,Phenylalanine [mmol/l],,
651171,BIB,nmrmetabolomics_baby,tyr,Tyrosine [mmol/l],,
651172,BIB,nmrmetabolomics_baby,glucose,Glucose [mmol/l],,
651173,BIB,nmrmetabolomics_baby,lactate,Lactate [mmol/l],,
651174,BIB,nmrmetabolomics_baby,citrate,Citrate [mmol/l],,
651175,BIB,nmrmetabolomics_baby,acetate,Acetate [mmol/l],,
651176,BIB,nmrmetabolomics_baby,acetoacetate,Acetoacetate [mmol/l],,
651177,BIB,nmrmetabolomics_baby,bohbutyrate,Beta-hydroxybutyrate [mmol/l],,
651178,BIB,nmrmetabolomics_baby,creatinine,Creatinine [mmol/l],,
651179,BIB,nmrmetabolomics_baby,albumin,Albumin [signal area],,
651180,BIB,nmrmetabolomics_baby,glyca,Glycoprotein acetyls [mmol/l],,
651181,BIB,nmrmetabolomics_baby,xxl_vldl_p,Concentration of chylomicrons and extremely large VLDL particles [mol/l],,
651182,BIB,nmrmetabolomics_baby,xxl_vldl_l,Total lipids in chylomicrons and extremely large VLDL [mmol/l],,
651183,BIB,nmrmetabolomics_baby,xl_vldl_p,Concentration of very large VLDL particles [mol/l],,
651184,BIB,nmrmetabolomics_baby,xl_vldl_l,Total lipids in very large VLDL [mmol/l],,
651185,BIB,nmrmetabolomics_baby,l_vldl_p,Concentration of large VLDL particles [mol/l],,
651186,BIB,nmrmetabolomics_baby,l_vldl_l,Total lipids in large VLDL [mmol/l],,
651187,BIB,nmrmetabolomics_baby,m_vldl_p,Concentration of medium VLDL particles [mol/l],,
651188,BIB,nmrmetabolomics_baby,m_vldl_l,Total lipids in medium VLDL [mmol/l],,
651189,BIB,nmrmetabolomics_baby,s_vldl_p,Concentration of small VLDL particles [mol/l],,
651190,BIB,nmrmetabolomics_baby,s_vldl_l,Total lipids in small VLDL [mmol/l],,
651191,BIB,nmrmetabolomics_baby,xs_vldl_p,Concentration of very small VLDL particles [mol/l],,
651192,BIB,nmrmetabolomics_baby,xs_vldl_l,Total lipids in very small VLDL [mmol/l],,
651193,BIB,nmrmetabolomics_baby,idl_p,Concentration of IDL particles [mol/l],,
651194,BIB,nmrmetabolomics_baby,idl_l,Total lipids in IDL [mmol/l],,
651195,BIB,nmrmetabolomics_baby,l_ldl_p,Concentration of large LDL particles [mol/l],,
651196,BIB,nmrmetabolomics_baby,l_ldl_l,Total lipids in large LDL [mmol/l],,
651197,BIB,nmrmetabolomics_baby,m_ldl_p,Concentration of medium LDL particles [mol/l],,
651198,BIB,nmrmetabolomics_baby,m_ldl_l,Total lipids in medium LDL [mmol/l],,
651199,BIB,nmrmetabolomics_baby,s_ldl_p,Concentration of small LDL particles [mol/l],,
651200,BIB,nmrmetabolomics_baby,s_ldl_l,Total lipids in small LDL [mmol/l],,
651201,BIB,nmrmetabolomics_baby,xl_hdl_p,Concentration of very large HDL particles [mol/l],,
651202,BIB,nmrmetabolomics_baby,xl_hdl_l,Total lipids in very large HDL [mmol/l],,
651203,BIB,nmrmetabolomics_baby,l_hdl_p,Concentration of large HDL particles [mol/l],,
651204,BIB,nmrmetabolomics_baby,l_hdl_l,Total lipids in large HDL [mmol/l],,
651205,BIB,nmrmetabolomics_baby,m_hdl_p,Concentration of medium HDL particles [mol/l],,
651206,BIB,nmrmetabolomics_baby,m_hdl_l,Total lipids in medium HDL [mmol/l],,
651207,BIB,nmrmetabolomics_baby,s_hdl_p,Concentration of small HDL particles [mol/l],,
651208,BIB,nmrmetabolomics_baby,s_hdl_l,Total lipids in small HDL [mmol/l],,
651209,BIB,nmrmetabolomics_baby,vldl_size,Average diameter for VLDL particles [nm],,
651210,BIB,nmrmetabolomics_baby,ldl_size,Average diameter for LDL particles [nm],,
651211,BIB,nmrmetabolomics_baby,hdl_size,Average diameter for HDL particles [nm],,
651212,BIB,nmrmetabolomics_baby,avail_from_dt,,,
