,Source,Block Name,Variable Name,Variable Description,Value,Value Description
652241,BIB,nmrmetabolomics_mother,study_id_e,,,
652242,BIB,nmrmetabolomics_mother,bibpregnumber,,,
652243,BIB,nmrmetabolomics_mother,has_metnmr_mother,Has NMR metabolomics (mother),,
652244,BIB,nmrmetabolomics_mother,metabolsampgestage,NMR metabolomics gestational age sample taken,,
652245,BIB,nmrmetabolomics_mother,timestamp,Date of sample preperation,,
652246,BIB,nmrmetabolomics_mother,sample_type,Sample type for NMR metabolomics,,
652247,BIB,nmrmetabolomics_mother,nmr_spectrometer,NMR metabolomics spectrometer,,
652248,BIB,nmrmetabolomics_mother,lipo_lmwm_repeats,No. of repeats of LIPO; LMWM,,
652249,BIB,nmrmetabolomics_mother,linewidth,ControlB TMSP LMWM Linewidth at half height (0.3Hz line broadening),,
652250,BIB,nmrmetabolomics_mother,qc_pass,QC pass - assume passed unless otherwise stated,,
652251,BIB,nmrmetabolomics_mother,qc_comment,QC comment,,
652252,BIB,nmrmetabolomics_mother,tag_low_glucose,QC tag: low glucose,,
652253,BIB,nmrmetabolomics_mother,tag_high_pyruvate,QC tag: high pyruvate,,
652254,BIB,nmrmetabolomics_mother,tag_high_lactate,QC tag: high lactate,,
652255,BIB,nmrmetabolomics_mother,tag_low_protein_content,QC tag: low protein content,,
652256,BIB,nmrmetabolomics_mother,tag_plasma_sample,QC tag: plamsa sample,,
652257,BIB,nmrmetabolomics_mother,xxl_vldl_p,Concentration of chylomicrons and extremely large VLDL particles [mol/l],,
652258,BIB,nmrmetabolomics_mother,xxl_vldl_l,Total lipids in chylomicrons and extremely large VLDL [mmol/l],,
652259,BIB,nmrmetabolomics_mother,xxl_vldl_pl,Phospholipids in chylomicrons and extremely large VLDL [mmol/l],,
652260,BIB,nmrmetabolomics_mother,xxl_vldl_c,Total cholesterol in chylomicrons and extremely large VLDL [mmol/l],,
652261,BIB,nmrmetabolomics_mother,xxl_vldl_ce,Cholesterol esters in chylomicrons and extremely large VLDL [mmol/l],,
652262,BIB,nmrmetabolomics_mother,xxl_vldl_fc,Free cholesterol in chylomicrons and extremely large VLDL [mmol/l],,
652263,BIB,nmrmetabolomics_mother,xxl_vldl_tg,Triglycerides in chylomicrons and extremely large VLDL [mmol/l],,
652264,BIB,nmrmetabolomics_mother,xl_vldl_p,Concentration of very large VLDL particles [mol/l],,
652265,BIB,nmrmetabolomics_mother,xl_vldl_l,Total lipids in very large VLDL [mmol/l],,
652266,BIB,nmrmetabolomics_mother,xl_vldl_pl,Phospholipids in very large VLDL [mmol/l],,
652267,BIB,nmrmetabolomics_mother,xl_vldl_c,Total cholesterol in very large VLDL [mmol/l],,
652268,BIB,nmrmetabolomics_mother,xl_vldl_ce,Cholesterol esters in very large VLDL [mmol/l],,
652269,BIB,nmrmetabolomics_mother,xl_vldl_fc,Free cholesterol in very large VLDL [mmol/l],,
652270,BIB,nmrmetabolomics_mother,xl_vldl_tg,Triglycerides in very large VLDL [mmol/l],,
