,Source,Block Name,Variable Name,Variable Description,Value,Value Description
653414,CORE,NHSD_Geo_Indicator,cohortkey_e,,,
653415,CORE,NHSD_Geo_Indicator,record_date,,,
653416,CORE,NHSD_Geo_Indicator,origin,,,
653417,CORE,NHSD_Geo_Indicator,lsoa11cd_e,,,
653418,CORE,NHSD_Geo_Indicator,imd2019_q10,,,
653419,CORE,NHSD_Geo_Indicator,imd2019_income_q10,,,
653420,CORE,NHSD_Geo_Indicator,imd2019_employment_q10,,,
653421,CORE,NHSD_Geo_Indicator,imd2019_education_q10,,,
653422,CORE,NHSD_Geo_Indicator,imd2019_health_q10,,,
653423,CORE,NHSD_Geo_Indicator,imd2019_crime_q10,,,
653424,CORE,NHSD_Geo_Indicator,imd2019_barriers_q10,,,
653425,CORE,NHSD_Geo_Indicator,imd2019_environment_q10,,,
653426,CORE,NHSD_Geo_Indicator,imd2019_q3,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 33% of LSOAs),,
653427,CORE,NHSD_Geo_Indicator,imd2019_income_q3,Income Decile (where 1 is most deprived 33% of LSOAs),,
653428,CORE,NHSD_Geo_Indicator,imd2019_employment_q3,Employment Decile (where 1 is most deprived 33% of LSOAs),,
653429,CORE,NHSD_Geo_Indicator,imd2019_education_q3,"Education, Skills and Training Decile (where 1 is most deprived 33% of LSOAs)",,
653430,CORE,NHSD_Geo_Indicator,imd2019_health_q3,Health Deprivation and Disability Decile (where 1 is most deprived 33% of LSOAs),,
653431,CORE,NHSD_Geo_Indicator,imd2019_crime_q3,Crime Decile (where 1 is most deprived 33% of LSOAs),,
653432,CORE,NHSD_Geo_Indicator,imd2019_barriers_q3,Barriers to Housing and Services Decile (where 1 is most deprived 33% of LSOAs),,
653433,CORE,NHSD_Geo_Indicator,imd2019_environment_q3,Living Environment Decile (where 1 is most deprived 33% of LSOAs),,
653434,CORE,NHSD_Geo_Indicator,imd2019_q4,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 25% of LSOAs),,
653435,CORE,NHSD_Geo_Indicator,imd2019_income_q4,Income Decile (where 1 is most deprived 25% of LSOAs),,
653436,CORE,NHSD_Geo_Indicator,imd2019_employment_q4,Employment Decile (where 1 is most deprived 25% of LSOAs),,
653437,CORE,NHSD_Geo_Indicator,imd2019_education_q4,"Education, Skills and Training Decile (where 1 is most deprived 25% of LSOAs)",,
653438,CORE,NHSD_Geo_Indicator,imd2019_health_q4,Health Deprivation and Disability Decile (where 1 is most deprived 25% of LSOAs),,
653439,CORE,NHSD_Geo_Indicator,imd2019_crime_q4,Crime Decile (where 1 is most deprived 25% of LSOAs),,
653440,CORE,NHSD_Geo_Indicator,imd2019_barriers_q4,Barriers to Housing and Services Decile (where 1 is most deprived 25% of LSOAs),,
653441,CORE,NHSD_Geo_Indicator,imd2019_environment_q4,Living Environment Decile (where 1 is most deprived 25% of LSOAs),,
653442,CORE,NHSD_Geo_Indicator,imd2019_q5,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 20% of LSOAs),,
653443,CORE,NHSD_Geo_Indicator,imd2019_income_q5,Income Decile (where 1 is most deprived 20% of LSOAs),,
653444,CORE,NHSD_Geo_Indicator,imd2019_employment_q5,Employment Decile (where 1 is most deprived 20% of LSOAs),,
653445,CORE,NHSD_Geo_Indicator,imd2019_education_q5,"Education, Skills and Training Decile (where 1 is most deprived 20% of LSOAs)",,
653446,CORE,NHSD_Geo_Indicator,imd2019_health_q5,Health Deprivation and Disability Decile (where 1 is most deprived 20% of LSOAs),,
653447,CORE,NHSD_Geo_Indicator,imd2019_crime_q5,Crime Decile (where 1 is most deprived 20% of LSOAs),,
653448,CORE,NHSD_Geo_Indicator,imd2019_barriers_q5,Barriers to Housing and Services Decile (where 1 is most deprived 20% of LSOAs),,
653449,CORE,NHSD_Geo_Indicator,imd2019_environment_q5,Living Environment Decile (where 1 is most deprived 20% of LSOAs),,
653450,CORE,NHSD_Geo_Indicator,people_km2_2020,People per Sq Km - mid 2020,,
653451,CORE,NHSD_Geo_Indicator,ruc11cd_v2,2011 Urban rural classification collapsed from 8 catogories to 5,2.0,Urban minor conurbation
653452,CORE,NHSD_Geo_Indicator,ruc11cd_v2,2011 Urban rural classification collapsed from 8 catogories to 5,1.0,Urban major conurbation
653453,CORE,NHSD_Geo_Indicator,ruc11cd_v2,2011 Urban rural classification collapsed from 8 catogories to 5,5.0,Rural village and dispersed
653454,CORE,NHSD_Geo_Indicator,ruc11cd_v2,2011 Urban rural classification collapsed from 8 catogories to 5,3.0,Urban city and town
653455,CORE,NHSD_Geo_Indicator,ruc11cd_v2,2011 Urban rural classification collapsed from 8 catogories to 5,4.0,Rural town and fringe
653456,CORE,NHSD_Geo_Indicator,gor10nm,Region name - 2010,,
653457,CORE,NHSD_Geo_Indicator,ctry17nm,Country name 2017,,
653458,CORE,NHSD_Geo_Indicator,avail_from_dt,,,
