variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
idahhcvw1,external household serial number (unique household id),2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
finstat,dv: detailed sample type and cohort,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
cohort,elsa cohort,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
corepartner,elsa sample member type - at wave 9,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
outcome_w7,whether was interviewed in elsa wave 7,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
outcome_w8,whether was interviewed in elsa wave 8,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
outcome_w9,whether was interviewed in elsa wave 9,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
interviewmode,interview mode,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
cintdatd,day of interview - covid W1,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
cintdatm,month of interview - covid W1,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
cintdaty,year of interview - covid W1,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
cvlivecur,where are you living currently?,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
cvnump,how many people (including you) are currently living in the residence you are st,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
demographics_1_cvrelp,1: person's relationship to you?,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
demographics_2_cvrelp,2: person's relationship to you?,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
demographics_3_cvrelp,3: person's relationship to you?,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
demographics_4_cvrelp,4: person's relationship to you?,2022-03-17 11:38:34.153,elsa_covid_w1_eul_v0001_20211101
