,Source,Block Name,Variable Name,Variable Description,Value,Value Description
654330,ELSA,wave_9_elsa_data_eul_ca,study_id_e,,,
654331,ELSA,wave_9_elsa_data_eul_ca,perid,Person number in household,-9.0,Refused
654332,ELSA,wave_9_elsa_data_eul_ca,perid,Person number in household,-8.0,Don't know
654333,ELSA,wave_9_elsa_data_eul_ca,perid,Person number in household,-1.0,Not applicable
654334,ELSA,wave_9_elsa_data_eul_ca,iintdatd,interview day   - individual interview,,
654335,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,-9.0,Refused
654336,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,-8.0,Don't know
654337,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,-1.0,Not applicable
654338,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,1.0,January
654339,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,2.0,February
654340,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,3.0,March
654341,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,4.0,April
654342,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,5.0,May
654343,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,6.0,June
654344,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,7.0,July
654345,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,8.0,August
654346,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,9.0,September
654347,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,10.0,October
654348,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,11.0,November
654349,ELSA,wave_9_elsa_data_eul_ca,iintdatm,interview month - individual interview,12.0,December
654350,ELSA,wave_9_elsa_data_eul_ca,iintdaty,interview year  - individual interview,,
654351,ELSA,wave_9_elsa_data_eul_ca,catka,Whether received help last month: walking 100 yards,-9.0,Refused
654352,ELSA,wave_9_elsa_data_eul_ca,catka,Whether received help last month: walking 100 yards,-8.0,Don't Know
654353,ELSA,wave_9_elsa_data_eul_ca,catka,Whether received help last month: walking 100 yards,-1.0,Not applicable
654354,ELSA,wave_9_elsa_data_eul_ca,catka,Whether received help last month: walking 100 yards,1.0,Yes
654355,ELSA,wave_9_elsa_data_eul_ca,catka,Whether received help last month: walking 100 yards,2.0,No
654356,ELSA,wave_9_elsa_data_eul_ca,catkb,Whether received help last month: climbing several flights of stairs without res,-9.0,Refused
654357,ELSA,wave_9_elsa_data_eul_ca,catkb,Whether received help last month: climbing several flights of stairs without res,-8.0,Don't Know
654358,ELSA,wave_9_elsa_data_eul_ca,catkb,Whether received help last month: climbing several flights of stairs without res,-1.0,Not applicable
654359,ELSA,wave_9_elsa_data_eul_ca,catkb,Whether received help last month: climbing several flights of stairs without res,1.0,Yes
654360,ELSA,wave_9_elsa_data_eul_ca,catkb,Whether received help last month: climbing several flights of stairs without res,2.0,No
654361,ELSA,wave_9_elsa_data_eul_ca,catkc,Whether received help last month: climbing one flight of stairs without resting,-9.0,Refused
654362,ELSA,wave_9_elsa_data_eul_ca,catkc,Whether received help last month: climbing one flight of stairs without resting,-8.0,Don't Know
654363,ELSA,wave_9_elsa_data_eul_ca,catkc,Whether received help last month: climbing one flight of stairs without resting,-1.0,Not applicable
654364,ELSA,wave_9_elsa_data_eul_ca,catkc,Whether received help last month: climbing one flight of stairs without resting,1.0,Yes
654365,ELSA,wave_9_elsa_data_eul_ca,catkc,Whether received help last month: climbing one flight of stairs without resting,2.0,No
654366,ELSA,wave_9_elsa_data_eul_ca,catkd,Whether received help last month: dressing; including putting on shoes and socks,-9.0,Refused
654367,ELSA,wave_9_elsa_data_eul_ca,catkd,Whether received help last month: dressing; including putting on shoes and socks,-8.0,Don't Know
654368,ELSA,wave_9_elsa_data_eul_ca,catkd,Whether received help last month: dressing; including putting on shoes and socks,-1.0,Not applicable
654369,ELSA,wave_9_elsa_data_eul_ca,catkd,Whether received help last month: dressing; including putting on shoes and socks,1.0,Yes
654370,ELSA,wave_9_elsa_data_eul_ca,catkd,Whether received help last month: dressing; including putting on shoes and socks,2.0,No
654371,ELSA,wave_9_elsa_data_eul_ca,catke,Whether received help last month: walking across a room,-9.0,Refused
654372,ELSA,wave_9_elsa_data_eul_ca,catke,Whether received help last month: walking across a room,-8.0,Don't Know
654373,ELSA,wave_9_elsa_data_eul_ca,catke,Whether received help last month: walking across a room,-1.0,Not applicable
654374,ELSA,wave_9_elsa_data_eul_ca,catke,Whether received help last month: walking across a room,1.0,Yes
654375,ELSA,wave_9_elsa_data_eul_ca,catke,Whether received help last month: walking across a room,2.0,No
654376,ELSA,wave_9_elsa_data_eul_ca,catkf,Whether received help last month: bathing or showering,-9.0,Refused
654377,ELSA,wave_9_elsa_data_eul_ca,catkf,Whether received help last month: bathing or showering,-8.0,Don't Know
654378,ELSA,wave_9_elsa_data_eul_ca,catkf,Whether received help last month: bathing or showering,-1.0,Not applicable
654379,ELSA,wave_9_elsa_data_eul_ca,catkf,Whether received help last month: bathing or showering,1.0,Yes
654380,ELSA,wave_9_elsa_data_eul_ca,catkf,Whether received help last month: bathing or showering,2.0,No
654381,ELSA,wave_9_elsa_data_eul_ca,catkg,Whether received help last month: eating; such as cutting up food,-9.0,Refused
654382,ELSA,wave_9_elsa_data_eul_ca,catkg,Whether received help last month: eating; such as cutting up food,-8.0,Don't Know
654383,ELSA,wave_9_elsa_data_eul_ca,catkg,Whether received help last month: eating; such as cutting up food,-1.0,Not applicable
654384,ELSA,wave_9_elsa_data_eul_ca,catkg,Whether received help last month: eating; such as cutting up food,1.0,Yes
654385,ELSA,wave_9_elsa_data_eul_ca,catkg,Whether received help last month: eating; such as cutting up food,2.0,No
654386,ELSA,wave_9_elsa_data_eul_ca,catkh,Whether received help last month: getting in and out of bed,-9.0,Refused
654387,ELSA,wave_9_elsa_data_eul_ca,catkh,Whether received help last month: getting in and out of bed,-8.0,Don't Know
654388,ELSA,wave_9_elsa_data_eul_ca,catkh,Whether received help last month: getting in and out of bed,-1.0,Not applicable
654389,ELSA,wave_9_elsa_data_eul_ca,catkh,Whether received help last month: getting in and out of bed,1.0,Yes
654390,ELSA,wave_9_elsa_data_eul_ca,catkh,Whether received help last month: getting in and out of bed,2.0,No
654391,ELSA,wave_9_elsa_data_eul_ca,catki,Whether received help last month: using the toilet; including getting up or down,-9.0,Refused
654392,ELSA,wave_9_elsa_data_eul_ca,catki,Whether received help last month: using the toilet; including getting up or down,-8.0,Don't Know
654393,ELSA,wave_9_elsa_data_eul_ca,catki,Whether received help last month: using the toilet; including getting up or down,-1.0,Not applicable
654394,ELSA,wave_9_elsa_data_eul_ca,catki,Whether received help last month: using the toilet; including getting up or down,1.0,Yes
654395,ELSA,wave_9_elsa_data_eul_ca,catki,Whether received help last month: using the toilet; including getting up or down,2.0,No
654396,ELSA,wave_9_elsa_data_eul_ca,catkj,Whether received help last month: shopping for groceries,-9.0,Refused
654397,ELSA,wave_9_elsa_data_eul_ca,catkj,Whether received help last month: shopping for groceries,-8.0,Don't Know
654398,ELSA,wave_9_elsa_data_eul_ca,catkj,Whether received help last month: shopping for groceries,-1.0,Not applicable
654399,ELSA,wave_9_elsa_data_eul_ca,catkj,Whether received help last month: shopping for groceries,1.0,Yes
654400,ELSA,wave_9_elsa_data_eul_ca,catkj,Whether received help last month: shopping for groceries,2.0,No
654401,ELSA,wave_9_elsa_data_eul_ca,catkk,Whether received help last month: taking medications,-9.0,Refused
654402,ELSA,wave_9_elsa_data_eul_ca,catkk,Whether received help last month: taking medications,-8.0,Don't Know
654403,ELSA,wave_9_elsa_data_eul_ca,catkk,Whether received help last month: taking medications,-1.0,Not applicable
654404,ELSA,wave_9_elsa_data_eul_ca,catkk,Whether received help last month: taking medications,1.0,Yes
654405,ELSA,wave_9_elsa_data_eul_ca,catkk,Whether received help last month: taking medications,2.0,No
654406,ELSA,wave_9_elsa_data_eul_ca,catkl,Whether received help last month: doing work around the house or garden,-9.0,Refused
654407,ELSA,wave_9_elsa_data_eul_ca,catkl,Whether received help last month: doing work around the house or garden,-8.0,Don't Know
654408,ELSA,wave_9_elsa_data_eul_ca,catkl,Whether received help last month: doing work around the house or garden,-1.0,Not applicable
654409,ELSA,wave_9_elsa_data_eul_ca,catkl,Whether received help last month: doing work around the house or garden,1.0,Yes
654410,ELSA,wave_9_elsa_data_eul_ca,catkl,Whether received help last month: doing work around the house or garden,2.0,No
