,Source,Block Name,Variable Name,Variable Description,Value,Value Description
658767,ELSA,wave_9_elsa_data_eul_dhdi,study_id_e,,,
658768,ELSA,wave_9_elsa_data_eul_dhdi,perid,Person number in household,-9.0,Refused
658769,ELSA,wave_9_elsa_data_eul_dhdi,perid,Person number in household,-8.0,Don't know
658770,ELSA,wave_9_elsa_data_eul_dhdi,perid,Person number in household,-1.0,Not applicable
658771,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,-9.0,Refused
658772,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,-8.0,Don't know
658773,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,-1.0,Not applicable
658774,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,1.0,Core Member
658775,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,2.0,Core Partner
658776,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,3.0,New Partner
658777,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,4.0,Younger Partner
658778,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,5.0,Older Partner
658779,ELSA,wave_9_elsa_data_eul_dhdi,samptyp,Sampling status,6.0,Sample Member
658780,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-993.0,New partner not yet in household
658781,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-992.0,Member/partner of later cohort
658782,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-991.0,Non-eligible (not a sample member or partner)
658783,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-99.0,Other HH member finstat not assigned
658784,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-55.0,refreshment case finstat not yet established
658785,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-10.0,Finstat value not know
658786,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-9.0,Refused
658787,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-8.0,Do not  know
658788,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-4.0,Missing by error
658789,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-3.0,No valid answer
658790,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,-1.0,Not applicable
658791,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,1.0,C1CM
658792,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,2.0,C1CP
658793,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,3.0,C1SM
658794,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,4.0,C1YP
658795,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,5.0,C1NP1
658796,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,6.0,C1NP2
658797,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,7.0,C3CM
658798,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,8.0,C3CP
658799,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,9.0,C3SM
658800,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,10.0,C3YP
658801,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,11.0,C3OP
658802,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,12.0,C3NP3
658803,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,13.0,C1NP3
658804,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,14.0,C4CM
658805,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,15.0,C4CP
658806,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,16.0,C4SM
658807,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,17.0,C4YP
658808,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,18.0,C4OP
658809,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,19.0,C4NP4
658810,ELSA,wave_9_elsa_data_eul_dhdi,finstat,(D) W9 final finstat status,20.0,C3NP4
