variable_name,value_value,value_label,avail_from_dt,table_name
perid,-9,Refused,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
perid,-8,Don't know,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
perid,-1,Not applicable,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,-9,Refused,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,-8,Don't know,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,-1,Not applicable,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,1,Core Member,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,2,Core Partner,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,3,New Partner,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,4,Younger Partner,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,5,Older Partner,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
samptyp,6,Sample Member,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-993,New partner not yet in household,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-992,Member/partner of later cohort,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-991,Non-eligible (not a sample member or partner),2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-99,Other HH member finstat not assigned,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-55,refreshment case finstat not yet established,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-10,Finstat value not know,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-9,Refused,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-8,Do not  know,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-4,Missing by error,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-3,No valid answer,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,-1,Not applicable,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,1,C1CM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,2,C1CP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,3,C1SM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,4,C1YP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,5,C1NP1,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,6,C1NP2,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,7,C3CM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,8,C3CP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,9,C3SM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,10,C3YP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,11,C3OP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,12,C3NP3,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,13,C1NP3,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,14,C4CM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,15,C4CP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,16,C4SM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,17,C4YP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,18,C4OP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,19,C4NP4,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,20,C3NP4,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,21,C1NP4,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,22,C1NP5,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,23,C3NP5,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,24,C4NP5,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,25,C6CM,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,26,C6YP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,27,C6OP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
finstat,28,C6CP,2021-12-27 21:03:13.080,wave_9_elsa_data_eul_dhdi_v0001_20211101
