,Source,Block Name,Variable Name,Variable Description,Value,Value Description
666668,ELSA,wave_9_elsa_data_eul_er,study_id_e,,,
666669,ELSA,wave_9_elsa_data_eul_er,perid,Person number in household,-9.0,Refused
666670,ELSA,wave_9_elsa_data_eul_er,perid,Person number in household,-8.0,Don't know
666671,ELSA,wave_9_elsa_data_eul_er,perid,Person number in household,-1.0,Not applicable
666672,ELSA,wave_9_elsa_data_eul_er,iintdatd,interview day   - individual interview,,
666673,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,-9.0,Refused
666674,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,-8.0,Don't know
666675,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,-1.0,Not applicable
666676,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,1.0,January
666677,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,2.0,February
666678,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,3.0,March
666679,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,4.0,April
666680,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,5.0,May
666681,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,6.0,June
666682,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,7.0,July
666683,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,8.0,August
666684,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,9.0,September
666685,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,10.0,October
666686,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,11.0,November
666687,ELSA,wave_9_elsa_data_eul_er,iintdatm,interview month - individual interview,12.0,December
666688,ELSA,wave_9_elsa_data_eul_er,iintdaty,interview year  - individual interview,,
666689,ELSA,wave_9_elsa_data_eul_er,erfvolmo,Whether volunteered: raising money/taking part in sponsored events,-9.0,Refused
666690,ELSA,wave_9_elsa_data_eul_er,erfvolmo,Whether volunteered: raising money/taking part in sponsored events,-8.0,Don't Know
666691,ELSA,wave_9_elsa_data_eul_er,erfvolmo,Whether volunteered: raising money/taking part in sponsored events,-1.0,Not applicable
666692,ELSA,wave_9_elsa_data_eul_er,erfvolmo,Whether volunteered: raising money/taking part in sponsored events,0.0,Not mentioned
666693,ELSA,wave_9_elsa_data_eul_er,erfvolmo,Whether volunteered: raising money/taking part in sponsored events,1.0,Mentioned
666694,ELSA,wave_9_elsa_data_eul_er,erfvolle,Whether volunteered: leading group/being member of committee,-9.0,Refused
666695,ELSA,wave_9_elsa_data_eul_er,erfvolle,Whether volunteered: leading group/being member of committee,-8.0,Don't Know
666696,ELSA,wave_9_elsa_data_eul_er,erfvolle,Whether volunteered: leading group/being member of committee,-1.0,Not applicable
666697,ELSA,wave_9_elsa_data_eul_er,erfvolle,Whether volunteered: leading group/being member of committee,0.0,Not mentioned
666698,ELSA,wave_9_elsa_data_eul_er,erfvolle,Whether volunteered: leading group/being member of committee,1.0,Mentioned
666699,ELSA,wave_9_elsa_data_eul_er,erfvolor,Whether volunteered: organising or helping to run activity or event,-9.0,Refused
666700,ELSA,wave_9_elsa_data_eul_er,erfvolor,Whether volunteered: organising or helping to run activity or event,-8.0,Don't Know
666701,ELSA,wave_9_elsa_data_eul_er,erfvolor,Whether volunteered: organising or helping to run activity or event,-1.0,Not applicable
666702,ELSA,wave_9_elsa_data_eul_er,erfvolor,Whether volunteered: organising or helping to run activity or event,0.0,Not mentioned
666703,ELSA,wave_9_elsa_data_eul_er,erfvolor,Whether volunteered: organising or helping to run activity or event,1.0,Mentioned
666704,ELSA,wave_9_elsa_data_eul_er,erfvolvi,Whether volunteered: visiting people,-9.0,Refused
666705,ELSA,wave_9_elsa_data_eul_er,erfvolvi,Whether volunteered: visiting people,-8.0,Don't Know
666706,ELSA,wave_9_elsa_data_eul_er,erfvolvi,Whether volunteered: visiting people,-1.0,Not applicable
666707,ELSA,wave_9_elsa_data_eul_er,erfvolvi,Whether volunteered: visiting people,0.0,Not mentioned
666708,ELSA,wave_9_elsa_data_eul_er,erfvolvi,Whether volunteered: visiting people,1.0,Mentioned
666709,ELSA,wave_9_elsa_data_eul_er,erfvolbe,Whether volunteered: befriending or mentoring people,-9.0,Refused
666710,ELSA,wave_9_elsa_data_eul_er,erfvolbe,Whether volunteered: befriending or mentoring people,-8.0,Don't Know
666711,ELSA,wave_9_elsa_data_eul_er,erfvolbe,Whether volunteered: befriending or mentoring people,-1.0,Not applicable
666712,ELSA,wave_9_elsa_data_eul_er,erfvolbe,Whether volunteered: befriending or mentoring people,0.0,Not mentioned
666713,ELSA,wave_9_elsa_data_eul_er,erfvolbe,Whether volunteered: befriending or mentoring people,1.0,Mentioned
666714,ELSA,wave_9_elsa_data_eul_er,erfvoled,Whether volunteered: education/teaching/coaching,-9.0,Refused
666715,ELSA,wave_9_elsa_data_eul_er,erfvoled,Whether volunteered: education/teaching/coaching,-8.0,Don't Know
666716,ELSA,wave_9_elsa_data_eul_er,erfvoled,Whether volunteered: education/teaching/coaching,-1.0,Not applicable
666717,ELSA,wave_9_elsa_data_eul_er,erfvoled,Whether volunteered: education/teaching/coaching,0.0,Not mentioned
666718,ELSA,wave_9_elsa_data_eul_er,erfvoled,Whether volunteered: education/teaching/coaching,1.0,Mentioned
666719,ELSA,wave_9_elsa_data_eul_er,erfvolin,Whether volunteered: providing information/counselling,-9.0,Refused
666720,ELSA,wave_9_elsa_data_eul_er,erfvolin,Whether volunteered: providing information/counselling,-8.0,Don't Know
666721,ELSA,wave_9_elsa_data_eul_er,erfvolin,Whether volunteered: providing information/counselling,-1.0,Not applicable
666722,ELSA,wave_9_elsa_data_eul_er,erfvolin,Whether volunteered: providing information/counselling,0.0,Not mentioned
666723,ELSA,wave_9_elsa_data_eul_er,erfvolin,Whether volunteered: providing information/counselling,1.0,Mentioned
