variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
idahhw9,Analytical Wave 9 household serial number,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
perid,Person number in household,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolmo,Whether volunteered: raising money/taking part in sponsored events,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolle,Whether volunteered: leading group/being member of committee,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolor,Whether volunteered: organising or helping to run activity or event,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolvi,Whether volunteered: visiting people,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolbe,Whether volunteered: befriending or mentoring people,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvoled,Whether volunteered: education/teaching/coaching,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolin,Whether volunteered: providing information/counselling,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolse,Whether volunteered: secretarial; admin or clerical work,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvoltr,Whether volunteered: providing transport/driving,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolre,Whether volunteered: representing,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolca,Whether volunteered: campaigning,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvolpr,Whether volunteered: other practical help such as shopping,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvol,Whether volunteered: any other help,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvol96,Whether volunteered: none of these,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erfvoft,How often over the last 12 months has volunteered through group/ club/organisati,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolke,Unpaid help: keeping in touch with someone who can't get out and about,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolsh,Unpaid help: doing shopping; collecting pension or paying bills,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolco,Unpaid help: cooking; cleaning; laundry; gardening; other household jobs,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolde,Unpaid help: decorating or any kind of home or car repairs,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolba,Unpaid help: babysitting or caring for children,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolpe,Unpaid help: providing personal care for someone who is sick or frail,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolpr,Unpaid help: looking after a property or pet for someone who is away,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolwr,Unpaid help: writing letters or filling in forms,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvolre,Unpaid help: representing someone; for example; to a doctor or council dept,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvoltr,Unpaid help: transporting or escorting someone,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erlvol96,Unpaid help: none of these,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
erivoft,How often over the past 12 months has given unpaid help to other people as an in,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ervola,Whether respondent is satisfied with what they have gained so far from voluntary,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ervolb,Whether respondent feels they have been adequately appreciated for their volunta,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercaa,Whether looked after anyone in the past week,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabsp,Who looked after: her/his spouse/partner,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabch,Who looked after: her/his child,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabgc,Who looked after: her/his grandchild,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabpa,Who looked after: her/his parent,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabpl,Who looked after: her/his parent in law,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabor,Who looked after: other relative,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabfr,Who looked after: her/his friend or neighbour,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercabot,Who looked after: someone else,2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercamsp,Who looked after: her/his spouse/partner (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercamch,Who looked after: her/his child (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercamgc,Who looked after: her/his grandchild (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercampa,Who looked after: her/his parent (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercampl,Who looked after: her/his parent in law (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercamor,Who looked after: another relative (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercamfr,Who looked after: her/his friend or neighbour (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercam85,Who looked after: someone else - not codeable (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
ercam86,Who looked after: irrelevant response - not codeable (merged),2022-03-17 12:22:03.013,wave_9_elsa_data_eul_er_v0001_20211101
