variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
idahhw9,Analytical Wave 9 household serial number,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
perid,Person number in household,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exrain,Expectation (%) that it will rain tomorrow (example for respondent),2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exmovha,Expectation (%) that will move out of current home some time in the future,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exlo80,Expectation (%) that will live to [age] [depends on current age],2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exlo90,Expectation (%) that will live to be 85 years old or more,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expw,Expectation (%) that will be working after [age] [depends on age/sex],2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expwf,Expectation (%) that will be working full-time after [age] [depends on age/sex],2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expw70,Expectation (%) that will be working after age 70,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expw70f,Expectation (%) that will be working 35 hours a week or more when aged 70,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exhlim,Expectation (%) that health will limit ability to work before age 65,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exrslf,Expectation (%) that will not have enough financial resources to meet needs,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exainh,Expectation (%) that will receive inheritance during next 10 years,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
excinh,Expectation (%) that they will inherit Â£10;000 or more during next 10 years,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exinhe,Expectation (%) that they will inherit Â£100;000 or more during next 10 years,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
excin,Expectation (%) that they [& partner] will leave inheritance of Â£50;000 or more,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
excain,Expectation (%) that they [& partner] will leave any inheritance,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
excpin,Expectation (%) that they [& partner] will leave inheritance of Â£150;000 or more,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exhvr,Random allocation of text for exhva ['increase' or 'decrease' by '5%' or '10%'],2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exhva,Expectation (%) that house value will [exhvr] over the next year,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exnhev,Expectation (%) that will ever move into a nursing home,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exscev,Expectation (%) of ever needing long term care not provided by family or friends,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exltcev,Expectation (%) that will ever have to pay for long term care either in a nursin,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exmovnb,Expectation (%) that will move to a nursing home in the next 5 years,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
excfv,Expectation (%) of needing long term care not provided by family or friends in t,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
exltc5,Expectation (%) of having to pay for long term care in the next 5 years either i,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expfcla,How care paid for (currently not receiving care): local authority (social servic,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expfchs,How care paid for (currently not receiving care): NHS,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
expfcch,How are would be paid for (if currently not receiving care): charity/religious o,2022-03-17 12:29:33.730,wave_9_elsa_data_eul_ex_v0001_20211101
