variable_name,value_value,value_label,avail_from_dt,table_name
perid,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
perid,-8,Don't know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
perid,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,-8,Don't know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,1,January,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,2,February,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,3,March,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,4,April,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,5,May,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,6,June,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,7,July,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,8,August,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,9,September,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,10,October,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,11,November,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
iintdatm,12,December,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqmqua,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqmqua,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqmqua,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqmqua,1,Yes,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqmqua,2,No,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqaqua,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqaqua,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqaqua,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqaqua,1,Yes,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqaqua,2,No,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquadeg,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquadeg,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquadeg,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquadeg,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquadeg,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquatea,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquatea,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquatea,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquatea,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquatea,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquanur,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquanur,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquanur,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquanur,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquanur,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquahnc,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquahnc,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquahnc,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquahnc,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquahnc,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaonc,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaonc,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaonc,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaonc,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaonc,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgf,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgf,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgf,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgf,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgf,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacga,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacga,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacga,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacga,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacga,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgo,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgo,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgo,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgo,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquacgo,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaale,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaale,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaale,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaale,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaale,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaasl,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaasl,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaasl,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaasl,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaasl,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaslc,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaslc,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaslc,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaslc,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaslc,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaolp,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaolp,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaolp,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaolp,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaolp,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaola,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaola,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaola,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaola,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaola,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaold,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaold,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaold,-1,Not applicable,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaold,0,Not mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquaold,1,Mentioned,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquagca,-9,Refused,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
fqquagca,-8,Don't Know,2021-12-27 21:31:01.043,wave_9_elsa_data_eul_fq_v0001_20211101
