,Source,Block Name,Variable Name,Variable Description,Value,Value Description
668087,ELSA,wave_9_elsa_data_eul_heps,study_id_e,,,
668088,ELSA,wave_9_elsa_data_eul_heps,perid,Person number in household,-9.0,Refused
668089,ELSA,wave_9_elsa_data_eul_heps,perid,Person number in household,-8.0,Don't know
668090,ELSA,wave_9_elsa_data_eul_heps,perid,Person number in household,-1.0,Not applicable
668091,ELSA,wave_9_elsa_data_eul_heps,iintdatd,interview day   - individual interview,,
668092,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,-9.0,Refused
668093,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,-8.0,Don't know
668094,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,-1.0,Not applicable
668095,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,1.0,January
668096,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,2.0,February
668097,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,3.0,March
668098,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,4.0,April
668099,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,5.0,May
668100,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,6.0,June
668101,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,7.0,July
668102,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,8.0,August
668103,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,9.0,September
668104,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,10.0,October
668105,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,11.0,November
668106,ELSA,wave_9_elsa_data_eul_heps,iintdatm,interview month - individual interview,12.0,December
668107,ELSA,wave_9_elsa_data_eul_heps,iintdaty,interview year  - individual interview,,
668108,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,-9.0,Refused
668109,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,-8.0,Don't Know
668110,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,-1.0,Not applicable
668111,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,1.0,excellent
668112,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,2.0,very good
668113,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,3.0,Good
668114,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,4.0,Fair
668115,ELSA,wave_9_elsa_data_eul_heps,hehelf,Self-reported general health,5.0,Poor
668116,ELSA,wave_9_elsa_data_eul_heps,heill,Whether has self-reported long-standing illness,-9.0,Refused
668117,ELSA,wave_9_elsa_data_eul_heps,heill,Whether has self-reported long-standing illness,-8.0,Don't Know
668118,ELSA,wave_9_elsa_data_eul_heps,heill,Whether has self-reported long-standing illness,-1.0,Not applicable
668119,ELSA,wave_9_elsa_data_eul_heps,heill,Whether has self-reported long-standing illness,1.0,Yes
668120,ELSA,wave_9_elsa_data_eul_heps,heill,Whether has self-reported long-standing illness,2.0,No
668121,ELSA,wave_9_elsa_data_eul_heps,helim,Whether long-standing illness is limiting,-9.0,Refused
668122,ELSA,wave_9_elsa_data_eul_heps,helim,Whether long-standing illness is limiting,-8.0,Don't Know
668123,ELSA,wave_9_elsa_data_eul_heps,helim,Whether long-standing illness is limiting,-1.0,Not applicable
668124,ELSA,wave_9_elsa_data_eul_heps,helim,Whether long-standing illness is limiting,1.0,Yes
668125,ELSA,wave_9_elsa_data_eul_heps,helim,Whether long-standing illness is limiting,2.0,No
668126,ELSA,wave_9_elsa_data_eul_heps,helwk,Whether has self-reported health problem/disability that limits paid work,-9.0,Refused
668127,ELSA,wave_9_elsa_data_eul_heps,helwk,Whether has self-reported health problem/disability that limits paid work,-8.0,Don't Know
668128,ELSA,wave_9_elsa_data_eul_heps,helwk,Whether has self-reported health problem/disability that limits paid work,-1.0,Not applicable
668129,ELSA,wave_9_elsa_data_eul_heps,helwk,Whether has self-reported health problem/disability that limits paid work,1.0,Yes
668130,ELSA,wave_9_elsa_data_eul_heps,helwk,Whether has self-reported health problem/disability that limits paid work,2.0,No
668131,ELSA,wave_9_elsa_data_eul_heps,hetemp,Whether expects health problem/disability to last less than 3 months,-9.0,Refused
668132,ELSA,wave_9_elsa_data_eul_heps,hetemp,Whether expects health problem/disability to last less than 3 months,-8.0,Don't Know
668133,ELSA,wave_9_elsa_data_eul_heps,hetemp,Whether expects health problem/disability to last less than 3 months,-1.0,Not applicable
668134,ELSA,wave_9_elsa_data_eul_heps,hetemp,Whether expects health problem/disability to last less than 3 months,1.0,Yes
668135,ELSA,wave_9_elsa_data_eul_heps,hetemp,Whether expects health problem/disability to last less than 3 months,2.0,No
668136,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,-9.0,Refused
668137,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,-8.0,Don't Know
668138,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,-1.0,Not applicable
668139,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,1.0,No difficulty
668140,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,2.0,Some difficulty
668141,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,3.0,Much difficulty
668142,ELSA,wave_9_elsa_data_eul_heps,hefunc,Whether difficult walking 1/4 mile unaided,4.0,Unable to do this
668143,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),-9.0,Refused
668144,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),-8.0,Don't Know
668145,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),-1.0,Not applicable
668146,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),1.0,Excellent
668147,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),2.0,Very good
668148,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),3.0,Good
668149,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),4.0,Fair
668150,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),5.0,Poor
668151,ELSA,wave_9_elsa_data_eul_heps,heeye,Self-reported eyesight (while using lenses; if appropriate),6.0,SPONTANEOUS: Registered or legally blind
668152,ELSA,wave_9_elsa_data_eul_heps,heeyea,Whether registered with local council as sight impaired,-9.0,Refused
668153,ELSA,wave_9_elsa_data_eul_heps,heeyea,Whether registered with local council as sight impaired,-8.0,Don't Know
668154,ELSA,wave_9_elsa_data_eul_heps,heeyea,Whether registered with local council as sight impaired,-1.0,Not applicable
668155,ELSA,wave_9_elsa_data_eul_heps,heeyea,Whether registered with local council as sight impaired,1.0,Partially sighted (also known as sight impaired)
668156,ELSA,wave_9_elsa_data_eul_heps,heeyea,Whether registered with local council as sight impaired,2.0,Blind (also known as severely sight impaired)
668157,ELSA,wave_9_elsa_data_eul_heps,heeyea,Whether registered with local council as sight impaired,3.0,Not registered as being sight impaired
668158,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,-9.0,Refused
668159,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,-8.0,Don't Know
668160,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,-1.0,Not applicable
668161,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,1.0,Excellent
668162,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,2.0,Very good
668163,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,3.0,Good
668164,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,4.0,Fair
668165,ELSA,wave_9_elsa_data_eul_heps,hefrnd,Eyesight for recognition of friend across street,5.0,Poor
668166,ELSA,wave_9_elsa_data_eul_heps,hepap,Eyesight for reading ordinary newspaper print,-9.0,Refused
668167,ELSA,wave_9_elsa_data_eul_heps,hepap,Eyesight for reading ordinary newspaper print,-8.0,Don't Know
668168,ELSA,wave_9_elsa_data_eul_heps,hepap,Eyesight for reading ordinary newspaper print,-1.0,Not applicable
668169,ELSA,wave_9_elsa_data_eul_heps,hepap,Eyesight for reading ordinary newspaper print,1.0,Excellent
