variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
idahhw9_e,Encrypted Analytical Wave 9 household serial number,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
perid,Person number in household,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hehelf,Self-reported general health,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heill,Whether has self-reported long-standing illness,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
helim,Whether long-standing illness is limiting,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
helwk,Whether has self-reported health problem/disability that limits paid work,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hetemp,Whether expects health problem/disability to last less than 3 months,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hefunc,Whether difficult walking 1/4 mile unaided,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heeye,Self-reported eyesight (while using lenses; if appropriate),2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heeyea,Whether registered with local council as sight impaired,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hefrnd,Eyesight for recognition of friend across street,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hepap,Eyesight for reading ordinary newspaper print,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopcgl,Whether confirms glaucoma diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopcdi,Whether confirms diabetic eye disease diagnosed,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopcmd,Whether confirms macular degeneration diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopcca,Whether confirms cataract diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopfgl,Eye: diagnosed glaucoma fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopfdi,Eye: diagnosed diabetic eye disease fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopfmd,Eye: diagnosed macular degeneration fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopfca,Eye: diagnosed cataract fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopngl,Reason disputed glaucoma diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopndi,Reason disputed diabetic eye disease diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopnmd,Reason disputed macular degeneration diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopnca,Reason disputed cataract diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopsgl,Whether still has glaucoma,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopsdi,Whether still has diabetic eye disease,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopsmd,Whether still has macular degeneration,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopsca,Whether still has cataract,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heoptgl,Eye: glaucoma diagnosis newly reported,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heoptdi,Eye: diabetic eye disease diagnosis newly reported,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heoptmd,Eye: macular degeneration diagnosis newly reported,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heoptca,Eye: cataract diagnosis newly reported,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heopt96,Eye: no diagnosis newly reported,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedreyr,Eye: whether doctor or optician recommended cataract removal,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hecat,Whether had cataract surgery,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hecatn,Cataract surgery: who paid,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hehear,Self-reported hearing (while using hearing aid if appropriate),2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hehra,Hearing: whether finds it difficult to follow conversation when background noise,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hessme,Self-rated sense of smell,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hestas,Self-rated sense of taste,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hednta,Dental condition,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedntb1,Difficulties caused by dental condition: difficulty eating food,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedntb2,Difficulties caused by dental condition: difficulty speaking clearly,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedntb3,Difficulties caused by dental condition: problems with smiling; laughing and sho,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedntb4,Difficulties caused by dental condition: problems with emotional stability; for ,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedntb5,Difficulties caused by dental condition: problems enjoying the company of other ,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedntb96,Difficulties caused by dental condition: none of these,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heswgh,Self-rated weight dependent on age and height,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
heswgha,Whether respondent is trying to change their weight,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hebpchk,Blood pressure: whether checked by doctor or nurse in past year,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawbp,Diagnosed high blood pressure fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedacbp,Whether confirms high blood pressure diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanbp,Reason disputed high blood pressure diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedasbp,Whether still has high blood pressure,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawan,Diagnosed angina fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanan,Reason disputed angina diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawmi,Diagnosed heart attack fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanmi,Reason disputed heart attack diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawhf,Diagnosed congestive heart failure fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedachf,Whether confirms congestive heart failure diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanhf,Reason disputed congestive heart failure diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedashf,Whether still has congestive heart failure,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawhm,Diagnosed heart murmur fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedachm,Whether confirms heart murmur diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanhm,Reason disputed heart murmur diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedashm,Whether still has heart murmur,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawar,Diagnosed abnormal heart rhythm fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedacar,Whether confirms abnormal heart rhythm diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanar,Reason disputed abnormal heart rhythm diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedasar,Whether still has abnormal heart rhythm,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawdi,Diagnosed diabetes or high blood sugar fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedacdi,Whether confirms diabetes or high blood sugar diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedandi,Reason disputed diabetes or high blood sugar diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawst,Diagnosed stroke fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedacst,Whether confirms stroke diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanst,Reason disputed stroke diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedawch,Diagnosed high cholesterol fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedacch,Whether confirms high cholesterol diagnosis,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedanch,Reason disputed high cholesterol diagnosis fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedasch,Whether still has high cholesterol,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
hedaw95,Diagnosed other heart disease fed forward,2022-03-17 12:32:58.113,wave_9_elsa_data_eul_heps_v0001_20211101
