variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
idahhw9_e,Encrypted Analytical Wave 9 household serial number,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
perid,Person number in household,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hopid,Computed: person number who answered HO,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoask,Computed: total number of previous householders still in household,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoeli,Computed: whether at least one person named at howhn is eligible for interview,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howho,Whether accommodation still owned or rented in name of previous householders,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh1,In whose name is accommodation owned or rented: person 1,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh2,In whose name is accommodation owned or rented: person 2,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh3,In whose name is accommodation owned or rented: person 3,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh4,In whose name is accommodation owned or rented: person 4,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh5,In whose name is accommodation owned or rented: person 5,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh6,In whose name is accommodation owned or rented: person 6,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh7,In whose name is accommodation owned or rented: person 7,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh8,In whose name is accommodation owned or rented: person 8,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh9,In whose name is accommodation owned or rented: person 9,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh10,In whose name is accommodation owned or rented: person 10,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh11,In whose name is accommodation owned or rented: person 11,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh12,In whose name is accommodation owned or rented: person 12,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh13,In whose name is accommodation owned or rented: person 13,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh14,In whose name is accommodation owned or rented: person 14,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh15,In whose name is accommodation owned or rented: person 15,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh16,In whose name is accommodation owned or rented: person 16,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
howh97,In whose name is accommodation owned or rented: not a household member,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobas,Basis for person 1 living here,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobp,Last rent payment for person 1 : period it covered,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba,Last rent payment for person 1,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobawl,Wkly last rent payment (person 1) - bracket min value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobawu,Wkly last rent payment (person 1) - bracket max value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobawe,Wkly last rent payment (person 1) - bracket entry point (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobawr,Wkly last rent payment (person 1) - bracket result (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobafl,Fnightly last rent payment (person 1) - bracket min value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobafu,Fnightly last rent payment (person 1) - bracket max value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobafe,Fnightly last rent payment (person 1) - bracket entry point (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobafr,Fnightly last rent payment (person 1) - bracket result (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobaml,Mnthly last rent payment (person 1) - bracket min value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobamu,Mnthly last rent payment (person 1) - bracket max value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobame,Mnthly last rent payment (person 1) - bracket entry point (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobamr,Mnthly last rent payment (person 1) - bracket result (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobayl,Annual last rent payment (person 1) - bracket min value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobayu,Annual last rent payment (person 1) - bracket max value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobaye,Annual last rent payment (person 1) - bracket entry point (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobayr,Annual last rent payment (person 1) - bracket result (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobaol,Oth pd last rent payment (person 1) - bracket min value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobaou,Oth pd last rent payment (person 1) - bracket max value (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobaoe,Oth pd last rent payment (person 1) - bracket entry point (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobaor,Oth pd last rent payment (person 1) - bracket result (hoba),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobas2,Basis for person 2 living here,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobp2,Last rent payment for person 2: period it covered,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2,Last rent payment for person 2,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2wl,Wkly last rent payment (person 2) - bracket min value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2wu,Wkly last rent payment (person 2) - bracket max value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2we,Wkly last rent payment (person 2) - bracket entry point (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2wr,Wkly last rent payment (person 2) - bracket result (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2fl,Fnightly last rent payment (person 2) - bracket min value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2fu,Fnightly last rent payment (person 2) - bracket max value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2fe,Fnightly last rent payment (person 2) - bracket entry point (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2fr,Fnightly last rent payment (person 2) - bracket result (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2ml,Mnthly last rent payment (person 2) - bracket min value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2mu,Mnthly last rent payment (person 2) - bracket max value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2me,Mnthly last rent payment (person 2) - bracket entry point (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2mr,Mnthly last rent payment (person 2) - bracket result (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2yl,Annual last rent payment (person 2) - bracket min value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2yu,Annual last rent payment (person 2) - bracket max value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2ye,Annual last rent payment (person 2) - bracket entry point (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2yr,Annual last rent payment (person 2) - bracket result (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2ol,Oth pd last rent payment (person 2) - bracket min value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2ou,Oth pd last rent payment (person 2) - bracket max value (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2oe,Oth pd last rent payment (person 2) - bracket entry point (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba2or,Oth pd last rent payment (person 2) - bracket result (hoba2),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobas3,Basis for person 3 living here,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hobp3,Last rent payment for person 3: period it covered,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3,Last rent payment for person 3,2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3wl,Wkly last rent payment (person 3) - bracket min value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3wu,Wkly last rent payment (person 3) - bracket max value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3we,Wkly last rent payment (person 3) - bracket entry point (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3wr,Wkly last rent payment (person 3) - bracket result (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3fl,Fnightly last rent payment (person 3) - bracket min value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3fu,Fnightly last rent payment (person 3) - bracket max value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3fe,Fnightly last rent payment (person 3) - bracket entry point (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3fr,Fnightly last rent payment (person 3) - bracket result (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3ml,Mnthly last rent payment (person 3) - bracket min value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3mu,Mnthly last rent payment (person 3) - bracket max value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3me,Mnthly last rent payment (person 3) - bracket entry point (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3mr,Mnthly last rent payment (person 3) - bracket result (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
hoba3yl,Annual last rent payment (person 3) - bracket min value (hoba3),2022-03-17 13:02:51.890,wave_9_elsa_data_eul_ho1_v0001_20211101
