,Source,Block Name,Variable Name,Variable Description,Value,Value Description
678970,ELSA,wave_9_elsa_data_eul_ia1,study_id_e,,,
678971,ELSA,wave_9_elsa_data_eul_ia1,perid,Person number in household,-9.0,Refused
678972,ELSA,wave_9_elsa_data_eul_ia1,perid,Person number in household,-8.0,Don't know
678973,ELSA,wave_9_elsa_data_eul_ia1,perid,Person number in household,-1.0,Not applicable
678974,ELSA,wave_9_elsa_data_eul_ia1,iintdatd,interview day   - individual interview,,
678975,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,-9.0,Refused
678976,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,-8.0,Don't know
678977,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,-1.0,Not applicable
678978,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,1.0,January
678979,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,2.0,February
678980,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,3.0,March
678981,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,4.0,April
678982,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,5.0,May
678983,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,6.0,June
678984,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,7.0,July
678985,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,8.0,August
678986,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,9.0,September
678987,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,10.0,October
678988,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,11.0,November
678989,ELSA,wave_9_elsa_data_eul_ia1,iintdatm,interview month - individual interview,12.0,December
678990,ELSA,wave_9_elsa_data_eul_ia1,iintdaty,interview year  - individual interview,,
678991,ELSA,wave_9_elsa_data_eul_ia1,iapid,Computed: person number who answered IA,-9.0,Refused
678992,ELSA,wave_9_elsa_data_eul_ia1,iapid,Computed: person number who answered IA,-8.0,Don't know
678993,ELSA,wave_9_elsa_data_eul_ia1,iapid,Computed: person number who answered IA,-1.0,Not applicable
678994,ELSA,wave_9_elsa_data_eul_ia1,iaw1r,Computed: was respondent or partner income and assets respondent last time,-9.0,Refused
678995,ELSA,wave_9_elsa_data_eul_ia1,iaw1r,Computed: was respondent or partner income and assets respondent last time,-8.0,Don't Know
678996,ELSA,wave_9_elsa_data_eul_ia1,iaw1r,Computed: was respondent or partner income and assets respondent last time,-1.0,Not applicable
678997,ELSA,wave_9_elsa_data_eul_ia1,iaw1r,Computed: was respondent or partner income and assets respondent last time,1.0,Respondent
678998,ELSA,wave_9_elsa_data_eul_ia1,iaw1r,Computed: was respondent or partner income and assets respondent last time,2.0,Partner
678999,ELSA,wave_9_elsa_data_eul_ia1,iaffnum,Computed: person number of IA respondent at Wave 1,-9.0,Refused
679000,ELSA,wave_9_elsa_data_eul_ia1,iaffnum,Computed: person number of IA respondent at Wave 1,-8.0,Don't know
679001,ELSA,wave_9_elsa_data_eul_ia1,iaffnum,Computed: person number of IA respondent at Wave 1,-1.0,Not applicable
679002,ELSA,wave_9_elsa_data_eul_ia1,iaask,Whether asking for partner in hh too,-9.0,Refused
679003,ELSA,wave_9_elsa_data_eul_ia1,iaask,Whether asking for partner in hh too,-8.0,Don't Know
679004,ELSA,wave_9_elsa_data_eul_ia1,iaask,Whether asking for partner in hh too,-1.0,Not applicable
679005,ELSA,wave_9_elsa_data_eul_ia1,iaask,Whether asking for partner in hh too,1.0,Yes
679006,ELSA,wave_9_elsa_data_eul_ia1,iaask,Whether asking for partner in hh too,2.0,No
679007,ELSA,wave_9_elsa_data_eul_ia1,iawork,Whether respondent or spouse did any work for pay in the last year,-9.0,Refused
679008,ELSA,wave_9_elsa_data_eul_ia1,iawork,Whether respondent or spouse did any work for pay in the last year,-8.0,Don't Know
679009,ELSA,wave_9_elsa_data_eul_ia1,iawork,Whether respondent or spouse did any work for pay in the last year,-1.0,Not applicable
679010,ELSA,wave_9_elsa_data_eul_ia1,iawork,Whether respondent or spouse did any work for pay in the last year,1.0,Yes
679011,ELSA,wave_9_elsa_data_eul_ia1,iawork,Whether respondent or spouse did any work for pay in the last year,2.0,No
679012,ELSA,wave_9_elsa_data_eul_ia1,iasinc,Gross earnings (wage and salary income) received by respondent (and spouse) in t,-9.0,Refused
679013,ELSA,wave_9_elsa_data_eul_ia1,iasinc,Gross earnings (wage and salary income) received by respondent (and spouse) in t,-8.0,Don't know
679014,ELSA,wave_9_elsa_data_eul_ia1,iasinc,Gross earnings (wage and salary income) received by respondent (and spouse) in t,-1.0,Not applicable
679015,ELSA,wave_9_elsa_data_eul_ia1,iasincl,Wage and salary income - bracket min value (iasinc),-9.0,Refused
679016,ELSA,wave_9_elsa_data_eul_ia1,iasincl,Wage and salary income - bracket min value (iasinc),-8.0,Don't know
679017,ELSA,wave_9_elsa_data_eul_ia1,iasincl,Wage and salary income - bracket min value (iasinc),-1.0,Not applicable
679018,ELSA,wave_9_elsa_data_eul_ia1,iasincu,Wage and salary income - bracket max value (iasinc),-9.0,Refused
679019,ELSA,wave_9_elsa_data_eul_ia1,iasincu,Wage and salary income - bracket max value (iasinc),-8.0,Don't know
679020,ELSA,wave_9_elsa_data_eul_ia1,iasincu,Wage and salary income - bracket max value (iasinc),-1.0,Not applicable
679021,ELSA,wave_9_elsa_data_eul_ia1,iasince,Wage and salary income - bracket entry point (iasinc),-9.0,Refused
679022,ELSA,wave_9_elsa_data_eul_ia1,iasince,Wage and salary income - bracket entry point (iasinc),-8.0,Don't know
679023,ELSA,wave_9_elsa_data_eul_ia1,iasince,Wage and salary income - bracket entry point (iasinc),-1.0,Not applicable
679024,ELSA,wave_9_elsa_data_eul_ia1,iasincr,Wage and salary income - bracket result (iasinc),-9.0,Refused
