variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
idahhw9_e,Encrypted Analytical Wave 9 household serial number,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
perid,Person number in household,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iapid,Computed: person number who answered IA,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iaw1r,Computed: was respondent or partner income and assets respondent last time,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iaffnum,Computed: person number of IA respondent at Wave 1,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iaask,Whether asking for partner in hh too,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iawork,Whether respondent or spouse did any work for pay in the last year,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iasinc,Gross earnings (wage and salary income) received by respondent (and spouse) in t,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iasincl,Wage and salary income - bracket min value (iasinc),2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iasincu,Wage and salary income - bracket max value (iasinc),2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iasince,Wage and salary income - bracket entry point (iasinc),2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iasincr,Wage and salary income - bracket result (iasinc),2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
abvspasp,Whether spouse/partner of respondent is at or above state pension age,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iaspen,Whether respondent (or spouse) received any money from the state pension in the ,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iaspw,Whether it was respondent or spouse who received the state pension in the last y,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iaspa,How much is received from the state pension: period code,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iapam,How much is received from the state pension: amount received,2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
iapamwl,Wkly state pension income - bracket min value (iapam),2022-03-17 12:46:55.073,wave_9_elsa_data_eul_ia1_v0001_20211101
