variable_name,value_value,value_label,avail_from_dt,table_name
perid,-9,Refused,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
perid,-8,Don't know,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
perid,-1,Not applicable,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,-9,Refused,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,-8,Don't know,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,-1,Not applicable,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,1,January,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,2,February,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,3,March,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,4,April,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,5,May,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,6,June,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,7,July,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,8,August,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,9,September,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,10,October,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,11,November,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iintdatm,12,December,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iapid,-9,Refused,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iapid,-8,Don't know,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iapid,-1,Not applicable,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaw1r,-9,Refused,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaw1r,-8,Don't Know,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaw1r,-1,Not applicable,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaw1r,1,Respondent,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaw1r,2,Partner,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaffnum,-9,Refused,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaffnum,-8,Don't know,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaffnum,-1,Not applicable,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaask,-9,Refused,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
iaask,-8,Don't Know,2021-12-27 21:44:15.973,wave_9_elsa_data_eul_ia1_v0001_20211101
