,Source,Block Name,Variable Name,Variable Description,Value,Value Description
686295,ELSA,wave_9_elsa_data_eul_spsc,study_id_e,,,
686296,ELSA,wave_9_elsa_data_eul_spsc,perid,Person number in household,-9.0,Refused
686297,ELSA,wave_9_elsa_data_eul_spsc,perid,Person number in household,-8.0,Don't know
686298,ELSA,wave_9_elsa_data_eul_spsc,perid,Person number in household,-1.0,Not applicable
686299,ELSA,wave_9_elsa_data_eul_spsc,iintdatd,interview day   - individual interview,,
686300,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,-9.0,Refused
686301,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,-8.0,Don't know
686302,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,-1.0,Not applicable
686303,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,1.0,January
686304,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,2.0,February
686305,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,3.0,March
686306,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,4.0,April
686307,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,5.0,May
686308,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,6.0,June
686309,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,7.0,July
686310,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,8.0,August
686311,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,9.0,September
686312,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,10.0,October
686313,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,11.0,November
686314,ELSA,wave_9_elsa_data_eul_spsc,iintdatm,interview month - individual interview,12.0,December
686315,ELSA,wave_9_elsa_data_eul_spsc,iintdaty,interview year  - individual interview,,
686316,ELSA,wave_9_elsa_data_eul_spsc,spcar,Whether respondent has use of car or van when needed; as a driver or a passenger,-9.0,Refused
686317,ELSA,wave_9_elsa_data_eul_spsc,spcar,Whether respondent has use of car or van when needed; as a driver or a passenger,-8.0,Don't Know
686318,ELSA,wave_9_elsa_data_eul_spsc,spcar,Whether respondent has use of car or van when needed; as a driver or a passenger,-1.0,Not applicable
686319,ELSA,wave_9_elsa_data_eul_spsc,spcar,Whether respondent has use of car or van when needed; as a driver or a passenger,1.0,Yes
686320,ELSA,wave_9_elsa_data_eul_spsc,spcar,Whether respondent has use of car or van when needed; as a driver or a passenger,2.0,No
686321,ELSA,wave_9_elsa_data_eul_spsc,spcara,Whether respondent drives this car or van themselves,-9.0,Refused
686322,ELSA,wave_9_elsa_data_eul_spsc,spcara,Whether respondent drives this car or van themselves,-8.0,Don't Know
686323,ELSA,wave_9_elsa_data_eul_spsc,spcara,Whether respondent drives this car or van themselves,-1.0,Not applicable
686324,ELSA,wave_9_elsa_data_eul_spsc,spcara,Whether respondent drives this car or van themselves,1.0,Yes
686325,ELSA,wave_9_elsa_data_eul_spsc,spcara,Whether respondent drives this car or van themselves,2.0,"No, passenger only"
686326,ELSA,wave_9_elsa_data_eul_spsc,spcarb,Whether respondent drove a car or van themself in the past,-9.0,Refused
686327,ELSA,wave_9_elsa_data_eul_spsc,spcarb,Whether respondent drove a car or van themself in the past,-8.0,Don't Know
686328,ELSA,wave_9_elsa_data_eul_spsc,spcarb,Whether respondent drove a car or van themself in the past,-1.0,Not applicable
686329,ELSA,wave_9_elsa_data_eul_spsc,spcarb,Whether respondent drove a car or van themself in the past,1.0,Yes
686330,ELSA,wave_9_elsa_data_eul_spsc,spcarb,Whether respondent drove a car or van themself in the past,2.0,No
686331,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,-9.0,Refused
686332,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,-8.0,Don't Know
686333,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,-1.0,Not applicable
686334,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,1.0,Every day or nearly every day
686335,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,2.0,Two or three times a week
686336,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,3.0,Once a week
686337,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,4.0,Two or three times a month
686338,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,5.0,Once a month or less
686339,ELSA,wave_9_elsa_data_eul_spsc,sptraa,How often respondent uses public transport,6.0,Never
686340,ELSA,wave_9_elsa_data_eul_spsc,sptrab1,Reasons for not using public transport: none is available,-9.0,Refused
686341,ELSA,wave_9_elsa_data_eul_spsc,sptrab1,Reasons for not using public transport: none is available,-8.0,Don't Know
686342,ELSA,wave_9_elsa_data_eul_spsc,sptrab1,Reasons for not using public transport: none is available,-1.0,Not applicable
686343,ELSA,wave_9_elsa_data_eul_spsc,sptrab1,Reasons for not using public transport: none is available,0.0,Not mentioned
686344,ELSA,wave_9_elsa_data_eul_spsc,sptrab1,Reasons for not using public transport: none is available,1.0,Mentioned
686345,ELSA,wave_9_elsa_data_eul_spsc,sptrab2,Reasons for not using public transport: does not go where they want to,-9.0,Refused
686346,ELSA,wave_9_elsa_data_eul_spsc,sptrab2,Reasons for not using public transport: does not go where they want to,-8.0,Don't Know
686347,ELSA,wave_9_elsa_data_eul_spsc,sptrab2,Reasons for not using public transport: does not go where they want to,-1.0,Not applicable
686348,ELSA,wave_9_elsa_data_eul_spsc,sptrab2,Reasons for not using public transport: does not go where they want to,0.0,Not mentioned
686349,ELSA,wave_9_elsa_data_eul_spsc,sptrab2,Reasons for not using public transport: does not go where they want to,1.0,Mentioned
686350,ELSA,wave_9_elsa_data_eul_spsc,sptrab3,Reasons for not using public transport: it is too expensive,-9.0,Refused
686351,ELSA,wave_9_elsa_data_eul_spsc,sptrab3,Reasons for not using public transport: it is too expensive,-8.0,Don't Know
686352,ELSA,wave_9_elsa_data_eul_spsc,sptrab3,Reasons for not using public transport: it is too expensive,-1.0,Not applicable
686353,ELSA,wave_9_elsa_data_eul_spsc,sptrab3,Reasons for not using public transport: it is too expensive,0.0,Not mentioned
686354,ELSA,wave_9_elsa_data_eul_spsc,sptrab3,Reasons for not using public transport: it is too expensive,1.0,Mentioned
686355,ELSA,wave_9_elsa_data_eul_spsc,sptrab4,Reasons for not using public transport: it is unreliable,-9.0,Refused
686356,ELSA,wave_9_elsa_data_eul_spsc,sptrab4,Reasons for not using public transport: it is unreliable,-8.0,Don't Know
686357,ELSA,wave_9_elsa_data_eul_spsc,sptrab4,Reasons for not using public transport: it is unreliable,-1.0,Not applicable
686358,ELSA,wave_9_elsa_data_eul_spsc,sptrab4,Reasons for not using public transport: it is unreliable,0.0,Not mentioned
686359,ELSA,wave_9_elsa_data_eul_spsc,sptrab4,Reasons for not using public transport: it is unreliable,1.0,Mentioned
686360,ELSA,wave_9_elsa_data_eul_spsc,sptrab5,Reasons for not using public transport: it is infrequent,-9.0,Refused
686361,ELSA,wave_9_elsa_data_eul_spsc,sptrab5,Reasons for not using public transport: it is infrequent,-8.0,Don't Know
686362,ELSA,wave_9_elsa_data_eul_spsc,sptrab5,Reasons for not using public transport: it is infrequent,-1.0,Not applicable
686363,ELSA,wave_9_elsa_data_eul_spsc,sptrab5,Reasons for not using public transport: it is infrequent,0.0,Not mentioned
686364,ELSA,wave_9_elsa_data_eul_spsc,sptrab5,Reasons for not using public transport: it is infrequent,1.0,Mentioned
686365,ELSA,wave_9_elsa_data_eul_spsc,sptrab6,Reasons for not using public transport: their health prevents them,-9.0,Refused
686366,ELSA,wave_9_elsa_data_eul_spsc,sptrab6,Reasons for not using public transport: their health prevents them,-8.0,Don't Know
686367,ELSA,wave_9_elsa_data_eul_spsc,sptrab6,Reasons for not using public transport: their health prevents them,-1.0,Not applicable
686368,ELSA,wave_9_elsa_data_eul_spsc,sptrab6,Reasons for not using public transport: their health prevents them,0.0,Not mentioned
686369,ELSA,wave_9_elsa_data_eul_spsc,sptrab6,Reasons for not using public transport: their health prevents them,1.0,Mentioned
686370,ELSA,wave_9_elsa_data_eul_spsc,sptrab7,Reasons for not using public transport: they do not need to,-9.0,Refused
