variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
idahhw9_e,Encrypted Analytical Wave 9 household serial number,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
perid,Person number in household,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
spcar,Whether respondent has use of car or van when needed; as a driver or a passenger,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
spcara,Whether respondent drives this car or van themselves,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
spcarb,Whether respondent drove a car or van themself in the past,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptraa,How often respondent uses public transport,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab1,Reasons for not using public transport: none is available,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab2,Reasons for not using public transport: does not go where they want to,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab3,Reasons for not using public transport: it is too expensive,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab4,Reasons for not using public transport: it is unreliable,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab5,Reasons for not using public transport: it is infrequent,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab6,Reasons for not using public transport: their health prevents them,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab7,Reasons for not using public transport: they do not need to,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab8,Reasons for not using public transport: fear of crime,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab9,Reasons for not using public transport: it is too dirty,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab10,Reasons for not using public transport: it is not convenient,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab11,Reasons for not using public transport: they prefer to walk,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab12,Reasons for not using public transport: difficulties with mobility,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptrab95,Reasons for not using public transport: other,2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptram1,Reasons for not using public transport: none is available (merged),2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptram2,Reasons for not using public transport: does not go where they want to (merged),2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
sptram3,Reasons for not using public transport: it is too expensive (merged),2022-03-17 13:41:36.727,wave_9_elsa_data_eul_spsc_v0001_20211101
