variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
idahhw9_e,Encrypted Analytical Wave 9 household serial number,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
perid,Person number in household,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpactpw,Activities during last month: paid work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpactse,Activities during last month: self-employment,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpactvw,Activities during last month: voluntary work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpactca,Activities during last month: cared for someone,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpactlo,Activities during last month: looked after home or family,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpacted,Activities during last month: attended a formal educational or training course,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpact96,Activities during last month: none of these,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpvw,Frequency of doing voluntary work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpaway,Whether temporarily away or looking for a job in one of these ways in the last m,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpactw,Computed: prioritised single coded version of the work variables in wpact,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wptaw,Main reason for being away from work last month,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpdes,Best description of current situation,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpedc,Whether taken part in formal education or training in the last 12 months,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpes,Computed: employee or self-employed,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpjob,Whether had a paid job since last interview,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpjobl,Whether the job had at last interview is most recent job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpstj,Whether the job had at least interview is (still) main job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpemp,Whether still working for the same employer,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpever,Whether ever done any paid work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljoil,Reasons for leaving previous employer: own ill health or disability,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljoti,Reasons for leaving previous employer: job was too tiring/stressful,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljodi,Reasons for leaving previous employer: ill health/disability of friend/relative,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljocl,Reasons for leaving previous employer: company went out of business/site closed,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljore,Reasons for leaving previous employer: made redundant/dismissed/had no choice,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljovo,Reasons for leaving previous employer: took voluntary redundancy,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljosp,Reasons for leaving previous employer: to spend more time with partner/family,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljoca,Reasons for leaving previous employer: career progression,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljofe,Reasons for leaving previous employer: fed up with job and wanted a change,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomo,Reasons for leaving previous employer: moved to a different area,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljo95,Reasons for leaving previous employer: other reason,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomil,Reasons for leaving previous employer: own ill health or disability (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomti,Reasons for leaving previous employer: job was too tiring/stressful (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomdi,Reasons for leaving previous employer: ill health/disability of friend/relative ,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomcl,Reasons for leaving previous employer: company went out of business/site closed ,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomre,Reasons for leaving previous employer: made redundant/dismissed/had no choice (m,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomvo,Reasons for leaving previous employer: took voluntary redundancy (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomsp,Reasons for leaving previous employer: to spend more time with partner/family (m,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomca,Reasons for leaving previous employer: career progression (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomfe,Reasons for leaving previous employer: fed up with job and wanted a change (merg,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljommo,Reasons for leaving previous employer: moved to a different area (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljombe,Reasons for leaving previous employer: found a better job (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomcf,Reasons for leaving previous employer: contract finished (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljompr,Reasons for leaving previous employer: got promoted (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomer,Reasons for leaving previous employer: took early retirement (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomse,Reasons for leaving previous employer:  to have more time for self (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomsa,Reasons for leaving previous employer: salary not high enough (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljomme,Reasons for leaving previous employer: company merged/changes in employer's stat,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljom85,Reasons for leaving previous employer (merged): other answer - not codeable,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljom86,Reasons for leaving previous employer (merged): irrelevant answer - not codeable,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpljobm,Main reason for leaving previous job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpesp,Whether an employee or self-employed in main job (proxy interview version),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpsup,Whether directly supervise or directly responsible for any other people,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpest,Whether an employee or self-employed in main job (personal interview version),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpsal,Whether paid a salary/wage in main job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjag,Description of work as a self-employee: paid a salary or wage by an agency,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjdi,Description of work as a self-employee: sole director of own limited company,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjbu,Description of work as a self-employee: running business/professional practice,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjpa,Description of work as a self-employee: partner in business/prof practice,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjse,Description of work as a self-employee: working for yourself,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjsc,Description of work as a self-employee: sub-contractor,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjfr,Description of work as a self-employee: doing freelance work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcj96,Description of work as a self-employee: none of these,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpnemp,Number of people employed at the place where you work (including yourself),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpempl,Whether has any employees,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpnoe,Number of people employed by employer in the UK (including respondent),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpjact,Level of physical activity in main job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmo,Reason for starting work: needed the money,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywoh,Reason for starting work: own health improved,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywrh,Reason for starting work: health of friend/relative improved,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywen,Reason for starting work: for enjoyment/company at work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywsu,Reason for starting work: was able to find a suitable job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyw95,Reason for starting work: other reason,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmmo,Reason for starting work: needed the money (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmoh,Reason for starting work: my own health improved (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmrh,Reason for starting work: health of friend/relative improved (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmen,Reason for starting work: for enjoyment/company at work (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmsu,Reason for starting work: was able to find a suitable job (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmhh,Reason for starting work: head-hunted/felt that I was needed (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmch,Reason for starting work: bored and wanted a change (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmfi,Reason for starting work: finished studies (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywmhe,Reason for starting work: to help out friend/relative (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwhywmce,Reason for starting work: caring responsibilities ended (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywm85,Reasons for starting work: other answer - not codeable (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwywm86,Reasons for starting work: irrelevant answer - not codeable (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjpa,Reason for taking this job: pay was enough,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjho,Reason for taking this job: hours suited me,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjti,Reason for taking this job: cld come to &/or leave work at times that suited me,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjca,Reason for taking this job: to progress my career,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjco,Reason for taking this job: content of job suited me,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjbu,Reason for taking this job: started own business/became self-employed,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjfb,Reason for taking this job: started work in family business,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjon,Reason for taking this job: was only job I could get,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjfi,Reason for taking this job: was the first job I found,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyj95,Reason for taking this job: other,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmpa,Reason for taking this job: pay was enough (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmho,Reason for taking this job: hours suited me (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmti,Reason for taking this job: cld arrive/leave at times that suited (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmca,Reason for taking this job: to progress my career (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmco,Reason for taking this job: content of job suited me (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmbu,Reason for taking this job: started own business/became self-empld (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmfb,Reason for taking this job: started work in family business (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmon,Reason for taking this job: was only job I could get (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmfi,Reason for taking this job: was the first job I found (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmlo,Reason for taking this job: local/nearer to home (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmbc,Reason for taking this job: better conditions and benefits (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmto,Reason for taking this job: co. taken over/departmtal reorganisation (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmch,Reason for taking this job: bored/wanted a change (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmmo,Reason for taking this job: needed money/earn extra on retirement (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmhh,Reason for taking this job: was offered the job/head-hunted (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmph,Reason for taking this job: less physically demanding/stressful (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmhf,Reason for taking this job: to help out friend/relative/institution (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjmfj,Reason for taking this job: was familiar with the job/organisation (e.g. had wor,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjm85,Reason for taking this job: other answer - not codeable,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjm86,Reason for taking this job: irrelevant response - not codeable,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwyjrea,Main reason for taking this job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpcjob,Description of work as an employee,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wphjob,Hours worked per week in this job (exc meal breaks; inc paid overtime),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wphwrk,Hours worked per week inc doing the books; vat etc (self-employed),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwly,Whether done any regular paid work in last 12 months,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwlym,Weeks in employment or self-employment in last 12 months (inc partial weeks),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wphly,Number of weeks of paid leave taken in the last 12 months,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwlyy,Gross income from work in the last year,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwlyyl,Income from work - bracket min value (wpwlyy),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwlyyu,Income from work - bracket max value (wpwlyy),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwlyye,Income from work - bracket entry point (wpwlyy),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwlyyr,Income from work - bracket results (wpwlyy),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystoh,Reasons for stopping work: own ill health or disability,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystti,Reasons for stopping work: work was too tiring/stressful,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystrh,Reasons for stopping work: ill health of friend/relative,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystou,Reasons for stopping work: company went out of business/site closed,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystre,Reasons for stopping work: made redundant/dismissed/had no choice,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystvr,Reasons for stopping work: took voluntary redundancy,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystfi,Reasons for stopping work: couldn't find another job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystaf,Reasons for stopping work: could afford to stop working,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystfa,Reasons for stopping work: to spend more time with partner/family,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpysten,Reasons for stopping work: to enjoy life while still fit and young enough,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystch,Reasons for stopping work: fed up with working and wanted a change,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystpa,Reasons for stopping work: to stop working at same time as spouse/partner,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystyo,Reasons for stopping work: to give young generation a chance,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmo,Reasons for stopping work: moved to a different area,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpyst95,Reasons for stopping work: other reason,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmoh,Reasons for stopping work: own ill health or disability (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmti,Reasons for stopping work: work was too tiring/stressful (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmrh,Reasons for stopping work: ill health of friend/relative (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmou,Reasons for stopping work: company went out of business/site closed (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmre,Reasons for stopping work: made redundant/dismissed/had no choice (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmvr,Reasons for stopping work: took voluntary redundancy (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmfi,Reasons for stopping work: couldn't find another job (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmaf,Reasons for stopping work: could afford to stop working (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmfa,Reasons for stopping work: to spend more time with partner/family (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmen,Reasons for stopping work: to enjoy life while still fit and young (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmch,Reasons for stopping work: fed up with working and wanted a change (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmpa,Reasons for stopping work: to stop working at same time as partner (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmyo,Reasons for stopping work: to give young generation a chance (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmmo,Reasons for stopping work: moved to a different area (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmco,Reasons for stopping work: contract ran out (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmag,Reasons for stopping work: reached retirement age (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmst,Reasons for stopping work: wanted to study (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystmhr,Reasons for stopping work: reduction in workload or hours made it unviable (merg,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystm85,Reasons for stopping work: other answer - not codeable (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystm86,Reasons for stopping work: irrelevant answer - not codeable (merged),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpystpm,Main reason for stopping work,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpoj,Whether had another job before this one [1st prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpowb,Whether working in this job at the time of the last interview [1st prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpoj2,Whether had another job before this one [2nd prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpowb2,Whether working in this job at the time of the last interview [2nd prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpoj3,Whether had another job before this one [3rd prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpowb3,Whether working in this job at the time of the last interview [3rd prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpoj4,Whether had another job before this one [4th prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpowb4,Whether working in this job at the time of the last interview [4th prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpoj5,Whether had another job before this one [4th prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpowb5,Whether working in this job at the time of the last interview [5th prev job],2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
abvspa,Whether respondent is at or above State Pension Age,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpnic,Whether currently pay NI conts (inc any paid on their behalf),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpnice,Whether ever paid NI conts (inc any paid on their behalf),2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpnimw,Whether ever paid NI conts at reduced rate for married women (known as the half ,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpretex,At what age do you expect to retire,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wplimwk,Whether health problem limits the kind/amount of work can do in current job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wplnj,Whether currently looking for a new job,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwynoh,Reasons for trying to leave current job: own ill health or disability,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwynti,Reasons for trying to leave current job: job too tiring/stressful,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwynrh,Reasons for trying to leave current job: ill health of friend/relative,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwynou,Reasons for trying to leave current job: company going out of business/closing,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwynre,Reasons for trying to leave current job: being made redundant/dismissed,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
wpwynvr,Reasons for trying to leave current job: taking voluntary redundancy,2022-03-17 13:52:29.657,wave_9_elsa_data_eul_wp_v0001_20211101
