variable_name,variable_label,avail_from_dt,table_name
study_id,,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
idahhw9_e,Encrypted analytical wave 9 household serial number,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
perid,person number,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
coupid_e,Encrypted couple id - splits couples where one member in an institution,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
iintdatd,interview day   - individual interview,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
iintdatm,interview month - individual interview,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
iintdaty,interview year  - individual interview,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
futype,financial unit type - cleaned,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
fuid_e,Encrypted financial unit identifier - splits couples in institutions,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
bueq,BU equivalence scale,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_i,BU wage and salary income (iasinc) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_f,BU wage and salary income (iasinc) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,BU wage and salary income (iasinc) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_o,BU wage and salary income (iasinc) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
ppen_bu_i,BU private pensions (iappei/iappmo) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
ppen_bu_f,BU private pensions (iappei/iappmo) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
ppen_bu_t,BU private pensions (iappei/iappmo) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
ppen_bu_o,BU private pensions (iappei/iappmo) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_r_i,state pension income (iapam/iappam) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_r_f,state pension income (iapam/iappam) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_r_t,state pension income (iapam/iappam) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_r_o,state pension income (iapam/iappam) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_p_i,partner state pension income (iapam/iappam)  - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_p_f,partner state pension income (iapam/iappam)  - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_p_t,partner state pension income (iapam/iappam)  - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
spen_p_o,partner state pension income (iapam/iappam)  - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_r_i,annuity income (iaaim/iaaip) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_r_f,annuity income (iaaim/iaaip) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_r_t,annuity income (iaaim/iaaip) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_r_o,annuity income (iaaim/iaaip) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_p_i,partner annuity income (iaaim/iaaip) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_p_f,partner annuity income (iaaim/iaaip) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_p_t,partner annuity income (iaaim/iaaip) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
anin_p_o,partner annuity income (iaaim/iaaip) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_r_i,current incapacity benefit (iaa1/iaa12) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_r_f,current incapacity benefit (iaa1/iaa12) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_r_t,current incapacity benefit (iaa1/iaa12) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_r_o,current incapacity benefit (iaa1/iaa12) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_p_i,partner current incapacity benefit (iaa1/iaa12) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_p_f,partner current incapacity benefit (iaa1/iaa12) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_p_t,partner current incapacity benefit (iaa1/iaa12) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
icb_p_o,partner current incapacity benefit (iaa1/iaa12) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_r_i,current emp and supp allow (iaa2/iaa13) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_r_f,current emp and supp allow (iaa2/iaa13) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_r_t,current emp and supp allow (iaa2/iaa13) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_r_o,current emp and supp allow (iaa2/iaa13) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_p_i,partner current emp and supp allow (iaa2/iaa13) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_p_f,partner current emp and supp allow (iaa2/iaa13) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_p_t,partner current emp and supp allow (iaa2/iaa13) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
esa_p_o,partner current emp and supp allow (iaa2/iaa13) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sda_r_i,current SDA (iaa3/iaa14) - value (incl. imputed values),2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sda_r_f,current SDA (iaa3/iaa14) - validation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sda_r_t,current SDA (iaa3/iaa14) - imputation flag,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
sda_r_o,current SDA (iaa3/iaa14) - no. of obs used for imputation,2021-12-27 22:32:21.430,wave_9_financial_derived_variables_v0001_20211101
