variable_name,value_value,value_label,avail_from_dt,table_name
futype,-9,RF,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
futype,-8,DK,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
futype,-1,inapplicable,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
futype,1,single,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
futype,2,"couple, separate finances",2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
futype,3,"couple, joint finances",2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_i,-999,not imputed (see user guide),2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_i,-998,non-sample member,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_i,-995,institutional respondent,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_f,0,valid,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_f,1,non-sample member,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_f,2,not imputed (see user guide),2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_f,3,institutional respondent,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_f,4,sample member with zero wgt (see user guide),2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,-999,not imputed (see user guide),2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,-998,non-sample member,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,-995,institutional respondent,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,-1,"received, but ben amt included elsewhere",2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,0,zero,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,1,continuous,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,2,closed band,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,3,open band,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,4,"missing, positive",2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
sinc_bu_t,5,missing completely,2021-12-27 22:14:53.823,wave_9_financial_derived_variables_v0001_20211101
