variable_name,variable_label,avail_from_dt,table_name
study_id,,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
idahhw9_e,Encrypted analytical wave 9 household serial number,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
hhidw9_e,Encrypted household identifier which puts institutional respondents in a new household,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
wgt,cross-sectional weight (copy of wXwght),2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
lwgt,longitudinal weight,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
wave,wave indicator,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
perid,person number,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
persno,person number (same as perid),2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
coupid_e,Encrypted couple id - splits couples where one member in an institution,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
iintdatd,interview day   - individual interview,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
iintdatm,interview month - individual interview,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
iintdaty,interview year  - individual interview,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
coupid_inst_e,Encrypted couple id - links couples where one member in an institution,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
xcoupid_e,Encrypted x-wave couple id - splits couples where one member in an institution ,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
xcoupid_inst_e,Encrypted x-wave couple id - links couples where one member in an institution ,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
futype,financial unit type - cleaned,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
fuid_e,Encrypted financial unit identifier - splits couples in institutions,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
fuid_inst_e,Encrypted financial unit identifier - links couples in institutions,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
buno,benefit unit number within a household,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
cpid,computed: person number of partner,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
idauniq_p_e,Encrypted partner's idauniq,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
intdatm,interview month - household interview,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
intdaty,interview year - household interview,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
age,age: copy of indage/dhager,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
age_p,partner's age - taken from household grid for non-responding partners,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
indobyr,year of birth collapsed at 90 plus,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
indobyr_p,partner's year of birth collapsed at 90 plus,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
sex,sex: copy of indsex/dhsex,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
sex_p,sex of partner - taken from household grid for non-respondents,2021-12-27 22:28:47.017,wave_9_ifs_derived_variables_v0001_20211101
