variable_name,value_value,value_label,avail_from_dt,table_name
lwgt,-1,inapplicable,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
futype,-9,RF,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
futype,-8,DK,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
futype,-1,inapplicable,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
futype,1,single,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
futype,2,"couple, separate finances",2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
futype,3,"couple, joint finances",2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
age,-8,don't know,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
age,99,age in years on or before 29/02/1912,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
age_p,-8,don't know,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
age_p,-1,no partner,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
age_p,99,age in years on or before 29/02/1912,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr,-9,refusal,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr,-8,don't know,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr,-7,dob collapsed to avoid disclosure if respondent aged 90+,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr,-1,not applicable,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr_p,-9,refusal,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr_p,-8,don't know,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr_p,-7,dob collapsed to avoid disclosure if respondent aged 90+,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
indobyr_p,-1,not applicable,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex,-8,don't know,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex,-1,no partner,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex,1,male,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex,2,female,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex_p,-8,don't know,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex_p,-1,no partner,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex_p,1,male,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
sex_p,2,female,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
responded_p,-1,No partner,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
responded_p,0,Partner did not respond,2021-12-27 22:18:08.113,wave_9_ifs_derived_variables_v0001_20211101
