table_name,variable_name,value_value,value_label,avail_from_dt
FU5_v0001_20220405,JOB_NOW_FU5,1,Yes,2022-04-08 22:42:42.903
FU5_v0001_20220405,JOB_NOW_FU5,2,No,2022-04-08 22:42:42.903
FU5_v0001_20220405,JOB_NOW_FU5,-7,Don't know,2022-04-08 22:42:42.903
FU5_v0001_20220405,RETIRED_FU5,1,Yes,2022-04-08 22:42:42.903
FU5_v0001_20220405,RETIRED_FU5,2,No,2022-04-08 22:42:42.903
FU5_v0001_20220405,RETIRED_FU5,-7,Don't know,2022-04-08 22:42:42.903
FU5_v0001_20220405,MONEY_FU5,1,more money than you need,2022-04-08 22:42:42.903
FU5_v0001_20220405,MONEY_FU5,2,just enough money,2022-04-08 22:42:42.903
FU5_v0001_20220405,MONEY_FU5,3,not enough money,2022-04-08 22:42:42.903
FU5_v0001_20220405,MARITAL_STATUS_FU5,1,Single,2022-04-08 22:42:42.903
FU5_v0001_20220405,MARITAL_STATUS_FU5,2,Married/living with partner,2022-04-08 22:42:42.903
FU5_v0001_20220405,MARITAL_STATUS_FU5,3,Widowed,2022-04-08 22:42:42.903
FU5_v0001_20220405,MARITAL_STATUS_FU5,4,Separated,2022-04-08 22:42:42.903
FU5_v0001_20220405,MARITAL_STATUS_FU5,5,Divorced,2022-04-08 22:42:42.903
