,Source,Block Name,Variable Name,Variable Description,Value,Value Description
697499,EPICN,FU7,study_id_e,,,
697500,EPICN,FU7,doc_fu7,Date of completing questionnaire (HLQ FU7),,
697501,EPICN,FU7,age_fu7,Age of the participant at FU7,,
697502,EPICN,FU7,job_now_fu7,Paid job at present,1.0,Yes
697503,EPICN,FU7,job_now_fu7,Paid job at present,2.0,No
697504,EPICN,FU7,job_now_fu7,Paid job at present,-7.0,Don't know
697505,EPICN,FU7,retired_fu7,Currently retired,1.0,Yes
697506,EPICN,FU7,retired_fu7,Currently retired,2.0,No
697507,EPICN,FU7,retired_fu7,Currently retired,-7.0,Don't know
697508,EPICN,FU7,money_fu7,Does the participant and the family they live with have enough money?,1.0,more money than you need
697509,EPICN,FU7,money_fu7,Does the participant and the family they live with have enough money?,2.0,just enough money
697510,EPICN,FU7,money_fu7,Does the participant and the family they live with have enough money?,3.0,not enough money
697511,EPICN,FU7,marital_status_fu7,marital status,1.0,Single
697512,EPICN,FU7,marital_status_fu7,marital status,2.0,Married/living with partner
697513,EPICN,FU7,marital_status_fu7,marital status,3.0,Widowed
697514,EPICN,FU7,marital_status_fu7,marital status,4.0,Separated
697515,EPICN,FU7,marital_status_fu7,marital status,5.0,Divorced
697516,EPICN,FU7,avail_from_dt,,,
