table_name,variable_name,value_value,value_label,avail_from_dt
HLEQ1_v0001_20220405,JOB_HLEQ1,1,Yes,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,JOB_HLEQ1,2,No,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,MONEY_HLEQ1,1,more money than you need,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,MONEY_HLEQ1,2,just enough money,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,MONEY_HLEQ1,3,not enough money,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,ACCOMMODATION_HLEQ1,1,Owned,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,ACCOMMODATION_HLEQ1,2,Rented from local authority,2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,ACCOMMODATION_HLEQ1,3,"Rented privately, unfurnished",2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,ACCOMMODATION_HLEQ1,4,"Rented privately, furnished",2022-04-08 22:49:31.433
HLEQ1_v0001_20220405,ACCOMMODATION_HLEQ1,5,Other,2022-04-08 22:49:31.433
