table_name,variable_name,value_value,value_label,avail_from_dt
HLQ_v0001_20220405,SEX,1,men,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SEX,2,women,2022-04-08 22:52:55.600
HLQ_v0001_20220405,ETHNIC,1,White,2022-04-08 22:52:55.600
HLQ_v0001_20220405,ETHNIC,2,Other,2022-04-08 22:52:55.600
HLQ_v0001_20220405,EDLEVEL09_HLQ,0,No,2022-04-08 22:52:55.600
HLQ_v0001_20220405,EDLEVEL09_HLQ,1,Olevel,2022-04-08 22:52:55.600
HLQ_v0001_20220405,EDLEVEL09_HLQ,2,Alevel,2022-04-08 22:52:55.600
HLQ_v0001_20220405,EDLEVEL09_HLQ,3,Degree,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,0,uncoded,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,10,professionals,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,20,managerial and technical,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,31,skilled non-manual,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,32,skilled manual,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,40,partly skilled,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SC_SELF_HLQ,50,unskilled,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,1,Managers and Administrators,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,2,Professional Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,3,Associate Professional and Technical Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,4,Clerical and Secretarial Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,5,Craft and Related Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,6,Personal and Protective Service Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,7,Sales Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,8,Plant and Machine Operatives,2022-04-08 22:52:55.600
HLQ_v0001_20220405,SOC_SELF_HLQ,9,Other Occupations,2022-04-08 22:52:55.600
HLQ_v0001_20220405,JOB_NOW_HLQ,1,Yes,2022-04-08 22:52:55.600
HLQ_v0001_20220405,JOB_NOW_HLQ,2,No,2022-04-08 22:52:55.600
HLQ_v0001_20220405,NOT_EMP_HLQ,1,Housewife (Home duties),2022-04-08 22:52:55.600
HLQ_v0001_20220405,NOT_EMP_HLQ,2,Retired,2022-04-08 22:52:55.600
HLQ_v0001_20220405,NOT_EMP_HLQ,3,Unemployed,2022-04-08 22:52:55.600
HLQ_v0001_20220405,NOT_EMP_HLQ,4,Student,2022-04-08 22:52:55.600
HLQ_v0001_20220405,NOT_EMP_HLQ,5,Other,2022-04-08 22:52:55.600
HLQ_v0001_20220405,MARITAL_STATUS_HLQ,1,Single,2022-04-08 22:52:55.600
HLQ_v0001_20220405,MARITAL_STATUS_HLQ,2,Married (or living with a partner),2022-04-08 22:52:55.600
HLQ_v0001_20220405,MARITAL_STATUS_HLQ,3,Widowed,2022-04-08 22:52:55.600
HLQ_v0001_20220405,MARITAL_STATUS_HLQ,4,Separated,2022-04-08 22:52:55.600
HLQ_v0001_20220405,MARITAL_STATUS_HLQ,5,Divorced,2022-04-08 22:52:55.600
