,Source,Block Name,Variable Name,Variable Description,Value,Value Description
707219,EXCEED,DemographicCore,study_id_e,,,
707220,EXCEED,DemographicCore,timestamp,,,
707221,EXCEED,DemographicCore,gen2,,,
707222,EXCEED,DemographicCore,gen2b,,,
707223,EXCEED,DemographicCore,gen5,,,
707224,EXCEED,DemographicCore,gen6,,,
707225,EXCEED,DemographicCore,gen7,,,
707226,EXCEED,DemographicCore,sm29,,,
707227,EXCEED,DemographicCore,complete,,,
707228,EXCEED,DemographicCore,covid19survey_timestamp,,,
707229,EXCEED,DemographicCore,s1_10f,,,
707230,EXCEED,DemographicCore,s2_1_1,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I cancelled my usual social activities""",1.0,True
707231,EXCEED,DemographicCore,s2_1_1,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I cancelled my usual social activities""",0.0,False
707232,EXCEED,DemographicCore,s2_1_2,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't go to work""",1.0,True
707233,EXCEED,DemographicCore,s2_1_2,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't go to work""",0.0,False
707234,EXCEED,DemographicCore,s2_1_3,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't attend lectures (if a student)""",1.0,True
707235,EXCEED,DemographicCore,s2_1_3,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't attend lectures (if a student)""",0.0,False
707236,EXCEED,DemographicCore,s2_1_4,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't go shopping for non-essential things""",1.0,True
707237,EXCEED,DemographicCore,s2_1_4,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't go shopping for non-essential things""",0.0,False
707238,EXCEED,DemographicCore,s2_1_5,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't go to a grocery store or pharmacy""",1.0,True
707239,EXCEED,DemographicCore,s2_1_5,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't go to a grocery store or pharmacy""",0.0,False
707240,EXCEED,DemographicCore,s2_1_6,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't leave the house""",1.0,True
707241,EXCEED,DemographicCore,s2_1_6,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I didn't leave the house""",0.0,False
707242,EXCEED,DemographicCore,s2_1_7,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I wore a face mask outside my home""",1.0,True
707243,EXCEED,DemographicCore,s2_1_7,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I wore a face mask outside my home""",0.0,False
707244,EXCEED,DemographicCore,s2_1_8,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I tried to avoid physical contact with people""",1.0,True
707245,EXCEED,DemographicCore,s2_1_8,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I tried to avoid physical contact with people""",0.0,False
707246,EXCEED,DemographicCore,s2_1_9,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I followed handwashing recommendations""",1.0,True
707247,EXCEED,DemographicCore,s2_1_9,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I followed handwashing recommendations""",0.0,False
707248,EXCEED,DemographicCore,s2_1_10,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I used hand sanitizer more than usual""",1.0,True
707249,EXCEED,DemographicCore,s2_1_10,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I used hand sanitizer more than usual""",0.0,False
707250,EXCEED,DemographicCore,s2_1_11,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I followed coughing and sneezing recommendations""",1.0,True
707251,EXCEED,DemographicCore,s2_1_11,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I followed coughing and sneezing recommendations""",0.0,False
707252,EXCEED,DemographicCore,s2_1_12,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I used tissues more than usual""",1.0,True
707253,EXCEED,DemographicCore,s2_1_12,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I used tissues more than usual""",0.0,False
707254,EXCEED,DemographicCore,s2_1_13,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I wore gloves while going out of my home""",1.0,True
707255,EXCEED,DemographicCore,s2_1_13,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I wore gloves while going out of my home""",0.0,False
707256,EXCEED,DemographicCore,s2_1_14,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided public transport""",1.0,True
707257,EXCEED,DemographicCore,s2_1_14,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided public transport""",0.0,False
707258,EXCEED,DemographicCore,s2_1_15,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided going to restaurants/bars/pubs""",1.0,True
707259,EXCEED,DemographicCore,s2_1_15,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided going to restaurants/bars/pubs""",0.0,False
707260,EXCEED,DemographicCore,s2_1_16,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided going for walks or exercise outside""",1.0,True
707261,EXCEED,DemographicCore,s2_1_16,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided going for walks or exercise outside""",0.0,False
707262,EXCEED,DemographicCore,s2_1_17,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided taking my children out of my home""",1.0,True
707263,EXCEED,DemographicCore,s2_1_17,"Since COVID-19 emerged in January, but before the official lockdown started on March 23rd 2020, did you change your behaviour by doing any of the following?  :  ""I avoided taking my children out of my home""",0.0,False
707264,EXCEED,DemographicCore,s2_2d,,,
707265,EXCEED,DemographicCore,s2_2e,,,
707266,EXCEED,DemographicCore,s2_2f,,,
