table_name,variable_name,variable_label,avail_from_dt
DemographicCore_v0001_20211101,covid19survey_timestamp,time when the participant submitted the questionnaire - covid19survey_timestamp,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s1_10f,Feeling bad about yourself - or that you are a failure or have let yourself or your family down?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_2d,Number of hours you work in usual workplace,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_2e,Number of hours you work at home,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_2f,Time spent talking to family/friends inside my home,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_2g,Time spent talking to family/friends outside my home,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_2h,Time spent talking to work colleagues,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_2v,Amount of money you've spent,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4a_exceed,Do you have children under the age of 18 living in the same household as you?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4a,Amount they sleep,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4b,Amount of physical activity/exercise they do,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4c,Time they spend learning in the house (including home schooling),2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4d,Time they spend playing inside the house,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4e,Amount of time they spend outside the home,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4f,Amount of time they spend in green spaces such as parks or gardens,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4g,Time spent using devices with a screen,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4h,Amount of fruits they eat,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4i,Amount of vegetables they eat,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4j,Amount of meat they eat,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4k,Amount of fish they eat,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4l,"Amount of dairy product they eat (e.g. milk, cheese and eggs)",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4m,Amounts of savoury snacks they eat,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4n,"Amount of sweets, pastry, ice-cream they eat",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4o,Amount of other fast-foods they eat,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4p,Amount of sugar sweetened beverage including tea they drink,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_4q,"Time spent outdoors in in the open air (e.g. spending time in the garden, in a park, walking, jogging, other sport)",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_5,Do you have one or more children in full time education? Include school or college courses and includes children who are schooled at home ,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_6a,My youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_6b,My second youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_6c,My third youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_6d,My fourth youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_6e,Any other children,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_7a,My youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_7b,My second youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_7c,My third youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_7d,My fourth youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_7e,Any other children,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_8a,My youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_8b,My second youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_8c,My third youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_8d,My fourth youngest child,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s2_8e,Any other children,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_1,"Before the official lockdown was announced on the 23rd March 2020, how well would you say you personally were managing financially?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_2,"Overall, how do you feel your current financial situation compares to before the official lockdown was announced on the 23rd March 2020?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_3,I'm worried about my future financial situation,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_5,I'm worried about my job security,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_6,I'm worried about my partner's job security,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_7,"Which of these best describes what you were doing just before the lockdown on the 23rd March 2020? If you were doing more than one activity, please choose the activity that you spent most time doing.",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_8,Which of these would you say best describes YOUR current situation now?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_9,Are you currently fulfilling any of the government’s identified ‘essential worker’ roles?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_10,What sector do you work in?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_11,"Does your work require you to be in close contact (i.e. within 2 metres) with others, who you do not live with, including while travelling to work? ",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_12,"In your workplace, does your employer provide you with necessary personal protective equipment (PPE)?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_12_exceed,"In your workplace, do you provide your own personal protective equipment (PPE)?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_13,"If you have a partner, which of these best describes what your partner was doing just before the lockdown on the 23rd March 2020? If they were doing more than one activity, please choose the activity that they spent most time doing.",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s3_14,"If you have a partner, which of these would you say best describes your partner's current situation, now?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s4_1,Has your living arrangement changed because of the COVID-19 pandemic?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s4_4_n1,What best describes your relationship to this person?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s4_6_n1,"In the past week, how would you describe the quality of your relationship with this person?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s4_7_n1,How would you describe the quality of your relationship with this person before the lockdown (23rd March 2020)?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s4_8,Were you living with your partner before the 23rd March 2020?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,s4_9,"Can I check, did you start living with your partner as a result of the lockdown on the 23rd March?",2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,covid19survey_complete,indicates the completion status,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,timestamp,time when the participant submitted the questionnaire - exceed_selfcompletion_questionnaire,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,gen2,Which of the following best describes you?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,gen2b,What was your sex assigned at birth?,2022-03-30 16:03:15.823
DemographicCore_v0001_20211101,gen5,What is your ethnic group?,2022-03-30 16:03:15.823
