,Source,Block Name,Variable Name,Variable Description,Value,Value Description
706892,EXCEED,covid19_q2,study_id_e,,,
706893,EXCEED,covid19_q2,covid19_q2_timestamp,,,
706894,EXCEED,covid19_q2,covid_complete,,,
706895,EXCEED,covid19_q2,antibodytest_complete,,,
706896,EXCEED,covid19_q2,intro_2,,,
706897,EXCEED,covid19_q2,b1,,,
706898,EXCEED,covid19_q2,b3,,,
706899,EXCEED,covid19_q2,b5,,,
706900,EXCEED,covid19_q2,b8,,,
706901,EXCEED,covid19_q2,b9,,,
706902,EXCEED,covid19_q2,b11,,,
706903,EXCEED,covid19_q2,b13,,,
706904,EXCEED,covid19_q2,q2_c19vaccn2cons,,,
706905,EXCEED,covid19_q2,q2_c19vaccn2reas_13,,,
706906,EXCEED,covid19_q2,q2_c19vaccn2reas_14,,,
706907,EXCEED,covid19_q2,q2_c19vaccn2reas_1,,,
706908,EXCEED,covid19_q2,q2_c19vaccn2reas_2,,,
706909,EXCEED,covid19_q2,q2_c19vaccn2reas_3,,,
706910,EXCEED,covid19_q2,q2_c19vaccn2reas_4,,,
706911,EXCEED,covid19_q2,q2_c19vaccn2reas_5,,,
706912,EXCEED,covid19_q2,q2_c19vaccn2reas_6,,,
706913,EXCEED,covid19_q2,q2_c19vaccn2reas_7,,,
706914,EXCEED,covid19_q2,q2_c19vaccn2reas_8,,,
706915,EXCEED,covid19_q2,q2_c19vaccn2reas_9,,,
706916,EXCEED,covid19_q2,q2_c19vaccn2reas_10,,,
706917,EXCEED,covid19_q2,q2_c19vaccn2reas_11,,,
706918,EXCEED,covid19_q2,q2_c19vaccn2reas_12,,,
706919,EXCEED,covid19_q2,q2_c19vaccn2reas_99,,,
706920,EXCEED,covid19_q2,q2_c19vaccn2cons_2,,,
706921,EXCEED,covid19_q2,q2_c19vaccn2reas2_13,,,
706922,EXCEED,covid19_q2,q2_c19vaccn2reas2_14,,,
706923,EXCEED,covid19_q2,q2_c19vaccn2reas2_1,,,
706924,EXCEED,covid19_q2,q2_c19vaccn2reas2_2,,,
706925,EXCEED,covid19_q2,q2_c19vaccn2reas2_3,,,
706926,EXCEED,covid19_q2,q2_c19vaccn2reas2_4,,,
706927,EXCEED,covid19_q2,q2_c19vaccn2reas2_5,,,
706928,EXCEED,covid19_q2,q2_c19vaccn2reas2_6,,,
706929,EXCEED,covid19_q2,q2_c19vaccn2reas2_7,,,
706930,EXCEED,covid19_q2,q2_c19vaccn2reas2_8,,,
706931,EXCEED,covid19_q2,q2_c19vaccn2reas2_9,,,
706932,EXCEED,covid19_q2,q2_c19vaccn2reas2_10,,,
706933,EXCEED,covid19_q2,q2_c19vaccn2reas2_11,,,
706934,EXCEED,covid19_q2,q2_c19vaccn2reas2_12,,,
706935,EXCEED,covid19_q2,q2_c19vaccn2reas2_99,,,
706936,EXCEED,covid19_q2,q2_c19vacc_regular,,,
706937,EXCEED,covid19_q2,flujab21,,,
706938,EXCEED,covid19_q2,c2,,,
706939,EXCEED,covid19_q2,c2_date_month,,,
706940,EXCEED,covid19_q2,c2_date_year,,,
706941,EXCEED,covid19_q2,c3_0,,,
706942,EXCEED,covid19_q2,c3_1,,,
706943,EXCEED,covid19_q2,c3_2,,,
706944,EXCEED,covid19_q2,c3_3,,,
706945,EXCEED,covid19_q2,c3_4,,,
706946,EXCEED,covid19_q2,c3_99,,,
706947,EXCEED,covid19_q2,c3_test_type_1,,,
706948,EXCEED,covid19_q2,c3_test_type_2,,,
706949,EXCEED,covid19_q2,c3_test_type_3,,,
706950,EXCEED,covid19_q2,c3_test_type_4,,,
706951,EXCEED,covid19_q2,c3_test_type_99,,,
706952,EXCEED,covid19_q2,c3_pos,,,
706953,EXCEED,covid19_q2,q2_c19swab_postype_1,,,
706954,EXCEED,covid19_q2,q2_c19swab_postype_2,,,
706955,EXCEED,covid19_q2,q2_c19swab_postype_3,,,
706956,EXCEED,covid19_q2,q2_c19swab_postype_99,,,
706957,EXCEED,covid19_q2,q2_c19swab_recpostype,,,
706958,EXCEED,covid19_q2,c3_anti_pos,,,
706959,EXCEED,covid19_q2,c3_pos_other,,,
706960,EXCEED,covid19_q2,q2_c19recov,,,
706961,EXCEED,covid19_q2,q2_c19sx_0,,,
706962,EXCEED,covid19_q2,q2_c19sx_1,,,
706963,EXCEED,covid19_q2,q2_c19sx_2,,,
706964,EXCEED,covid19_q2,q2_c19sx_3,,,
706965,EXCEED,covid19_q2,q2_c19sx_4,,,
706966,EXCEED,covid19_q2,q2_c19sx_5,,,
706967,EXCEED,covid19_q2,q2_c19sx_6,,,
706968,EXCEED,covid19_q2,q2_c19sx_7,,,
706969,EXCEED,covid19_q2,q2_c19sx_8,,,
706970,EXCEED,covid19_q2,q2_c19sx_9,,,
706971,EXCEED,covid19_q2,q2_c19sx_10,,,
706972,EXCEED,covid19_q2,q2_c19sx_11,,,
706973,EXCEED,covid19_q2,q2_c19sx_12,,,
706974,EXCEED,covid19_q2,q2_c19sx_13,,,
706975,EXCEED,covid19_q2,q2_c19sx_14,,,
706976,EXCEED,covid19_q2,q2_c19sx_15,,,
706977,EXCEED,covid19_q2,q2_c19sx_16,,,
706978,EXCEED,covid19_q2,q2_c19sx_17,,,
706979,EXCEED,covid19_q2,q2_c19sx_18,,,
706980,EXCEED,covid19_q2,q2_c19sx_19,,,
706981,EXCEED,covid19_q2,q2_c19sx_20,,,
706982,EXCEED,covid19_q2,q2_c19sx_21,,,
706983,EXCEED,covid19_q2,q2_c19sx_22,,,
706984,EXCEED,covid19_q2,q2_c19sx_23,,,
706985,EXCEED,covid19_q2,q2_c19sx_24,,,
706986,EXCEED,covid19_q2,q2_c19sx_25,,,
706987,EXCEED,covid19_q2,q2_c19sx_26,,,
706988,EXCEED,covid19_q2,q2_c19sx_27,,,
706989,EXCEED,covid19_q2,q2_c19sx_28,,,
706990,EXCEED,covid19_q2,q2_c19sx_29,,,
706991,EXCEED,covid19_q2,q2_c19sx_96,,,
706992,EXCEED,covid19_q2,q2_c19sx_97,,,
706993,EXCEED,covid19_q2,q2_c19sx_98,,,
706994,EXCEED,covid19_q2,q2_c19sx_99,,,
706995,EXCEED,covid19_q2,q2_c19sxcourse,,,
706996,EXCEED,covid19_q2,q2_c19sxdur,,,
706997,EXCEED,covid19_q2,q2_c19sxdur_initial,,,
706998,EXCEED,covid19_q2,q2_c19sxdur_severity,,,
706999,EXCEED,covid19_q2,q2_c19sxdurind_1,,,
707000,EXCEED,covid19_q2,q2_c19sxdurind_2,,,
707001,EXCEED,covid19_q2,q2_c19sxdurind_3,,,
707002,EXCEED,covid19_q2,q2_c19sxdurind_4,,,
707003,EXCEED,covid19_q2,q2_c19sxdurind_5,,,
707004,EXCEED,covid19_q2,q2_c19sxdurind_6,,,
707005,EXCEED,covid19_q2,q2_c19sxdurind_7,,,
707006,EXCEED,covid19_q2,q2_c19sxdurind_8,,,
707007,EXCEED,covid19_q2,q2_c19sxdurind_9,,,
707008,EXCEED,covid19_q2,q2_c19sxdurind_10,,,
707009,EXCEED,covid19_q2,q2_c19sxdurind_11,,,
707010,EXCEED,covid19_q2,q2_c19sxdurind_12,,,
707011,EXCEED,covid19_q2,q2_c19sxdurind_13,,,
707012,EXCEED,covid19_q2,q2_c19sxdurind_14,,,
707013,EXCEED,covid19_q2,q2_c19sxdurind_15,,,
707014,EXCEED,covid19_q2,q2_c19sxdurind_16,,,
707015,EXCEED,covid19_q2,q2_c19sxdurind_17,,,
707016,EXCEED,covid19_q2,q2_c19sxdurind_18,,,
707017,EXCEED,covid19_q2,q2_c19sxdurind_19,,,
707018,EXCEED,covid19_q2,q2_c19sxdurind_20,,,
707019,EXCEED,covid19_q2,q2_c19sxdurind_21,,,
707020,EXCEED,covid19_q2,q2_c19sxdurind_22,,,
707021,EXCEED,covid19_q2,q2_c19sxdurind_23,,,
707022,EXCEED,covid19_q2,q2_c19sxdurind_24,,,
707023,EXCEED,covid19_q2,q2_c19sxdurind_25,,,
707024,EXCEED,covid19_q2,q2_c19sxdurind_26,,,
707025,EXCEED,covid19_q2,q2_c19sxdurind_27,,,
707026,EXCEED,covid19_q2,q2_c19sxdurind_28,,,
707027,EXCEED,covid19_q2,q2_c19sxdurind_29,,,
707028,EXCEED,covid19_q2,q2_c19sxdurind_30,,,
707029,EXCEED,covid19_q2,q2_c19sxdurind_31,,,
707030,EXCEED,covid19_q2,q2_c19sxdurind_32,,,
707031,EXCEED,covid19_q2,q2_c19sequelae_0,,,
707032,EXCEED,covid19_q2,q2_c19sequelae_1,,,
707033,EXCEED,covid19_q2,q2_c19sequelae_2,,,
707034,EXCEED,covid19_q2,q2_c19sequelae_3,,,
707035,EXCEED,covid19_q2,q2_c19sequelae_4,,,
707036,EXCEED,covid19_q2,q2_c19sequelae_5,,,
707037,EXCEED,covid19_q2,q2_c19sequelae_6,,,
707038,EXCEED,covid19_q2,q2_c19sequelae_7,,,
707039,EXCEED,covid19_q2,q2_c19sequelae_8,,,
707040,EXCEED,covid19_q2,q2_c19sequelae_9,,,
707041,EXCEED,covid19_q2,q2_c19sequelae_10,,,
707042,EXCEED,covid19_q2,q2_c19sequelae_11,,,
707043,EXCEED,covid19_q2,q2_c19sequelae_12,,,
707044,EXCEED,covid19_q2,q2_c19sequelae_13,,,
707045,EXCEED,covid19_q2,q2_c19sequelae_14,,,
707046,EXCEED,covid19_q2,q2_c19sequelae_15,,,
707047,EXCEED,covid19_q2,q2_c19sequelae_16,,,
707048,EXCEED,covid19_q2,q2_c19sequelae_17,,,
707049,EXCEED,covid19_q2,q2_c19sequelae_18,,,
707050,EXCEED,covid19_q2,q2_c19sequelae_19,,,
707051,EXCEED,covid19_q2,q2_c19sequelae_99,,,
707052,EXCEED,covid19_q2,q2_c19help_pre12_0,,,
707053,EXCEED,covid19_q2,q2_c19help_pre12_1,,,
707054,EXCEED,covid19_q2,q2_c19help_pre12_2,,,
707055,EXCEED,covid19_q2,q2_c19help_pre12_3,,,
707056,EXCEED,covid19_q2,q2_c19help_pre12_4,,,
707057,EXCEED,covid19_q2,q2_c19help_pre12_5,,,
707058,EXCEED,covid19_q2,q2_c19help_pre12_98,,,
707059,EXCEED,covid19_q2,q2_c19help_pre12_99,,,
707060,EXCEED,covid19_q2,q2_c19help_post12_0,,,
707061,EXCEED,covid19_q2,q2_c19help_post12_1,,,
707062,EXCEED,covid19_q2,q2_c19help_post12_2,,,
707063,EXCEED,covid19_q2,q2_c19help_post12_3,,,
707064,EXCEED,covid19_q2,q2_c19help_post12_4,,,
707065,EXCEED,covid19_q2,q2_c19help_post12_5,,,
707066,EXCEED,covid19_q2,q2_c19help_post12_98,,,
707067,EXCEED,covid19_q2,q2_c19help_post12_99,,,
707068,EXCEED,covid19_q2,q2_c19hosp,,,
707069,EXCEED,covid19_q2,q2_c19hdu,,,
707070,EXCEED,covid19_q2,q2_c19icu,,,
707071,EXCEED,covid19_q2,q2_c19selfcare,,,
707072,EXCEED,covid19_q2,q2_c19usualactivities,,,
707073,EXCEED,covid19_q2,q2_hlthgppaq1,,,
707074,EXCEED,covid19_q2,q2_hlthgppaq2_1,,,
707075,EXCEED,covid19_q2,q2_hlthgppaq2_2,,,
707076,EXCEED,covid19_q2,q2_hlthgppaq2_3,,,
707077,EXCEED,covid19_q2,q2_hlthgppaq2_4,,,
707078,EXCEED,covid19_q2,q2_hlthgppaq2_5,,,
707079,EXCEED,covid19_q2,q2_hlthgppaq3,,,
707080,EXCEED,covid19_q2,pain3mo,,,
707081,EXCEED,covid19_q2,painshoulder,,,
707082,EXCEED,covid19_q2,painarmelbow,,,
707083,EXCEED,covid19_q2,painhandwrist,,,
707084,EXCEED,covid19_q2,painhip,,,
707085,EXCEED,covid19_q2,painupperleg,,,
707086,EXCEED,covid19_q2,painknee,,,
707087,EXCEED,covid19_q2,painlowerlegfoot,,,
707088,EXCEED,covid19_q2,painjaw,,,
707089,EXCEED,covid19_q2,painchest,,,
707090,EXCEED,covid19_q2,painabdomen,,,
707091,EXCEED,covid19_q2,painneck,,,
707092,EXCEED,covid19_q2,painface,,,
707093,EXCEED,covid19_q2,painupperback,,,
707094,EXCEED,covid19_q2,painlowerbackbuttocks,,,
707095,EXCEED,covid19_q2,painhead,,,
707096,EXCEED,covid19_q2,painother,,,
707097,EXCEED,covid19_q2,painlat_shoulder,,,
707098,EXCEED,covid19_q2,painlat_armelbow,,,
707099,EXCEED,covid19_q2,painlat_handwrist,,,
707100,EXCEED,covid19_q2,painlat_hip,,,
707101,EXCEED,covid19_q2,painlat_upperleg,,,
707102,EXCEED,covid19_q2,painlat_knee,,,
707103,EXCEED,covid19_q2,painlat_lowerlegfoot,,,
707104,EXCEED,covid19_q2,pain24shoulder,,,
707105,EXCEED,covid19_q2,pain24armelbow,,,
707106,EXCEED,covid19_q2,pain24handwrist,,,
707107,EXCEED,covid19_q2,pain24hip,,,
707108,EXCEED,covid19_q2,pain24upperleg,,,
707109,EXCEED,covid19_q2,pain24knee,,,
707110,EXCEED,covid19_q2,pain24lowerlegfoot,,,
707111,EXCEED,covid19_q2,pain24jaw,,,
707112,EXCEED,covid19_q2,pain24chest,,,
707113,EXCEED,covid19_q2,pain24abdomen,,,
707114,EXCEED,covid19_q2,pain24neck,,,
707115,EXCEED,covid19_q2,pain24face,,,
707116,EXCEED,covid19_q2,pain24upperback,,,
707117,EXCEED,covid19_q2,pain24lowerbackbuttocks,,,
707118,EXCEED,covid19_q2,pain24head,,,
707119,EXCEED,covid19_q2,pain24other,,,
707120,EXCEED,covid19_q2,paintime,,,
707121,EXCEED,covid19_q2,painchar1,,,
707122,EXCEED,covid19_q2,painchar2,,,
707123,EXCEED,covid19_q2,painchar3,,,
707124,EXCEED,covid19_q2,painsym1x,,,
707125,EXCEED,covid19_q2,painsym2x,,,
707126,EXCEED,covid19_q2,painsym3x,,,
707127,EXCEED,covid19_q2,painsym4x,,,
707128,EXCEED,covid19_q2,paindiagnose,,,
707129,EXCEED,covid19_q2,painchange,,,
707130,EXCEED,covid19_q2,paincovid,,,
707131,EXCEED,covid19_q2,painchangecovid,,,
707132,EXCEED,covid19_q2,paincond1,,,
707133,EXCEED,covid19_q2,paincond2,,,
707134,EXCEED,covid19_q2,paincond3,,,
707135,EXCEED,covid19_q2,paincond4,,,
707136,EXCEED,covid19_q2,paincond5,,,
707137,EXCEED,covid19_q2,paincond6,,,
707138,EXCEED,covid19_q2,paincond7,,,
707139,EXCEED,covid19_q2,paincond8,,,
707140,EXCEED,covid19_q2,paincond9,,,
707141,EXCEED,covid19_q2,paincond10,,,
707142,EXCEED,covid19_q2,paincond11,,,
707143,EXCEED,covid19_q2,paincond4year,,,
