,Source,Block Name,Variable Name,Variable Description,Value,Value Description
705244,EXCEED,covid19survey,study_id_e,,,
705245,EXCEED,covid19survey,covid19survey_timestamp,time when the participant submitted the questionnaire,,
705246,EXCEED,covid19survey,s1_0a_exceed,"Leading up to the Covid-19 pandemic, would you say that your physical health was generally:",,
705247,EXCEED,covid19survey,s1_0b_exceed,"Leading up to the Covid-19 pandemic, would you say that your mental health was generally:",,
705248,EXCEED,covid19survey,s1_1b_11,Decrease in appetite :  Nov<br>2019 ,1.0,1.0
705249,EXCEED,covid19survey,s1_1b_11,Decrease in appetite :  Nov<br>2019 ,0.0,0.0
705250,EXCEED,covid19survey,s1_1b_12,Decrease in appetite :  Dec<br>2019 ,1.0,1.0
705251,EXCEED,covid19survey,s1_1b_12,Decrease in appetite :  Dec<br>2019 ,0.0,0.0
705252,EXCEED,covid19survey,s1_1b_1,Decrease in appetite :  Jan<br>2020 ,1.0,1.0
705253,EXCEED,covid19survey,s1_1b_1,Decrease in appetite :  Jan<br>2020 ,0.0,0.0
705254,EXCEED,covid19survey,s1_1b_2,Decrease in appetite :  Feb<br>2020 ,1.0,1.0
705255,EXCEED,covid19survey,s1_1b_2,Decrease in appetite :  Feb<br>2020 ,0.0,0.0
705256,EXCEED,covid19survey,s1_1b_3,Decrease in appetite :  Mar<br>2020 ,1.0,1.0
705257,EXCEED,covid19survey,s1_1b_3,Decrease in appetite :  Mar<br>2020 ,0.0,0.0
705258,EXCEED,covid19survey,s1_1b_4,Decrease in appetite :  Apr<br>2020 ,1.0,1.0
705259,EXCEED,covid19survey,s1_1b_4,Decrease in appetite :  Apr<br>2020 ,0.0,0.0
705260,EXCEED,covid19survey,s1_1b_5,Decrease in appetite :  May 2020 ,1.0,1.0
705261,EXCEED,covid19survey,s1_1b_5,Decrease in appetite :  May 2020 ,0.0,0.0
705262,EXCEED,covid19survey,s1_1b_6,Decrease in appetite :  Jun<br>2020 ,1.0,1.0
705263,EXCEED,covid19survey,s1_1b_6,Decrease in appetite :  Jun<br>2020 ,0.0,0.0
705264,EXCEED,covid19survey,s1_1b_7,Decrease in appetite :  Jul<br>2020 ,1.0,1.0
705265,EXCEED,covid19survey,s1_1b_7,Decrease in appetite :  Jul<br>2020 ,0.0,0.0
705266,EXCEED,covid19survey,s1_1b_8,Decrease in appetite :  Aug<br>2020 ,1.0,1.0
705267,EXCEED,covid19survey,s1_1b_8,Decrease in appetite :  Aug<br>2020 ,0.0,0.0
705268,EXCEED,covid19survey,s1_1b_9,Decrease in appetite :  Sep<br>2020 ,1.0,1.0
705269,EXCEED,covid19survey,s1_1b_9,Decrease in appetite :  Sep<br>2020 ,0.0,0.0
705270,EXCEED,covid19survey,s1_1b_10,Decrease in appetite :  Oct<br>2020 ,1.0,1.0
705271,EXCEED,covid19survey,s1_1b_10,Decrease in appetite :  Oct<br>2020 ,0.0,0.0
705272,EXCEED,covid19survey,s1_1b_23,Decrease in appetite :  Nov<br>2020 ,1.0,1.0
705273,EXCEED,covid19survey,s1_1b_23,Decrease in appetite :  Nov<br>2020 ,0.0,0.0
705274,EXCEED,covid19survey,s1_1b_24,Decrease in appetite :  Dec<br>2020 ,1.0,1.0
705275,EXCEED,covid19survey,s1_1b_24,Decrease in appetite :  Dec<br>2020 ,0.0,0.0
705276,EXCEED,covid19survey,s1_1b_25,Decrease in appetite :  Jan<br>2021 ,1.0,1.0
705277,EXCEED,covid19survey,s1_1b_25,Decrease in appetite :  Jan<br>2021 ,0.0,0.0
705278,EXCEED,covid19survey,s1_1b_26,Decrease in appetite :  Feb<br>2021 ,1.0,1.0
705279,EXCEED,covid19survey,s1_1b_26,Decrease in appetite :  Feb<br>2021 ,0.0,0.0
705280,EXCEED,covid19survey,s1_1b_27,Decrease in appetite :  Mar<br>2021 ,1.0,1.0
705281,EXCEED,covid19survey,s1_1b_27,Decrease in appetite :  Mar<br>2021 ,0.0,0.0
705282,EXCEED,covid19survey,s1_1b_28,Decrease in appetite :  Apr<br>2021 ,1.0,1.0
705283,EXCEED,covid19survey,s1_1b_28,Decrease in appetite :  Apr<br>2021 ,0.0,0.0
705284,EXCEED,covid19survey,s1_1b_29,Decrease in appetite :  May<br>2021 ,1.0,1.0
705285,EXCEED,covid19survey,s1_1b_29,Decrease in appetite :  May<br>2021 ,0.0,0.0
705286,EXCEED,covid19survey,s1_1b_30,Decrease in appetite :  Jun<br>2021 ,1.0,1.0
705287,EXCEED,covid19survey,s1_1b_30,Decrease in appetite :  Jun<br>2021 ,0.0,0.0
