table_name,variable_name,variable_label,avail_from_dt
covid19survey_v0002_20220302,covid19survey_timestamp,time when the participant submitted the questionnaire,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_0a_exceed,"Leading up to the Covid-19 pandemic, would you say that your physical health was generally:",2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_0b_exceed,"Leading up to the Covid-19 pandemic, would you say that your mental health was generally:",2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1b,Decrease in appetite,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1c,Nausea and/or vomiting,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1d,Diarrhoea,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1e,Abdominal pain/tummy ache,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1f,Runny nose,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1g,Sneezing,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1h,Blocked nose,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1i,Sore eyes,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1j,Loss of sense of smell,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1k,Loss of sense of taste,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1l,Sore throat,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1m,Hoarse voice,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1n,Headache (if more often or worse than usual),2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1o,Dizziness,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1p,Shortness of breath affecting normal activities,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1q,New  persistent cough,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1r,Tightness in the chest,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1s,Chest pain,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1t,Fever (feeling too hot),2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1u,Chills (feeling too cold),2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1v,Difficulty sleeping,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1w,Felt more tired than normal,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1x,Severe fatigue (e.g. inability to get out of bed),2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1y,Numbness or tingling somewhere in the body,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1z,Feeling of heaviness in arms or legs,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1aa,Achy muscles,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_1a,No symptoms at all,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_2a,When did the  one start?,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_2b,When did the  one finish?,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_2c,"In the , have you had shortness of breath (difficulty breathing)?",2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_2d,,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_2e,"If yes, what kind of medical attention did you access?  ",2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_2f_exceed,Did you take any medication to treat your symptoms?,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_3a,"In the , have you had your temperature taken?",2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_3b,Who took your temperature?,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_4,Have you been in close contact with anyone with COVID-19 in the last ?,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_5a,Do you think that you have or have had COVID-19?,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_6c,,2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_7a,"In general, do you have health problems that require you to limit your activities?",2022-03-30 16:03:14.307
covid19survey_v0002_20220302,s1_7b,Do you need someone to help you on a regular basis?,2022-03-30 16:03:14.307
