table_name,variable_name,value_value,value_label,avail_from_dt
covid19survey_v0002_20220302,s1_0a_exceed,1, Excellent ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0a_exceed, 2, Very good ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0a_exceed, 3, Good ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0a_exceed, 4, Fair ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0a_exceed, 5, Poor ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0a_exceed, 99, Prefer not to answer,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0b_exceed,1, Excellent ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0b_exceed, 2, Very good ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0b_exceed, 3, Good ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0b_exceed, 4, Fair ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0b_exceed, 5, Poor ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_0b_exceed, 99, Prefer not to answer,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1b,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1b, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1c,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1c, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1d,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1d, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1e,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1e, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1f,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1f, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1g,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1g, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1h,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1h, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1i,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1i, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1j,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1j, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1k,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1k, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1l,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1l, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1m,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1m, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1n,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1n, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1o,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1o, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1p,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1p, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1q,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1q, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1r,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1r, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1s,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1s, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1t,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1t, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1u,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1u, 99, In last week,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1v,11, Nov2021 ,2022-03-30 16:03:15.243
covid19survey_v0002_20220302,s1_1v, 99, In last week,2022-03-30 16:03:15.243
