,Source,Block Name,Variable Name,Variable Description,Value,Value Description
710224,EXCEED,exceed_selfcompletion_questionnaire,study_id_e,,,
710225,EXCEED,exceed_selfcompletion_questionnaire,timestamp,,,
710226,EXCEED,exceed_selfcompletion_questionnaire,gen2,,,
710227,EXCEED,exceed_selfcompletion_questionnaire,gen2b,,,
710228,EXCEED,exceed_selfcompletion_questionnaire,gen3,,,
710229,EXCEED,exceed_selfcompletion_questionnaire,gen5,,,
710230,EXCEED,exceed_selfcompletion_questionnaire,gen6,,,
710231,EXCEED,exceed_selfcompletion_questionnaire,gen7,,,
710232,EXCEED,exceed_selfcompletion_questionnaire,sm1,,,
710233,EXCEED,exceed_selfcompletion_questionnaire,sm2,,,
710234,EXCEED,exceed_selfcompletion_questionnaire,sm3,,,
710235,EXCEED,exceed_selfcompletion_questionnaire,sm6_1,"What type of tobacco do you smoke? 
 :  Manufactured cigarettes with filters ",1.0,True
710236,EXCEED,exceed_selfcompletion_questionnaire,sm6_1,"What type of tobacco do you smoke? 
 :  Manufactured cigarettes with filters ",0.0,False
710237,EXCEED,exceed_selfcompletion_questionnaire,sm6_2,"What type of tobacco do you smoke? 
 :  Manufactured cigarettes without filters ",1.0,True
710238,EXCEED,exceed_selfcompletion_questionnaire,sm6_2,"What type of tobacco do you smoke? 
 :  Manufactured cigarettes without filters ",0.0,False
710239,EXCEED,exceed_selfcompletion_questionnaire,sm6_3,"What type of tobacco do you smoke? 
 :  Hand-rolled cigarettes ",1.0,True
710240,EXCEED,exceed_selfcompletion_questionnaire,sm6_3,"What type of tobacco do you smoke? 
 :  Hand-rolled cigarettes ",0.0,False
710241,EXCEED,exceed_selfcompletion_questionnaire,sm6_4,"What type of tobacco do you smoke? 
 :  Shisha (waterpipe) ",1.0,True
710242,EXCEED,exceed_selfcompletion_questionnaire,sm6_4,"What type of tobacco do you smoke? 
 :  Shisha (waterpipe) ",0.0,False
710243,EXCEED,exceed_selfcompletion_questionnaire,sm6_5,"What type of tobacco do you smoke? 
 :  Cigars/Cigarillos ",1.0,True
710244,EXCEED,exceed_selfcompletion_questionnaire,sm6_5,"What type of tobacco do you smoke? 
 :  Cigars/Cigarillos ",0.0,False
710245,EXCEED,exceed_selfcompletion_questionnaire,sm6_6,"What type of tobacco do you smoke? 
 :  Pipe ",1.0,True
710246,EXCEED,exceed_selfcompletion_questionnaire,sm6_6,"What type of tobacco do you smoke? 
 :  Pipe ",0.0,False
710247,EXCEED,exceed_selfcompletion_questionnaire,sm6_7,"What type of tobacco do you smoke? 
 :  Other ",1.0,True
710248,EXCEED,exceed_selfcompletion_questionnaire,sm6_7,"What type of tobacco do you smoke? 
 :  Other ",0.0,False
710249,EXCEED,exceed_selfcompletion_questionnaire,sm6_8,"What type of tobacco do you smoke? 
 :  Prefer not to answer",1.0,True
710250,EXCEED,exceed_selfcompletion_questionnaire,sm6_8,"What type of tobacco do you smoke? 
 :  Prefer not to answer",0.0,False
710251,EXCEED,exceed_selfcompletion_questionnaire,sm7,,,
710252,EXCEED,exceed_selfcompletion_questionnaire,sm10b,,,
710253,EXCEED,exceed_selfcompletion_questionnaire,sm10f,,,
710254,EXCEED,exceed_selfcompletion_questionnaire,sm11,,,
710255,EXCEED,exceed_selfcompletion_questionnaire,sm12,,,
710256,EXCEED,exceed_selfcompletion_questionnaire,sm14,,,
710257,EXCEED,exceed_selfcompletion_questionnaire,sm15,,,
710258,EXCEED,exceed_selfcompletion_questionnaire,sm16,,,
710259,EXCEED,exceed_selfcompletion_questionnaire,sm19_1,What method did you use to stop smoking when you stopped for more than 6 months? :  Nicotine replacement therapy ,1.0,True
710260,EXCEED,exceed_selfcompletion_questionnaire,sm19_1,What method did you use to stop smoking when you stopped for more than 6 months? :  Nicotine replacement therapy ,0.0,False
710261,EXCEED,exceed_selfcompletion_questionnaire,sm19_2,What method did you use to stop smoking when you stopped for more than 6 months? :  Bupropion Hydrochloride (Zyban) ,1.0,True
710262,EXCEED,exceed_selfcompletion_questionnaire,sm19_2,What method did you use to stop smoking when you stopped for more than 6 months? :  Bupropion Hydrochloride (Zyban) ,0.0,False
710263,EXCEED,exceed_selfcompletion_questionnaire,sm19_3,What method did you use to stop smoking when you stopped for more than 6 months? :  Varenicline (Champix) ,1.0,True
710264,EXCEED,exceed_selfcompletion_questionnaire,sm19_3,What method did you use to stop smoking when you stopped for more than 6 months? :  Varenicline (Champix) ,0.0,False
710265,EXCEED,exceed_selfcompletion_questionnaire,sm19_4,What method did you use to stop smoking when you stopped for more than 6 months? :  Other ,1.0,True
710266,EXCEED,exceed_selfcompletion_questionnaire,sm19_4,What method did you use to stop smoking when you stopped for more than 6 months? :  Other ,0.0,False
710267,EXCEED,exceed_selfcompletion_questionnaire,sm19_5,What method did you use to stop smoking when you stopped for more than 6 months? :  None ,1.0,True
710268,EXCEED,exceed_selfcompletion_questionnaire,sm19_5,What method did you use to stop smoking when you stopped for more than 6 months? :  None ,0.0,False
710269,EXCEED,exceed_selfcompletion_questionnaire,sm19_6,What method did you use to stop smoking when you stopped for more than 6 months? :  Do not know ,1.0,True
710270,EXCEED,exceed_selfcompletion_questionnaire,sm19_6,What method did you use to stop smoking when you stopped for more than 6 months? :  Do not know ,0.0,False
710271,EXCEED,exceed_selfcompletion_questionnaire,sm19_7,What method did you use to stop smoking when you stopped for more than 6 months? :  Prefer not to answer,1.0,True
710272,EXCEED,exceed_selfcompletion_questionnaire,sm19_7,What method did you use to stop smoking when you stopped for more than 6 months? :  Prefer not to answer,0.0,False
710273,EXCEED,exceed_selfcompletion_questionnaire,sm20_1,"Which of the following nicotine replacement therapy products have you used? 

 :  Nicopass lozenges ",1.0,True
710274,EXCEED,exceed_selfcompletion_questionnaire,sm20_1,"Which of the following nicotine replacement therapy products have you used? 

 :  Nicopass lozenges ",0.0,False
710275,EXCEED,exceed_selfcompletion_questionnaire,sm20_2,"Which of the following nicotine replacement therapy products have you used? 

 :  Nicopatch ",1.0,True
710276,EXCEED,exceed_selfcompletion_questionnaire,sm20_2,"Which of the following nicotine replacement therapy products have you used? 

 :  Nicopatch ",0.0,False
710277,EXCEED,exceed_selfcompletion_questionnaire,sm20_3,"Which of the following nicotine replacement therapy products have you used? 

 :  Nicorette gum ",1.0,True
