,Source,Block Name,Variable Name,Variable Description,Value,Value Description
708900,EXCEED,occupation,study_id_e,,,
708901,EXCEED,occupation,date_entered,when participant submitted the survey,,
708902,EXCEED,occupation,date_entered,when participant submitted the survey,,
708903,EXCEED,occupation,soc2010,soc2010 code for the selected job title,,
708904,EXCEED,occupation,soc2010,soc2010 code for the selected job title,,
708905,EXCEED,occupation,never_worked,participant has never worked,1.0, never worked 
708906,EXCEED,occupation,never_worked,participant has never worked,0.0, worked before
708907,EXCEED,occupation,never_worked,participant has never worked,1.0, never worked 
708908,EXCEED,occupation,never_worked,participant has never worked,0.0, worked before
708909,EXCEED,occupation,avail_from_dt,,,
