,Source,Block Name,Variable Name,Variable Description,Value,Value Description
712136,GENSCOT,BIOCHEMISTRY,study_id_e,,,
712137,GENSCOT,BIOCHEMISTRY,glucose,Glucose (mmol/l),,
712138,GENSCOT,BIOCHEMISTRY,hdl_cholesterol,HDL_cholesterol (mmol/l),,
712139,GENSCOT,BIOCHEMISTRY,total_cholesterol,Total_cholesterol (mmol/l),,
712140,GENSCOT,BIOCHEMISTRY,sodium,Sodium (mmol/l),,
712141,GENSCOT,BIOCHEMISTRY,potassium,Potassium (mmol/l),,
712142,GENSCOT,BIOCHEMISTRY,urea,Urea (mmol/l),,
712143,GENSCOT,BIOCHEMISTRY,creatinine,Creatinine (mmol/l),,
712144,GENSCOT,BIOCHEMISTRY,creat_mgdl,Creatinine mg/dl,,
712145,GENSCOT,BIOCHEMISTRY,egfr,Estimated egfr,,
712146,GENSCOT,BIOCHEMISTRY,avail_from_dt,,,
712147,GENSCOT,BIOCHEMISTRY,study_id_e,,,
712148,GENSCOT,BIOCHEMISTRY,glucose,Glucose (mmol/l),,
712149,GENSCOT,BIOCHEMISTRY,hdl_cholesterol,HDL_cholesterol (mmol/l),,
712150,GENSCOT,BIOCHEMISTRY,total_cholesterol,Total_cholesterol (mmol/l),,
712151,GENSCOT,BIOCHEMISTRY,sodium,Sodium (mmol/l),,
712152,GENSCOT,BIOCHEMISTRY,potassium,Potassium (mmol/l),,
712153,GENSCOT,BIOCHEMISTRY,urea,Urea (mmol/l),,
712154,GENSCOT,BIOCHEMISTRY,creatinine,Creatinine (mmol/l),,
712155,GENSCOT,BIOCHEMISTRY,creat_mgdl,Creatinine mg/dl,,
712156,GENSCOT,BIOCHEMISTRY,egfr,Estimated egfr,,
712157,GENSCOT,BIOCHEMISTRY,appt,date of response,,
712158,GENSCOT,BIOCHEMISTRY,avail_from_dt,,,
