,Source,Block Name,Variable Name,Variable Description,Value,Value Description
712159,GENSCOT,BODY,study_id_e,,,
712160,GENSCOT,BODY,height,CRF: C2. Height,,
712161,GENSCOT,BODY,weight,CRF: C3. Weight,,
712162,GENSCOT,BODY,bmi,Body mass index,,
712163,GENSCOT,BODY,waist,CRF: C4. Waist,,
712164,GENSCOT,BODY,hips,CRF: C5. Hips,,
712165,GENSCOT,BODY,whr,waist:hip ratio,,
712166,GENSCOT,BODY,body_fat,CRF: C6. Body Fat Composition,,
712167,GENSCOT,BODY,absi,A body shape index,,
712168,GENSCOT,BODY,avail_from_dt,,,
712169,GENSCOT,BODY,study_id_e,,,
712170,GENSCOT,BODY,height,CRF: C2. Height,,
712171,GENSCOT,BODY,weight,CRF: C3. Weight,,
712172,GENSCOT,BODY,bmi,Body mass index,,
712173,GENSCOT,BODY,waist,CRF: C4. Waist,,
712174,GENSCOT,BODY,hips,CRF: C5. Hips,,
712175,GENSCOT,BODY,whr,waist:hip ratio,,
712176,GENSCOT,BODY,body_fat,CRF: C6. Body Fat Composition,,
712177,GENSCOT,BODY,absi,A body shape index,,
712178,GENSCOT,BODY,appt,,,
712179,GENSCOT,BODY,avail_from_dt,,,
