table_name,variable_name,variable_label,avail_from_dt
BPHR_v0002_20220302,bp_systolic_1,CRF: C1. Blood Pressure 1 Systolic,2022-03-24 23:10:22.183
BPHR_v0002_20220302,bp_diastolic_1,CRF: C1. Blood Pressure 1 Diastolic,2022-03-24 23:10:22.183
BPHR_v0002_20220302,heart_rate_1,CRF: C1. Heart Rate 1,2022-03-24 23:10:22.183
BPHR_v0002_20220302,bp_systolic_2,CRF: C1. Blood Pressure 2 Systolic,2022-03-24 23:10:22.183
BPHR_v0002_20220302,bp_diastolic_2,CRF: C1. Blood Pressure 2 Diastolic,2022-03-24 23:10:22.183
BPHR_v0002_20220302,heart_rate_2,CRF: C1. Heart Rate 2,2022-03-24 23:10:22.183
BPHR_v0002_20220302,avg_sys,average systolic blood pressure,2022-03-24 23:10:22.183
BPHR_v0002_20220302,avg_dia,average diastolic blood pressure,2022-03-24 23:10:22.183
BPHR_v0002_20220302,avg_hr,average heartrate,2022-03-24 23:10:22.183
BPHR_v0002_20220302,max_sys,maximum systolic blood pressure,2022-03-24 23:10:22.183
BPHR_v0002_20220302,appt,date of response,2022-03-24 23:10:22.183
