,Source,Block Name,Variable Name,Variable Description,Value,Value Description
712259,GENSCOT,COGNITIVE,study_id_e,,,
712260,GENSCOT,COGNITIVE,eysenck_n,CRF: H1. Eysenck Personality Questionnaire Total N,,
712261,GENSCOT,COGNITIVE,eysenck_e,CRF: H1. Eysenck Personality Questionnaire Total E,,
712262,GENSCOT,COGNITIVE,logical_mem_1,CRF: H2. Logical Memory I Total Correct,,
712263,GENSCOT,COGNITIVE,digit_symbol,CRF: H3. Digit-Symbol Coding Total Correct,,
712264,GENSCOT,COGNITIVE,verbal_c,CRF: H4. Verbal Fluency C,,
712265,GENSCOT,COGNITIVE,verbal_f,CRF: H4. Verbal Fluency F,,
712266,GENSCOT,COGNITIVE,verbal_l,CRF: H4. Verbal Fluency L,,
712267,GENSCOT,COGNITIVE,verbal_total,CRF: H4. Verbal Fluency Total,,
712268,GENSCOT,COGNITIVE,vocabulary,CRF: H5. Mill Hill Vocabulary Total Correct,,
712269,GENSCOT,COGNITIVE,logical_mem_2,CRF: H6. Logical Memory Delay Total Correct,,
712270,GENSCOT,COGNITIVE,ghq_a,CRF: H7. GHQ Scoring A,,
712271,GENSCOT,COGNITIVE,likert_a,CRF: H7. Likert Scoring A,,
712272,GENSCOT,COGNITIVE,ghq_b,CRF: H7. GHQ Scoring B,,
712273,GENSCOT,COGNITIVE,likert_b,CRF: H7. Likert Scoring B,,
712274,GENSCOT,COGNITIVE,ghq_c,CRF: H7. GHQ Scoring C,,
712275,GENSCOT,COGNITIVE,likert_c,CRF: H7. Likert Scoring C,,
712276,GENSCOT,COGNITIVE,ghq_d,CRF: H7. GHQ Scoring D,,
712277,GENSCOT,COGNITIVE,likert_d,CRF: H7. Likert Scoring D,,
712278,GENSCOT,COGNITIVE,ghq_total,CRF: H7. GHQ Scoring Total,,
712279,GENSCOT,COGNITIVE,likert_total,CRF: H7. Likert Scoring Total,,
712280,GENSCOT,COGNITIVE,avail_from_dt,,,
712281,GENSCOT,COGNITIVE,study_id_e,,,
712282,GENSCOT,COGNITIVE,eysenck_n,CRF: H1. Eysenck Personality Questionnaire Total N,,
712283,GENSCOT,COGNITIVE,eysenck_e,CRF: H1. Eysenck Personality Questionnaire Total E,,
712284,GENSCOT,COGNITIVE,logical_mem_1,CRF: H2. Logical Memory I Total Correct,,
712285,GENSCOT,COGNITIVE,digit_symbol,CRF: H3. Digit-Symbol Coding Total Correct,,
712286,GENSCOT,COGNITIVE,verbal_c,CRF: H4. Verbal Fluency C,,
712287,GENSCOT,COGNITIVE,verbal_f,CRF: H4. Verbal Fluency F,,
712288,GENSCOT,COGNITIVE,verbal_l,CRF: H4. Verbal Fluency L,,
712289,GENSCOT,COGNITIVE,verbal_total,CRF: H4. Verbal Fluency Total,,
712290,GENSCOT,COGNITIVE,vocabulary,CRF: H5. Mill Hill Vocabulary Total Correct,,
712291,GENSCOT,COGNITIVE,logical_mem_2,CRF: H6. Logical Memory Delay Total Correct,,
712292,GENSCOT,COGNITIVE,ghq_a,CRF: H7. GHQ Scoring A,,
712293,GENSCOT,COGNITIVE,likert_a,CRF: H7. Likert Scoring A,,
712294,GENSCOT,COGNITIVE,ghq_b,CRF: H7. GHQ Scoring B,,
712295,GENSCOT,COGNITIVE,likert_b,CRF: H7. Likert Scoring B,,
712296,GENSCOT,COGNITIVE,ghq_c,CRF: H7. GHQ Scoring C,,
712297,GENSCOT,COGNITIVE,likert_c,CRF: H7. Likert Scoring C,,
712298,GENSCOT,COGNITIVE,ghq_d,CRF: H7. GHQ Scoring D,,
712299,GENSCOT,COGNITIVE,likert_d,CRF: H7. Likert Scoring D,,
712300,GENSCOT,COGNITIVE,ghq_total,CRF: H7. GHQ Scoring Total,,
712301,GENSCOT,COGNITIVE,likert_total,CRF: H7. Likert Scoring Total,,
712302,GENSCOT,COGNITIVE,appt,date of response,,
712303,GENSCOT,COGNITIVE,avail_from_dt,,,
