table_name,variable_name,variable_label,avail_from_dt
COGNITIVE_v0002_20220302,verbal_total,CRF: H4. Verbal Fluency Total,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,vocabulary,CRF: H5. Mill Hill Vocabulary Total Correct,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,logical_mem_2,CRF: H6. Logical Memory Delay Total Correct,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,ghq_A,CRF: H7. GHQ Scoring A,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,likert_A,CRF: H7. Likert Scoring A,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,ghq_B,CRF: H7. GHQ Scoring B,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,likert_B,CRF: H7. Likert Scoring B,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,ghq_C,CRF: H7. GHQ Scoring C,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,likert_C,CRF: H7. Likert Scoring C,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,ghq_D,CRF: H7. GHQ Scoring D,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,likert_D,CRF: H7. Likert Scoring D,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,ghq_total,CRF: H7. GHQ Scoring Total,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,likert_total,CRF: H7. Likert Scoring Total,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,appt,date of response,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,eysenck_N,CRF: H1. Eysenck Personality Questionnaire Total N,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,eysenck_E,CRF: H1. Eysenck Personality Questionnaire Total E,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,logical_mem_1,CRF: H2. Logical Memory I Total Correct,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,digit_symbol,CRF: H3. Digit-Symbol Coding Total Correct,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,verbal_C,CRF: H4. Verbal Fluency C,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,verbal_F,CRF: H4. Verbal Fluency F,2022-03-24 23:10:22.183
COGNITIVE_v0002_20220302,verbal_L,CRF: H4. Verbal Fluency L,2022-03-24 23:10:22.183
