table_name,variable_name,variable_label,avail_from_dt
COVIDLIFE1_v0001_20211101,Job_Sector,In your current (or last) job were you employed in the: ,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Job_Industry,In which of the following industries do you currently work or did you last work?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Income,What is the total income of your entire household last year (before tax)?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WorkingFromHome,Are you currently working from home or outside the home?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Work_hours_changed,How have your weekly working hours changed since before COVID-19 measures were introduced?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,KeyWorker,"When COVID-19 restrictions were put in place, were you designated as a key worker?",2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Job_COVID_LostJob,Have any of the following happened to you due to COVID-19 measures?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Job_COVID_Furlough,Have any of the following happened to you due to COVID-19 measures?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Job_COVID_PayCut,Have any of the following happened to you due to COVID-19 measures?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Job_COVID_NotWorking,Have any of the following happened to you due to COVID-19 measures?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Job_COVID_None,Have any of the following happened to you due to COVID-19 measures?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,New_Job,Have you found a new job?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Income_Now,"Compared to before COVID-19 measures were introduced, how has your income changed",2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,GovFunding_COVID,Have you received (or do you expect to receive) government funding (either the “Job Retention” scheme or “grants to the self-employed”) to replace your income.,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Child_SchoolClosure,Are you a parent or guardian whose child or children were attending school or nursery just before COVID-19 measures were introduced?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,SchoolClosure_AffectJob,Have the school and nursey closures affected your ability to do your job?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,SecureJob_Confidence,How confident are you that your employment will be secure after the COVID-19 pandemic is over,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Economy_Confidence,How confident are you that the economy will recover after the COVID-19 pandemic is over?,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Benefits_Before,Are you or anyone in your household receiving any of the following benefits? January 2020,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,Benefits_Now,Are you or anyone in your household receiving any of the following benefits? Now,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_AttendanceAll,WhichBenefits_Before_AttendanceAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_BereavementAll,WhichBenefits_Before_BereavementAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_BestStart_Grant,WhichBenefits_Before_BestStart_Grant,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_BestStart_Foods,WhichBenefits_Before_BestStart_Foods,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_BlueBadge,WhichBenefits_Before_BlueBadge,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_CarersAll,WhichBenefits_Before_CarersAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_ChildBen,WhichBenefits_Before_ChildBen,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_ChildTaxCred,WhichBenefits_Before_ChildTaxCred,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_ColdWeatherPay,WhichBenefits_Before_ColdWeatherPay,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_ConstantAttendanceAll,WhichBenefits_Before_ConstantAttendanceAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_CouncilTaxBen,WhichBenefits_Before_CouncilTaxBen,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_CrisisLoans,WhichBenefits_Before_CrisisLoans,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_DisabilityLivingAll,WhichBenefits_Before_DisabilityLivingAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_EmploymentSup,WhichBenefits_Before_EmploymentSup,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_FreeSchoolMeals,WhichBenefits_Before_FreeSchoolMeals,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_GuardiansAll,WhichBenefits_Before_GuardiansAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_HousingBen,WhichBenefits_Before_HousingBen,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_InWorkCred,WhichBenefits_Before_InWorkCred,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_IncapacityBen,WhichBenefits_Before_IncapacityBen,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_IncomeSup,WhichBenefits_Before_IncomeSup,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_IndustrialInjuriesBen,WhichBenefits_Before_IndustrialInjuriesBen,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_IndustrialDeathBen,WhichBenefits_Before_IndustrialDeathBen,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_JobseeksAll,WhichBenefits_Before_JobseeksAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_MaternityAll,WhichBenefits_Before_MaternityAll,2022-03-24 23:10:22.183
COVIDLIFE1_v0001_20211101,WhichBenefits_Before_MobilitySup,WhichBenefits_Before_MobilitySup,2022-03-24 23:10:22.183
