table_name,variable_name,value_value,value_label,avail_from_dt
COVIDLIFE1_v0001_20211101,Con_Q3,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q3,4,Moderately inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q3,5,Very inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q4,1,Very inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q4,2,Moderately inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q4,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q4,4,Moderately accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q4,5,Very accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q5,1,Very accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q5,2,Moderately accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q5,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q5,4,Moderately inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q5,5,Very inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q6,1,Very inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q6,2,Moderately inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q6,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q6,4,Moderately accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q6,5,Very accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q7,1,Very inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q7,2,Moderately inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q7,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q7,4,Moderately accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q7,5,Very accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q8,1,Very accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q8,2,Moderately accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q8,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q8,4,Moderately inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q8,5,Very inaccurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q9,1,Very accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q9,2,Moderately accurate,2022-03-24 23:13:46.343
COVIDLIFE1_v0001_20211101,Con_Q9,3,Neither inaccurate nor accurate,2022-03-24 23:13:46.343
