,Source,Block Name,Variable Name,Variable Description,Value,Value Description
712324,GENSCOT,COVIDLIFE3,study_id_e,,,
712325,GENSCOT,COVIDLIFE3,enddate,Survey End date ,,Survey End Date
712326,GENSCOT,COVIDLIFE3,progress,Survey progress percentage,,0:100 [Progress]
712327,GENSCOT,COVIDLIFE3,s3_general_health,"In general, would you say your health is",1,Excellent
712328,GENSCOT,COVIDLIFE3,s3_general_health,"In general, would you say your health is",2,Very Good
712329,GENSCOT,COVIDLIFE3,s3_general_health,"In general, would you say your health is",3,Good
712330,GENSCOT,COVIDLIFE3,s3_general_health,"In general, would you say your health is",4,Fair
712331,GENSCOT,COVIDLIFE3,s3_general_health,"In general, would you say your health is",5,Poor
712332,GENSCOT,COVIDLIFE3,s3_mental_health,"In general, would you say your emotional or mental health is",1,Excellent
712333,GENSCOT,COVIDLIFE3,s3_mental_health,"In general, would you say your emotional or mental health is",2,Very Good
712334,GENSCOT,COVIDLIFE3,s3_mental_health,"In general, would you say your emotional or mental health is",3,Good
712335,GENSCOT,COVIDLIFE3,s3_mental_health,"In general, would you say your emotional or mental health is",4,Fair
712336,GENSCOT,COVIDLIFE3,s3_mental_health,"In general, would you say your emotional or mental health is",5,Poor
712337,GENSCOT,COVIDLIFE3,s3_units_weight,S3_Units_Weight,1,Stones and Pounds
712338,GENSCOT,COVIDLIFE3,s3_units_weight,S3_Units_Weight,2,Kilograms
712339,GENSCOT,COVIDLIFE3,s3_weight_kg,S3_Weight_kg,,Weight [kilograms]
712340,GENSCOT,COVIDLIFE3,s3_weightstonelbs_1,S3_WeightStoneLbs_1,,Weight [Stones]
712341,GENSCOT,COVIDLIFE3,s3_weightstonelbs_2,S3_WeightStoneLbs_2,,Weight [Pounds]
712342,GENSCOT,COVIDLIFE3,s3_weightchange,How do you think your current weight compares to your weight at thestart of the first lockdown (March 2020)?,1,I have gained weight
712343,GENSCOT,COVIDLIFE3,s3_weightchange,How do you think your current weight compares to your weight at thestart of the first lockdown (March 2020)?,2,I have stayed the same
712344,GENSCOT,COVIDLIFE3,s3_weightchange,How do you think your current weight compares to your weight at thestart of the first lockdown (March 2020)?,3,I have lost weight
712345,GENSCOT,COVIDLIFE3,s3_weightchange,How do you think your current weight compares to your weight at thestart of the first lockdown (March 2020)?,98,Prefer not to answer
712346,GENSCOT,COVIDLIFE3,s3_pregnant,Are you currently pregnant?,0,No
712347,GENSCOT,COVIDLIFE3,s3_pregnant,Are you currently pregnant?,1,Yes
712348,GENSCOT,COVIDLIFE3,s3_pregnant,Are you currently pregnant?,98,Prefer not to answer
712349,GENSCOT,COVIDLIFE3,s3_pregnant,Are you currently pregnant?,99,Don't know
712350,GENSCOT,COVIDLIFE3,s3_had_covid,"Do you think that you have had, or currently have COVID-19?",0,No
712351,GENSCOT,COVIDLIFE3,s3_had_covid,"Do you think that you have had, or currently have COVID-19?",1,Yes
712352,GENSCOT,COVIDLIFE3,s3_covid_symptoms_1,Dry Cough,0,No
712353,GENSCOT,COVIDLIFE3,s3_covid_symptoms_1,Dry Cough,1,Yes
712354,GENSCOT,COVIDLIFE3,s3_covid_symptoms_2,Fever/High temperature,0,No
712355,GENSCOT,COVIDLIFE3,s3_covid_symptoms_2,Fever/High temperature,1,Yes
712356,GENSCOT,COVIDLIFE3,s3_covid_symptoms_3,Shortness of breath,0,No
712357,GENSCOT,COVIDLIFE3,s3_covid_symptoms_3,Shortness of breath,1,Yes
712358,GENSCOT,COVIDLIFE3,s3_covid_symptoms_4,Headache,0,No
712359,GENSCOT,COVIDLIFE3,s3_covid_symptoms_4,Headache,1,Yes
712360,GENSCOT,COVIDLIFE3,s3_covid_symptoms_5,Aches and pains,0,No
712361,GENSCOT,COVIDLIFE3,s3_covid_symptoms_5,Aches and pains,1,Yes
712362,GENSCOT,COVIDLIFE3,s3_covid_symptoms_6,Sore throat,0,No
712363,GENSCOT,COVIDLIFE3,s3_covid_symptoms_6,Sore throat,1,Yes
712364,GENSCOT,COVIDLIFE3,s3_covid_symptoms_7,Fatigue/tiredness,0,No
712365,GENSCOT,COVIDLIFE3,s3_covid_symptoms_7,Fatigue/tiredness,1,Yes
712366,GENSCOT,COVIDLIFE3,s3_covid_symptoms_8,Runny nose,0,No
712367,GENSCOT,COVIDLIFE3,s3_covid_symptoms_8,Runny nose,1,Yes
712368,GENSCOT,COVIDLIFE3,s3_covid_symptoms_9,Diarrhoea,0,No
712369,GENSCOT,COVIDLIFE3,s3_covid_symptoms_9,Diarrhoea,1,Yes
712370,GENSCOT,COVIDLIFE3,s3_covid_symptoms_10,Stomach pains,0,No
712371,GENSCOT,COVIDLIFE3,s3_covid_symptoms_10,Stomach pains,1,Yes
712372,GENSCOT,COVIDLIFE3,s3_covid_symptoms_11,Nausea/feeling sick,0,No
712373,GENSCOT,COVIDLIFE3,s3_covid_symptoms_11,Nausea/feeling sick,1,Yes
712374,GENSCOT,COVIDLIFE3,s3_covid_symptoms_12,Lack of appetite,0,No
712375,GENSCOT,COVIDLIFE3,s3_covid_symptoms_12,Lack of appetite,1,Yes
712376,GENSCOT,COVIDLIFE3,s3_covid_symptoms_13,Sudden loss of smell and/or taste,0,No
712377,GENSCOT,COVIDLIFE3,s3_covid_symptoms_13,Sudden loss of smell and/or taste,1,Yes
712378,GENSCOT,COVIDLIFE3,s3_covid_symptoms_14,Sore eyes,0,No
712379,GENSCOT,COVIDLIFE3,s3_covid_symptoms_14,Sore eyes,1,Yes
712380,GENSCOT,COVIDLIFE3,s3_covid_symptoms_15,Developed pneumonia,0,No
712381,GENSCOT,COVIDLIFE3,s3_covid_symptoms_15,Developed pneumonia,1,Yes
712382,GENSCOT,COVIDLIFE3,s3_covid_symptoms_17,Had no symptoms (asymptomatic),0,No
712383,GENSCOT,COVIDLIFE3,s3_covid_symptoms_17,Had no symptoms (asymptomatic),1,Yes
712384,GENSCOT,COVIDLIFE3,s3_covid_symptoms_16,Other symptoms,0,No
712385,GENSCOT,COVIDLIFE3,s3_covid_symptoms_16,Other symptoms,1,Yes
712386,GENSCOT,COVIDLIFE3,s3_covid_hospital,Were you hospitalised because of COVID-19?,0,No
712387,GENSCOT,COVIDLIFE3,s3_covid_hospital,Were you hospitalised because of COVID-19?,1,Yes
712388,GENSCOT,COVIDLIFE3,s3_covid_icu,Were you in intensive care?,0,No
712389,GENSCOT,COVIDLIFE3,s3_covid_icu,Were you in intensive care?,1,Yes
712390,GENSCOT,COVIDLIFE3,s3_covid_icu,Were you in intensive care?,99,Don't know
712391,GENSCOT,COVIDLIFE3,s3_covid_ventilator,Did you need to use a ventilator to help you breathe?,0,No
