table_name,variable_name,variable_label,avail_from_dt
DEATH_v0001_20211101,aged,age death,2022-03-24 23:10:22.183
DEATH_v0001_20211101,covid,covid19 on certificate,2022-03-24 23:10:22.183
DEATH_v0001_20211101,death28,28 days of positive test,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sex,sex,2022-03-24 23:10:22.183
DEATH_v0001_20211101,cause,ICD10 Cause of death,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec0,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec1,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec2,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec3,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec4,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec5,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec6,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec7,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec8,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,sec9,ICD10 Secondary cause,2022-03-24 23:10:22.183
DEATH_v0001_20211101,dob,date of birth,2022-03-24 23:10:22.183
DEATH_v0001_20211101,dod,date of death,2022-03-24 23:10:22.183
