table_name,variable_name,variable_label,avail_from_dt
DISEASE_v0002_20220302,hip_fracture_Y,hip- fracture- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,hip_fracture_F,hip- fracture- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,hip_fracture_M,hip- fracture- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,hip_fracture_BS,hip- fracture- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,hip_fracture_B,hip- fracture- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,hip_fracture_S,hip- fracture- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,hip_fracture_G,hip- fracture- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_Y,osteo_arthritis- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_F,osteo_arthritis- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_M,osteo_arthritis- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_BS,osteo_arthritis- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_B,osteo_arthritis- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_S,osteo_arthritis- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,osteo_arthritis_G,osteo_arthritis- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_Y,rheum_arthritis- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_F,rheum_arthritis- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_M,rheum_arthritis- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_BS,rheum_arthritis- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_B,rheum_arthritis- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_S,rheum_arthritis- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,rheum_arthritis_G,rheum_arthritis- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_Y,asthma- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_F,asthma- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_M,asthma- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_BS,asthma- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_B,asthma- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_S,asthma- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,asthma_G,asthma- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,COPD_Y,COPD- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,COPD_F,COPD- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,COPD_M,COPD- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,COPD_B,COPD- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,COPD_S,COPD- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,COPD_G,COPD- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,total_Y,total- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,appt,date of response,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_Y,heart_disease- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_F,heart_disease- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_M,heart_disease- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_BS,heart_disease- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_B,heart_disease- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_S,heart_disease- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,heart_disease_G,heart_disease- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_Y,stroke- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_F,stroke- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_M,stroke- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_BS,stroke- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_B,stroke- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_S,stroke- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,stroke_G,stroke- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_Y,high blood pressure - you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_F,high blood pressure - father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_M,high blood pressure - mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_BS,high blood pressure - sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_B,high blood pressure - brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_S,high blood pressure - sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,high_BP_G,high blood pressure - grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_Y,diabetes- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_F,diabetes- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_M,diabetes- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_BS,diabetes- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_B,diabetes- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_S,diabetes- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,diabetes_G,diabetes- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_Y,alzheimers- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_F,alzheimers- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_M,alzheimers- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_BS,alzheimers- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_B,alzheimers- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_S,alzheimers- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,alzheimers_G,alzheimers- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_Y,parkinsons- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_F,parkinsons- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_M,parkinsons- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_BS,parkinsons- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_B,parkinsons- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_S,parkinsons- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,parkinsons_G,parkinsons- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_Y,depression- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_F,depression- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_M,depression- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_BS,depression- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_B,depression- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_S,depression- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,depression_G,depression- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_Y,breast_cancer- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_F,breast_cancer- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_M,breast_cancer- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_BS,breast_cancer- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_B,breast_cancer- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_S,breast_cancer- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,breast_cancer_G,breast_cancer- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_Y,bowel_cancer- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_F,bowel_cancer- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_M,bowel_cancer- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_BS,bowel_cancer- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_B,bowel_cancer- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_S,bowel_cancer- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,bowel_cancer_G,bowel_cancer- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_Y,lung_cancer- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_F,lung_cancer- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_M,lung_cancer- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_BS,lung_cancer- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_B,lung_cancer- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_S,lung_cancer- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,lung_cancer_G,lung_cancer- grandparent,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_Y,prostate_cancer- you,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_F,prostate_cancer- father,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_M,prostate_cancer- mother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_BS,prostate_cancer- sibling,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_B,prostate_cancer- brother,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_S,prostate_cancer- sister,2022-03-24 23:10:22.183
DISEASE_v0002_20220302,prostate_cancer_G,prostate_cancer- grandparent,2022-03-24 23:10:22.183
