table_name,variable_name,value_value,value_label,avail_from_dt
ECOSS_v0001_20211101,age,,Years,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,care_home,,Care Home ID,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,covid,,Flag,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,death28,,Flag,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,dod,,yyyy-mm-dd,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,dt,,yyyy-mm-dd,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,ecossid,,ECOSS ID,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,organism,,"Coronavirus 2019-nCoV, Coronavirus 2019-nCoV negative",2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,DD,Dundee,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,DG,Dumfries and Galloway,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,FK,Falkirk,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,G,Glasgow,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,HS,Isle of Lewis and Outer Hebrides,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,IV,Invernes,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,KA,Kilmarnock and Ayr,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,KW,Kirkwall,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,KY,Kirkcaldy,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,ML,Motherwell,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,PA,Paisley,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,PH,Perth,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,TD,Galashiels,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,ZE,Shetland Islands,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,pc_area,AB,Aberdeen,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,result,,Positive/Negative,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,sex,F,Female,2022-03-24 23:13:46.343
ECOSS_v0001_20211101,sex,M,Male,2022-03-24 23:13:46.343
