,Source,Block Name,Variable Name,Variable Description,Value,Value Description
713522,GENSCOT,ETHNIC,study_id_e,,,
713523,GENSCOT,ETHNIC,rcode,race code,2.0,black
713524,GENSCOT,ETHNIC,rcode,race code,3.0,asian
713525,GENSCOT,ETHNIC,rcode,race code,4.0,mixed
713526,GENSCOT,ETHNIC,rcode,race code,5.0,other
713527,GENSCOT,ETHNIC,rcode,race code,6.0,not dislosed
713528,GENSCOT,ETHNIC,rcode,race code,7.0,not specified
713529,GENSCOT,ETHNIC,rcode,race code,1.0,white
713530,GENSCOT,ETHNIC,race,race-which volunteer belongs,,
713531,GENSCOT,ETHNIC,ncode,nationality code,1.0,scottish
713532,GENSCOT,ETHNIC,ncode,nationality code,10.0,African
713533,GENSCOT,ETHNIC,ncode,nationality code,11.0,Carribean
713534,GENSCOT,ETHNIC,ncode,nationality code,12.0,Other
713535,GENSCOT,ETHNIC,ncode,nationality code,2.0,English
713536,GENSCOT,ETHNIC,ncode,nationality code,3.0,Welsh
713537,GENSCOT,ETHNIC,ncode,nationality code,4.0,N.Irish
713538,GENSCOT,ETHNIC,ncode,nationality code,5.0,Irish
713539,GENSCOT,ETHNIC,ncode,nationality code,6.0,Pakistani
713540,GENSCOT,ETHNIC,ncode,nationality code,7.0,Indian
713541,GENSCOT,ETHNIC,ncode,nationality code,9.0,Chinese
713542,GENSCOT,ETHNIC,ncode,nationality code,0.0,blank
713543,GENSCOT,ETHNIC,nationality,nation state-which volunteer belongs,,
713544,GENSCOT,ETHNIC,avail_from_dt,,,
713545,GENSCOT,ETHNIC,study_id_e,,,
713546,GENSCOT,ETHNIC,rcode,race code,2.0,black
713547,GENSCOT,ETHNIC,rcode,race code,3.0,asian
713548,GENSCOT,ETHNIC,rcode,race code,4.0,mixed
713549,GENSCOT,ETHNIC,rcode,race code,5.0,other
713550,GENSCOT,ETHNIC,rcode,race code,6.0,not dislosed
713551,GENSCOT,ETHNIC,rcode,race code,7.0,not specified
713552,GENSCOT,ETHNIC,rcode,race code,1.0,white
713553,GENSCOT,ETHNIC,race,race-which volunteer belongs,,Race
713554,GENSCOT,ETHNIC,ncode,nationality code,1.0,scottish
713555,GENSCOT,ETHNIC,ncode,nationality code,10.0,African
713556,GENSCOT,ETHNIC,ncode,nationality code,11.0,Carribean
713557,GENSCOT,ETHNIC,ncode,nationality code,12.0,Other
713558,GENSCOT,ETHNIC,ncode,nationality code,2.0,english
713559,GENSCOT,ETHNIC,ncode,nationality code,3.0,welsh
713560,GENSCOT,ETHNIC,ncode,nationality code,4.0,N.Irish
713561,GENSCOT,ETHNIC,ncode,nationality code,5.0,Irish
713562,GENSCOT,ETHNIC,ncode,nationality code,6.0,Pakistani
713563,GENSCOT,ETHNIC,ncode,nationality code,7.0,Indian
713564,GENSCOT,ETHNIC,ncode,nationality code,9.0,Chinese
713565,GENSCOT,ETHNIC,ncode,nationality code,0.0,blank
713566,GENSCOT,ETHNIC,nationality,nation state-which volunteer belongs,,Nationality
713567,GENSCOT,ETHNIC,appt,date of response,,timestamp
713568,GENSCOT,ETHNIC,avail_from_dt,,,
