table_name,variable_name,value_value,value_label,avail_from_dt
ETHNIC_v0002_20220302,nationality,,Nationality,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,1,scottish,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,10,African,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,11,Carribean,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,12,Other,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,2,english,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,3,welsh,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,4,N.Irish,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,5,Irish,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,6,Pakistani,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,7,Indian,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,9,Chinese,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,ncode,0,blank,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,race,,Race,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,2,black,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,3,asian,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,4,mixed,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,5,other,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,6,not dislosed,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,7,not specified,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,rcode,1,white,2022-03-24 23:13:46.343
ETHNIC_v0002_20220302,appt,,timestamp,2022-03-24 23:13:46.343
