,Source,Block Name,Variable Name,Variable Description,Value,Value Description
713650,GENSCOT,MDQ,study_id_e,,,
713651,GENSCOT,MDQ,mdqa1,PCQ: I A1.  you felt so good or hyper that other people thought you were not your normal self,0.0,No
713652,GENSCOT,MDQ,mdqa1,PCQ: I A1.  you felt so good or hyper that other people thought you were not your normal self,1.0,Yes
713653,GENSCOT,MDQ,mdqa2,PCQ: I A2.  you were so irritable that you shouted at people or started fights or arguments,0.0,No
713654,GENSCOT,MDQ,mdqa2,PCQ: I A2.  you were so irritable that you shouted at people or started fights or arguments,1.0,Yes
713655,GENSCOT,MDQ,mdqa3,PCQ: I A3.  you felt much more self-confident than usual,0.0,No
713656,GENSCOT,MDQ,mdqa3,PCQ: I A3.  you felt much more self-confident than usual,1.0,Yes
713657,GENSCOT,MDQ,mdqa4,PCQ: I A4.  you got much less sleep than usual and found you didnt really miss it,0.0,No
713658,GENSCOT,MDQ,mdqa4,PCQ: I A4.  you got much less sleep than usual and found you didnt really miss it,1.0,Yes
713659,GENSCOT,MDQ,mdqa5,PCQ: I A5.  you were much more talkative or spoke faster than usual,0.0,No
713660,GENSCOT,MDQ,mdqa5,PCQ: I A5.  you were much more talkative or spoke faster than usual,1.0,Yes
713661,GENSCOT,MDQ,mdqa6,PCQ: I A6.  thoughts raced through your head or you couldnt slow your mind down,0.0,No
713662,GENSCOT,MDQ,mdqa6,PCQ: I A6.  thoughts raced through your head or you couldnt slow your mind down,1.0,Yes
713663,GENSCOT,MDQ,mdqa7,PCQ: I A7. you were so easily distracted by things around you that you had trouble concentrating,0.0,No
713664,GENSCOT,MDQ,mdqa7,PCQ: I A7. you were so easily distracted by things around you that you had trouble concentrating,1.0,Yes
713665,GENSCOT,MDQ,mdqa8,PCQ: I A8. you had much more energy than usual,0.0,No
713666,GENSCOT,MDQ,mdqa8,PCQ: I A8. you had much more energy than usual,1.0,Yes
713667,GENSCOT,MDQ,mdqa9,PCQ: I A9. you were much more active or did many more things than usual,0.0,No
713668,GENSCOT,MDQ,mdqa9,PCQ: I A9. you were much more active or did many more things than usual,1.0,Yes
713669,GENSCOT,MDQ,mdqa10,PCQ: I A10. you were much more social or outgoing than usual for example you telephoned friends in the middle of the night,0.0,No
713670,GENSCOT,MDQ,mdqa10,PCQ: I A10. you were much more social or outgoing than usual for example you telephoned friends in the middle of the night,1.0,Yes
713671,GENSCOT,MDQ,mdqa11,PCQ: I A11.  you were much more interested in sex than usual,0.0,No
713672,GENSCOT,MDQ,mdqa11,PCQ: I A11.  you were much more interested in sex than usual,1.0,Yes
713673,GENSCOT,MDQ,mdqa12,PCQ: I A12. you did things that were unusual for you or that other people might have thought were excessive,0.0,No
713674,GENSCOT,MDQ,mdqa12,PCQ: I A12. you did things that were unusual for you or that other people might have thought were excessive,1.0,Yes
713675,GENSCOT,MDQ,mdqa13,PCQ: I A13. spending money got you or your family into trouble,0.0,No
713676,GENSCOT,MDQ,mdqa13,PCQ: I A13. spending money got you or your family into trouble,1.0,Yes
713677,GENSCOT,MDQ,mdqb,PCQ: IB. Have several of these ever happened during the same period of time,0.0,No
713678,GENSCOT,MDQ,mdqb,PCQ: IB. Have several of these ever happened during the same period of time,1.0,Yes
713679,GENSCOT,MDQ,mdqc,PCQ: IC. How much of a problem did any of these cause you?,0.0,No
713680,GENSCOT,MDQ,mdqc,PCQ: IC. How much of a problem did any of these cause you?,1.0,Yes
713681,GENSCOT,MDQ,total,total MDQ 1-13,2.0,Minor problem
713682,GENSCOT,MDQ,total,total MDQ 1-13,3.0,Moderate problem
713683,GENSCOT,MDQ,total,total MDQ 1-13,4.0,Serious problem
713684,GENSCOT,MDQ,total,total MDQ 1-13,1.0,No problem
713685,GENSCOT,MDQ,avail_from_dt,,,
713686,GENSCOT,MDQ,study_id_e,,,
713687,GENSCOT,MDQ,mdqa1,PCQ: I A1.  you felt so good or hyper that other people thought you were not your normal self,0.0,No
713688,GENSCOT,MDQ,mdqa1,PCQ: I A1.  you felt so good or hyper that other people thought you were not your normal self,1.0,Yes
713689,GENSCOT,MDQ,mdqa2,PCQ: I A2.  you were so irritable that you shouted at people or started fights or arguments,0.0,No
713690,GENSCOT,MDQ,mdqa2,PCQ: I A2.  you were so irritable that you shouted at people or started fights or arguments,1.0,Yes
713691,GENSCOT,MDQ,mdqa3,PCQ: I A3.  you felt much more self-confident than usual,0.0,No
713692,GENSCOT,MDQ,mdqa3,PCQ: I A3.  you felt much more self-confident than usual,1.0,Yes
713693,GENSCOT,MDQ,mdqa4,PCQ: I A4.  you got much less sleep than usual and found you didnt really miss it,0.0,No
713694,GENSCOT,MDQ,mdqa4,PCQ: I A4.  you got much less sleep than usual and found you didnt really miss it,1.0,Yes
713695,GENSCOT,MDQ,mdqa5,PCQ: I A5.  you were much more talkative or spoke faster than usual,0.0,No
713696,GENSCOT,MDQ,mdqa5,PCQ: I A5.  you were much more talkative or spoke faster than usual,1.0,Yes
713697,GENSCOT,MDQ,mdqa6,PCQ: I A6.  thoughts raced through your head or you couldnt slow your mind down,0.0,No
713698,GENSCOT,MDQ,mdqa6,PCQ: I A6.  thoughts raced through your head or you couldnt slow your mind down,1.0,Yes
713699,GENSCOT,MDQ,mdqa7,PCQ: I A7. you were so easily distracted by things around you that you had trouble concentrating,0.0,No
713700,GENSCOT,MDQ,mdqa7,PCQ: I A7. you were so easily distracted by things around you that you had trouble concentrating,1.0,Yes
713701,GENSCOT,MDQ,mdqa8,PCQ: I A8. you had much more energy than usual,0.0,No
