table_name,variable_name,value_value,value_label,avail_from_dt
OCCUPATION_v0002_20220302,income,1,"<10,000",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,income,2,"10,000-30,000",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,income,3,"30,000-50,000",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,income,4,"50,000-70,000",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,income,5,"70,000+",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,income,6,prefer not-answer,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,1,Less than 1 year,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,2,1-4 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,3,5-9 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,4,10-14 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,5,15-19 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,6,20-24 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,7,25+,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,jobless_years,0,0,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,1,1-4 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,10,45-49 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,11,50+,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,2,5-9 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,3,10-14 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,4,15-19 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,5,20-24 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,6,25-29 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,7,30-34 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,8,35-39 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,9,40-44 inclusive,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,night_hours,0,0,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,10,"Unemployed, seeking work",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,11,Other,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,12,Not applicable,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,2,Self-employed not employing others,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,3,Paid employee supervising others,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,4,Paid employee not supervising,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,5,In unpaid employment,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,6,Housewife/homemaker,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,7,Retired,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,8,Full-time student,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,9,"Unemployed, sick or disabled",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,Spouse_job_status,1,Self-employed employing others,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,10,"Unemployed, seeking work",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,11,Other,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,12,Not applicable,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,2,Self-employed not employing others,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,3,Paid employee supervising others,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,4,Paid employee not supervising,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,5,In unpaid employment,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,6,Housewife/homemaker,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,7,Retired,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,8,Full-time student,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,9,"Unemployed, sick or disabled",2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,vol_job_status,1,Self-employed employing others,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,work_type,2,Standing,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,work_type,3,Manual,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,work_type,4,Heavy Manual,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,work_type,1,Sedentary,2022-03-24 23:13:46.343
OCCUPATION_v0002_20220302,appt,,timestamp,2022-03-24 23:13:46.343
