table_name,variable_name,variable_label,avail_from_dt
PRESCRIPTIONS_v0001_20211101,dob,yyyymm,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,approved,generic name,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,sex,sex,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,presc_type,prescriber type,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,bnf,BNF code,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,formulation,pharmaceutical formulation,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,qty,quantity,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,strength,dosage,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,drug,drug name,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,dosage,prescribed dose,2022-03-24 23:10:22.183
PRESCRIPTIONS_v0001_20211101,dt,yyyymm,2022-03-24 23:10:22.183
