table_name,variable_name,value_value,value_label,avail_from_dt
SIMD_v0001_20211101,area,DD,Dundee,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,DG,Dumfries and Galloway,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,FK,Falkirk,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,G,Glasgow,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,HS,Isle of Lewis and Outer Hebrides,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,IV,Invernes,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,KA,Kilmarnock and Ayr,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,KW,Kirkwall,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,KY,Kirkcaldy,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,ML,Motherwell,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,PA,Paisley,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,PH,Perth,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,TD,Galashiels,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,ZE,Shetland Islands,2022-03-24 23:13:46.343
SIMD_v0001_20211101,area,AB,Aberdeen,2022-03-24 23:13:46.343
SIMD_v0001_20211101,postarea,,Postcode Area [narrow],2022-03-24 23:13:46.343
SIMD_v0001_20211101,quintile,,"Most Deprived SIMD rank quintile(1) ,..., Least Deprived SIMD rank quintile(5)",2022-03-24 23:13:46.343
SIMD_v0001_20211101,urban,2,other urban areas,2022-03-24 23:13:46.343
SIMD_v0001_20211101,urban,3,accessible small towns,2022-03-24 23:13:46.343
SIMD_v0001_20211101,urban,4,remote small towns,2022-03-24 23:13:46.343
SIMD_v0001_20211101,urban,5,accessible rural areas,2022-03-24 23:13:46.343
SIMD_v0001_20211101,urban,6,remote rural areas,2022-03-24 23:13:46.343
SIMD_v0001_20211101,urban,1,Large urban area >125000,2022-03-24 23:13:46.343
SIMD_v0001_20211101,appt,,timestamp,2022-03-24 23:13:46.343
