,Source,Block Name,Variable Name,Variable Description,Value,Value Description
713957,GENSCOT,SMOKING,study_id_e,,,
713958,GENSCOT,SMOKING,ever_smoke,,,
713959,GENSCOT,SMOKING,started,,,
713960,GENSCOT,SMOKING,stopped,,,
713961,GENSCOT,SMOKING,years,,,
713962,GENSCOT,SMOKING,packs_day,,,
713963,GENSCOT,SMOKING,pack_years,,,
713964,GENSCOT,SMOKING,status,,,
713965,GENSCOT,SMOKING,cigs_day,,,
713966,GENSCOT,SMOKING,avail_from_dt,,,
713967,GENSCOT,SMOKING,study_id_e,,,
713968,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,2.0,"Yes, but stopped within past 12 months"
713969,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,3.0,"Yes, but stopped more than 12 months ago"
713970,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,4.0,"No, never smoked"
713971,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,1.0,"Yes, currently smoke"
713972,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,2.0,"Yes, but stopped within past 12 months"
713973,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,3.0,"Yes, but stopped more than 12 months ago"
713974,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,4.0,"No, never smoked"
713975,GENSCOT,SMOKING,ever_smoke,PCQ: L1. Have you ever smoked tobacco?,1.0,"Yes, currently smoke"
713976,GENSCOT,SMOKING,age,age,,Years
713977,GENSCOT,SMOKING,age,age,,Years
713978,GENSCOT,SMOKING,started,PCQ: L2. What age were you when you started smoking,,Years
713979,GENSCOT,SMOKING,started,PCQ: L2. What age were you when you started smoking,,Years
713980,GENSCOT,SMOKING,stopped,PCQ: L4. How long is it since you given up smoking? Years,,Years
713981,GENSCOT,SMOKING,stopped,PCQ: L4. How long is it since you given up smoking? Years,,Years
713982,GENSCOT,SMOKING,years,years as smoker,,Years
713983,GENSCOT,SMOKING,years,years as smoker,,Years
713984,GENSCOT,SMOKING,packs_day,Average packs smoked per day,,Average packs smoked per day
713985,GENSCOT,SMOKING,packs_day,Average packs smoked per day,,Average packs smoked per day
713986,GENSCOT,SMOKING,pack_years,Pack years,,Pack years
713987,GENSCOT,SMOKING,pack_years,Pack years,,Pack years
713988,GENSCOT,SMOKING,status,smoking status,,Smoking Status
713989,GENSCOT,SMOKING,status,smoking status,,Smoking Status
713990,GENSCOT,SMOKING,cigs_day,Average cigarettes smoked per day,,Average cigarettes smoked per day
713991,GENSCOT,SMOKING,cigs_day,Average cigarettes smoked per day,,Average cigarettes smoked per day
713992,GENSCOT,SMOKING,appt,,,timestamp
713993,GENSCOT,SMOKING,appt,,,timestamp
713994,GENSCOT,SMOKING,avail_from_dt,,,
