,Source,Block Name,Variable Name,Variable Description,Value,Value Description
717034,GENSCOT,SPQ,study_id_e,,,
717035,GENSCOT,SPQ,spq1,,,
717036,GENSCOT,SPQ,spq2,,,
717037,GENSCOT,SPQ,spq3,,,
717038,GENSCOT,SPQ,spq4,,,
717039,GENSCOT,SPQ,spq5,,,
717040,GENSCOT,SPQ,spq6,,,
717041,GENSCOT,SPQ,spq7,,,
717042,GENSCOT,SPQ,spq8,,,
717043,GENSCOT,SPQ,spq9,,,
717044,GENSCOT,SPQ,spq10,,,
717045,GENSCOT,SPQ,spq11,,,
717046,GENSCOT,SPQ,spq12,,,
717047,GENSCOT,SPQ,spq13,,,
717048,GENSCOT,SPQ,spq14,,,
717049,GENSCOT,SPQ,spq15,,,
717050,GENSCOT,SPQ,spq16,,,
717051,GENSCOT,SPQ,spq17,,,
717052,GENSCOT,SPQ,spq18,,,
717053,GENSCOT,SPQ,spq19,,,
717054,GENSCOT,SPQ,spq20,,,
717055,GENSCOT,SPQ,spq21,,,
717056,GENSCOT,SPQ,spq22,,,
717057,GENSCOT,SPQ,cogper,,,
717058,GENSCOT,SPQ,inter,,,
717059,GENSCOT,SPQ,disorg,,,
717060,GENSCOT,SPQ,total,,,
717061,GENSCOT,SPQ,avail_from_dt,,,
717062,GENSCOT,SPQ,study_id_e,,,
717063,GENSCOT,SPQ,spq1,PCQ: I1. Have you ever had the sense that some person or force is around you even though you cannot see anyone,0.0,No
717064,GENSCOT,SPQ,spq1,PCQ: I1. Have you ever had the sense that some person or force is around you even though you cannot see anyone,1.0,Yes
717065,GENSCOT,SPQ,spq2,PCQ: I2. Are you sometimes sure that other people can tell what you are thinking,0.0,No
717066,GENSCOT,SPQ,spq2,PCQ: I2. Are you sometimes sure that other people can tell what you are thinking,1.0,Yes
717067,GENSCOT,SPQ,spq3,PCQ: I3. Have you ever noticed a common event or object that seemed to be a special sign for you,0.0,No
717068,GENSCOT,SPQ,spq3,PCQ: I3. Have you ever noticed a common event or object that seemed to be a special sign for you,1.0,Yes
717069,GENSCOT,SPQ,spq4,PCQ: I4. Do you often pick up hidden threats or put-downs from what people say or do,0.0,No
717070,GENSCOT,SPQ,spq4,PCQ: I4. Do you often pick up hidden threats or put-downs from what people say or do,1.0,Yes
717071,GENSCOT,SPQ,spq5,PCQ: I5. When shopping do you get the feeling that other people are taking notice of you,0.0,No
717072,GENSCOT,SPQ,spq5,PCQ: I5. When shopping do you get the feeling that other people are taking notice of you,1.0,Yes
717073,GENSCOT,SPQ,spq6,PCQ: I6. Have you had experiences with astrology seeing the future UFOs ESP or a sixth sense,0.0,No
717074,GENSCOT,SPQ,spq6,PCQ: I6. Have you had experiences with astrology seeing the future UFOs ESP or a sixth sense,1.0,Yes
717075,GENSCOT,SPQ,spq7,PCQ: I7. Do you ever suddenly feel distracted by distant sounds that you are not normally aware of,0.0,No
717076,GENSCOT,SPQ,spq7,PCQ: I7. Do you ever suddenly feel distracted by distant sounds that you are not normally aware of,1.0,Yes
717077,GENSCOT,SPQ,spq8,PCQ: I8. Do you often have to keep an eye out to stop people from taking advantage of you,0.0,No
717078,GENSCOT,SPQ,spq8,PCQ: I8. Do you often have to keep an eye out to stop people from taking advantage of you,1.0,Yes
717079,GENSCOT,SPQ,spq9,PCQ: I9. People sometimes find me aloof and distant,0.0,No
717080,GENSCOT,SPQ,spq9,PCQ: I9. People sometimes find me aloof and distant,1.0,Yes
