table_name,variable_name,variable_label,avail_from_dt
SPQ_V0002_20220125,spq1,PCQ: I1. Have you ever had the sense that some person or force is around you even though you cannot see anyone,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq2,PCQ: I2. Are you sometimes sure that other people can tell what you are thinking,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq3,PCQ: I3. Have you ever noticed a common event or object that seemed to be a special sign for you,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq4,PCQ: I4. Do you often pick up hidden threats or put-downs from what people say or do,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq5,PCQ: I5. When shopping do you get the feeling that other people are taking notice of you,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq6,PCQ: I6. Have you had experiences with astrology seeing the future UFOs ESP or a sixth sense,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq7,PCQ: I7. Do you ever suddenly feel distracted by distant sounds that you are not normally aware of,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq8,PCQ: I8. Do you often have to keep an eye out to stop people from taking advantage of you,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq9,PCQ: I9. People sometimes find me aloof and distant,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq10,PCQ: I10. I feel I have to be on my guard even with friends,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq11,PCQ: I11. I feel very uncomfortable in social situations involving unfamiliar people,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq12,PCQ: I12. Have you found that it is best not to let other people know too much about you,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq13,PCQ: I13. I tend to keep in the back ground on social occasions,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq14,PCQ: I14. Do you feel that you are unable to get close to people,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq15,PCQ: I15. I feel very uneasy talking to people I do not know well,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq16,PCQ: I16. I tend to keep my feelings to myself,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq17,PCQ: I17. People sometimes comment on my unusual mannerisms and habits,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq18,PCQ: I18. Some people think that I am a very bizarre person,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq19,PCQ: I19. Some people find me a bit vague and elusive during a conversation,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq20,PCQ: I20. I sometimes use words in unusual ways,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq21,PCQ: I21. I am an odd unusual person,2022-03-24 23:10:22.183
SPQ_V0002_20220125,spq22,PCQ: I22. I find it hard to communicate clearly what I want to say to people,2022-03-24 23:10:22.183
SPQ_V0002_20220125,cogper,cognitive perceptual score,2022-03-24 23:10:22.183
SPQ_V0002_20220125,inter,interpersonal score,2022-03-24 23:10:22.183
SPQ_V0002_20220125,disorg,disorganised score,2022-03-24 23:10:22.183
SPQ_V0002_20220125,total,total score,2022-03-24 23:10:22.183
SPQ_V0002_20220125,appt,date of response,2022-03-24 23:10:22.183
