table_name,variable_name,value_value,value_label,avail_from_dt
SPQ_V0002_20220125,cogper,,Calculated,2022-03-24 23:13:46.343
SPQ_V0002_20220125,disorg,,Calculated,2022-03-24 23:13:46.343
SPQ_V0002_20220125,inter,,Calculated,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq1,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq1,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq10,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq10,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq11,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq11,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq12,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq12,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq13,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq13,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq14,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq14,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq15,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq15,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq16,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq16,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq17,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq17,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq18,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq18,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq19,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq19,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq2,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq2,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq20,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq20,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq21,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq21,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq22,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq22,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq3,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq3,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq4,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq4,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq5,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq5,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq6,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq6,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq7,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq7,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq8,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq8,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq9,0,No,2022-03-24 23:13:46.343
SPQ_V0002_20220125,spq9,1,Yes,2022-03-24 23:13:46.343
SPQ_V0002_20220125,total,,Calculated,2022-03-24 23:13:46.343
SPQ_V0002_20220125,appt,,timestamp,2022-03-24 23:13:46.343
