,Source,Block Name,Variable Name,Variable Description,Value,Value Description
714120,GENSCOT,TOBACCO,study_id_e,,,
714121,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,2.0,Yes some
714122,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,3.0,Yes a little
714123,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,4.0,No none at all
714124,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,1.0,Yes a lot
714125,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,2.0,Yes some
714126,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,3.0,Yes a little
714127,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,4.0,No none at all
714128,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,1.0,Yes a lot
714129,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,2.0,Yes some
714130,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,3.0,Yes a little
714131,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,4.0,No none at all
714132,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,1.0,Yes a lot
714133,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",10.0,70+
714134,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",2.0,1-4 inclusive
714135,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",3.0,5-9 inclusive
714136,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",4.0,10-19 inclusive
714137,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",5.0,20-29 inclusive
714138,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",6.0,30-39 inclusive
714139,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",7.0,40-49 inclusive
714140,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",8.0,50-59 inclusive
714141,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",9.0,60-69 inclusive
714142,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",1.0,0
714143,GENSCOT,TOBACCO,with_smoker,PCQ: M3. Do you live with anyone that smokes?,0.0,No
714144,GENSCOT,TOBACCO,with_smoker,PCQ: M3. Do you live with anyone that smokes?,1.0,Yes
714145,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,2.0,"Yes, but stopped within past 12 months"
714146,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,3.0,"Yes, but stopped more than 12 months ago"
714147,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,4.0,"No, never smoked"
714148,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,1.0,"Yes, currently smoke"
714149,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,2.0,"Yes, but stopped within past 12 months"
714150,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,3.0,"Yes, but stopped more than 12 months ago"
714151,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,4.0,"No, never smoked"
714152,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,1.0,"Yes, currently smoke"
714153,GENSCOT,TOBACCO,avail_from_dt,,,
714154,GENSCOT,TOBACCO,study_id_e,,,
714155,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,2.0,Yes some
714156,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,3.0,Yes a little
714157,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,4.0,No none at all
714158,GENSCOT,TOBACCO,exposure_work,PCQ: M1A. Are you regularly exposed to other people's tobacco smoke at work?,1.0,Yes a lot
714159,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,2.0,Yes some
714160,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,3.0,Yes a little
714161,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,4.0,No none at all
714162,GENSCOT,TOBACCO,exposure_home,PCQ: M1B. ...in your home?,1.0,Yes a lot
714163,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,2.0,Yes some
714164,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,3.0,Yes a little
714165,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,4.0,No none at all
714166,GENSCOT,TOBACCO,exposure_other,PCQ: M1C. ...in other places?,1.0,Yes a lot
714167,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",10.0,70+
714168,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",2.0,1-4 inclusive
714169,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",3.0,5-9 inclusive
714170,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",4.0,10-19 inclusive
714171,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",5.0,20-29 inclusive
714172,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",6.0,30-39 inclusive
714173,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",7.0,40-49 inclusive
714174,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",8.0,50-59 inclusive
714175,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",9.0,60-69 inclusive
714176,GENSCOT,TOBACCO,exposure_week,"PCQ: M2. On average, how many hours per week are you exposed to other peoples tobacco smoke",1.0,0
714177,GENSCOT,TOBACCO,with_smoker,PCQ: M3. Do you live with anyone that smokes?,0.0,No
714178,GENSCOT,TOBACCO,with_smoker,PCQ: M3. Do you live with anyone that smokes?,1.0,Yes
714179,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,2.0,"Yes, but stopped within past 12 months"
714180,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,3.0,"Yes, but stopped more than 12 months ago"
714181,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,4.0,"No, never smoked"
714182,GENSCOT,TOBACCO,ever_smoke,Have you ever smoked tobacco?,1.0,"Yes, currently smoke"
714183,GENSCOT,TOBACCO,appt,date of response,,timestamp
714184,GENSCOT,TOBACCO,avail_from_dt,,,
