table_name,variable_name,value_value,value_label,avail_from_dt
VACCINE_v0001_20211101,age,,Years,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,age_band,,Age Bracket,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,cohort_desc,,Vaccination Cohort Group,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,council_area,,council area code,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,data_source,,emis/TURAS/vision,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,days,,Days,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,dose_number,,"1, 2",2022-03-24 23:13:46.343
VACCINE_v0001_20211101,dt1,,yyyy-mm-dd,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,dt2,,yyyy-mm-dd,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,health_board,,NHS Board code subject,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,product_name,,AZ/Pfizer/Moderna,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,sex,F,Female,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,sex,M,Male,2022-03-24 23:13:46.343
VACCINE_v0001_20211101,vacc_health_board,,NHS Board code providing vaccine,2022-03-24 23:13:46.343
