,Source,Block Name,Variable Name,Variable Description,Value,Value Description
724819,MCS,COVID_CM_w3,study_id_e,,,
724820,MCS,COVID_CM_w3,pnum,MCS person number,,
724821,MCS,COVID_CM_w3,cw3_cnum00,Cohort Member number within an MCS family,-1.0,Not applicable
724822,MCS,COVID_CM_w3,cw3_cnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
724823,MCS,COVID_CM_w3,cw3_cnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
724824,MCS,COVID_CM_w3,cw3_cnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
724825,MCS,COVID_CM_w3,cw3_pnum00,Person number within an MCS family (excl Cohort Members,-1.0,Not applicable
724826,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,-1.0,Not Applicable
724827,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,1.0,NCDS
724828,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,2.0,BCS70
724829,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,3.0,Next Steps
724830,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,4.0,MCS CM
724831,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,5.0,MCS Parent
724832,MCS,COVID_CM_w3,cw3_cohort,Cohort group of respondent,6.0,NSHD
724833,MCS,COVID_CM_w3,cw3_psex,Sex of respondent,-1.0,Not Applicable
724834,MCS,COVID_CM_w3,cw3_psex,Sex of respondent,1.0,Male
724835,MCS,COVID_CM_w3,cw3_psex,Sex of respondent,2.0,Female
724836,MCS,COVID_CM_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),-1.0,Not Applicable
724837,MCS,COVID_CM_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),1.0,Yes
724838,MCS,COVID_CM_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),2.0,No
724839,MCS,COVID_CM_w3,cw3_enddated,Date in 2021 of survey completion,-9.0,Don't want to answer
724840,MCS,COVID_CM_w3,cw3_enddated,Date in 2021 of survey completion,-8.0,Donâ€™t Know
724841,MCS,COVID_CM_w3,cw3_enddated,Date in 2021 of survey completion,-1.0,Not Applicable
724842,MCS,COVID_CM_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-9.0,Don't want to answer
724843,MCS,COVID_CM_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-8.0,Donâ€™t Know
724844,MCS,COVID_CM_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-1.0,Not Applicable
724845,MCS,COVID_CM_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),2.0,February
724846,MCS,COVID_CM_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),3.0,March
724847,MCS,COVID_CM_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,1.0,Productive
724848,MCS,COVID_CM_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,2.0,Partially productive
724849,MCS,COVID_CM_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,3.0,Unproductive
724850,MCS,COVID_CM_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,0.0,Unproductive
724851,MCS,COVID_CM_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,1.0,Productive
724852,MCS,COVID_CM_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,2.0,Partially Productive
724853,MCS,COVID_CM_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,0.0,Unproductive
724854,MCS,COVID_CM_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,1.0,Productive
724855,MCS,COVID_CM_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,2.0,Partially Productive
724856,MCS,COVID_CM_w3,cw3_mode,Survey Mode (Web or Telephone),-1.0,Not Applicable
724857,MCS,COVID_CM_w3,cw3_mode,Survey Mode (Web or Telephone),1.0,CAWI
724858,MCS,COVID_CM_w3,cw3_mode,Survey Mode (Web or Telephone),2.0,CATI
724859,MCS,COVID_CM_w3,cw3_covid19,Whether Respondent has had Coronavirus,-9.0,Don't want to answer
724860,MCS,COVID_CM_w3,cw3_covid19,Whether Respondent has had Coronavirus,-8.0,Don't Know
724861,MCS,COVID_CM_w3,cw3_covid19,Whether Respondent has had Coronavirus,-1.0,Not Applicable
