variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
PNUM,None,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_CNUM00,Cohort Member number within an MCS family,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_PNUM00,Person number within an MCS family (excl Cohort Members,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COHORT,Cohort group of respondent,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_PSEX,Sex of respondent,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_EMIGRANT,Recorded as Emigrant in issued sample (non-PC),2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_ENDDATE,Date in May 2020 of survey completion,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVID19,Whether respondent has had Coronavirus,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_1,Past 2 weeks COVID19 symptoms: Fever,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_2,Past 2 weeks COVID19 symptoms: Cough - dry,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_3,Past 2 weeks COVID19 symptoms: Cough - mucus or phlegm,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_4,Past 2 weeks COVID19 symptoms: Sore throat,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_5,Past 2 weeks COVID19 symptoms: Chest tightness,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_6,Past 2 weeks COVID19 symptoms: Shortness of breath,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_7,Past 2 weeks COVID19 symptoms: Runny nose,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_8,Past 2 weeks COVID19 symptoms: Nasal congestion,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_18,Past 2 weeks COVID19 symptoms: Sneezing,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_10,Past 2 weeks COVID19 symptoms: Muscle or body aches,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_11,Past 2 weeks COVID19 symptoms: Fatigue,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_12,Past 2 weeks COVID19 symptoms: Unusual loose motions or diarrhoea,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_16,Past 2 weeks COVID19 symptoms: Vomiting,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_13,Past 2 weeks COVID19 symptoms: Loss of smell,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_14,Past 2 weeks COVID19 symptoms: Loss of taste,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_17,Past 2 weeks COVID19 symptoms: Skin rash,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_19,Past 2 weeks COVID19 symptoms: Headaches,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_20,Past 2 weeks COVID19 symptoms: Other,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDSYMPT_23,Past 2 weeks any COVID19 symptoms experienced,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDADV_1,Whether discussed Past 2 weeks COVID19 symptoms: with doctor/practice nurse,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDADV_2,Whether discussed Past 2 weeks COVID19 symptoms: with NHS 111 or NHS 24,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDADV_3,Whether accessed online advice about COVID19 at NHS 111 or NHS 24,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDADV_4,Whether visited pharmacist regarding Past 2 weeks COVID19 symptoms:,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDADV_5,Whether visited A&E or walk in centre regarding Past 2 weeks COVID19 symptoms:,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDADV_6,Not discussed Past 2 weeks COVID19 symptoms: with healthcare professionals,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVID_HOSPAD,Whether been admitted to hospital with COVID19,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDTEST,Whether been tested for Coronavirus,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_COVIDRESULT,Result of Coronavirus test,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_GHQ,Respondent self-assessment of general health,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_GHQPRECOVID,Pre-C19: Respondent self-assessment of general health in 3 months preceding outbreak,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_1,Respondent has long-standing illness: Cancer,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_2,Respondent has long-standing illness: Cystic fibrosis,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_3,Respondent has long-standing illness: Asthma,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_4,Respondent has long-standing illness: Chronic Obstructive Pulmonary Disease,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_5,Respondent has long-standing illness: Wheezy bronchitis,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_6,Respondent has long-standing illness: Diabetes,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_7,Respondent has long-standing illness: Recurrent backache/prolapsed disc/sciatica/other back prob,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
CW1_LLI_8,Respondent has long-standing illness: Problems with hearing,2022-01-02 18:12:44.587,COVID_parent_w1_v0001_20211101
