variable_name,value_value,value_label,avail_from_dt,table_name
CW2_STUSPA_9_1,1,Yes,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_1,2,No,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_2,-9,Don't want to answer,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_2,-8,Donâ€™t Know,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_2,-1,Not Applicable,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_2,1,Yes,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_2,2,No,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_3,-9,Don't want to answer,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_3,-8,Donâ€™t Know,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_3,-1,Not Applicable,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_3,1,Yes,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_3,2,No,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_4,-9,Don't want to answer,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_4,-8,Donâ€™t Know,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_4,-1,Not Applicable,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_4,1,Yes,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_4,2,No,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
CW2_STUSPA_9_5,-9,Don't want to answer,2022-01-02 17:54:39.447,COVID_parent_w2_v0001_20211101
