,Source,Block Name,Variable Name,Variable Description,Value,Value Description
738541,MCS,COVID_parent_w3,study_id_e,,,
738542,MCS,COVID_parent_w3,pnum,MCS person number,,
738543,MCS,COVID_parent_w3,cw3_cnum00,Cohort Member number within an MCS family,-1.0,Not applicable
738544,MCS,COVID_parent_w3,cw3_cnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
738545,MCS,COVID_parent_w3,cw3_cnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
738546,MCS,COVID_parent_w3,cw3_cnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
738547,MCS,COVID_parent_w3,cw3_pnum00,Person number within an MCS family (excl Cohort Members,-1.0,Not applicable
738548,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,-1.0,Not Applicable
738549,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,1.0,NCDS
738550,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,2.0,BCS70
738551,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,3.0,Next Steps
738552,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,4.0,MCS CM
738553,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,5.0,MCS Parent
738554,MCS,COVID_parent_w3,cw3_cohort,Cohort group of respondent,6.0,NSHD
738555,MCS,COVID_parent_w3,cw3_psex,Sex of respondent,-1.0,Not Applicable
738556,MCS,COVID_parent_w3,cw3_psex,Sex of respondent,1.0,Male
738557,MCS,COVID_parent_w3,cw3_psex,Sex of respondent,2.0,Female
738558,MCS,COVID_parent_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),-1.0,Not Applicable
738559,MCS,COVID_parent_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),1.0,Yes
738560,MCS,COVID_parent_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),2.0,No
738561,MCS,COVID_parent_w3,cw3_enddated,Date in 2021 of survey completion,-9.0,Don't want to answer
738562,MCS,COVID_parent_w3,cw3_enddated,Date in 2021 of survey completion,-8.0,Donâ€™t Know
738563,MCS,COVID_parent_w3,cw3_enddated,Date in 2021 of survey completion,-1.0,Not Applicable
738564,MCS,COVID_parent_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-9.0,Don't want to answer
738565,MCS,COVID_parent_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-8.0,Donâ€™t Know
738566,MCS,COVID_parent_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-1.0,Not Applicable
738567,MCS,COVID_parent_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),2.0,February
738568,MCS,COVID_parent_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),3.0,March
738569,MCS,COVID_parent_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,1.0,Productive
738570,MCS,COVID_parent_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,2.0,Partially productive
738571,MCS,COVID_parent_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,3.0,Unproductive
738572,MCS,COVID_parent_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,0.0,Unproductive
738573,MCS,COVID_parent_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,1.0,Productive
738574,MCS,COVID_parent_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,2.0,Partially Productive
738575,MCS,COVID_parent_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,0.0,Unproductive
738576,MCS,COVID_parent_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,1.0,Productive
738577,MCS,COVID_parent_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,2.0,Partially Productive
738578,MCS,COVID_parent_w3,cw3_mode,Survey Mode (Web or Telephone),-1.0,Not Applicable
738579,MCS,COVID_parent_w3,cw3_mode,Survey Mode (Web or Telephone),1.0,CAWI
738580,MCS,COVID_parent_w3,cw3_mode,Survey Mode (Web or Telephone),2.0,CATI
738581,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,-9.0,Don't want to answer
738582,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,-8.0,Don't Know
738583,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,-1.0,Not Applicable
738584,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,1.0,"Yes, confirmed by a positive test"
738585,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,2.0,"Yes, based on strong personal suspicion or medical advice"
738586,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,3.0,Unsure
738587,MCS,COVID_parent_w3,cw3_covid19,Whether Respondent has had Coronavirus,4.0,No
738588,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,-9.0,Don't want to answer
738589,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,-8.0,Donâ€™t Know
738590,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,-1.0,Not Applicable
738591,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,1.0,February 2020 or earlier
738592,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,2.0,March 2020
738593,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,3.0,April 2020
738594,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,4.0,May 2020
738595,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,5.0,June 2020
738596,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,6.0,July 2020
738597,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,7.0,August 2020
738598,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,8.0,September 2020
738599,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,9.0,October 2020
738600,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,10.0,November 2020
738601,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,11.0,December 2020
738602,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,12.0,January 2021
738603,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,13.0,February 2021
738604,MCS,COVID_parent_w3,cw3_covid19pos,When had coronavirus,14.0,March 2021
738605,MCS,COVID_parent_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-9.0,Don't want to answer
738606,MCS,COVID_parent_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-8.0,Donâ€™t Know
738607,MCS,COVID_parent_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-1.0,Not Applicable
738608,MCS,COVID_parent_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,1.0,Yes
738609,MCS,COVID_parent_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,2.0,No
738610,MCS,COVID_parent_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-9.0,Don't want to answer
738611,MCS,COVID_parent_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-8.0,Donâ€™t Know
738612,MCS,COVID_parent_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-1.0,Not Applicable
738613,MCS,COVID_parent_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,1.0,Yes
738614,MCS,COVID_parent_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,2.0,No
738615,MCS,COVID_parent_w3,cw3_covidadv_3,Past 2 weeks whether accessed online advice about COVID19 at NHS 111 or NHS 24,-9.0,Don't want to answer
